date,Ticker,Timeframe,Close,Open,High,Low,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2025-08-05 17:00:00+00:00,GSY,4hour,50.225,50.225,50.225,50.225,1033.0,10,0.7651276062421198,7.651276062421198,50.13039570225669
2025-08-05 17:00:00+00:00,URE,4hour,63.68,63.675,63.98,63.48,0.0,7,0.5304344908523148,3.713041435966203,63.522745687363305
2025-08-05 17:00:00+00:00,EQX,4hour,6.385,6.33,6.4,6.33,398300.0,8,0.3919282614452195,3.135426091561756,6.362673324769213
2025-08-05 17:00:00+00:00,NUAG,4hour,21.045,21.06,21.065,21.035,37.0,11,0.4425495006999581,4.868044507699539,20.86520969761491
2025-08-05 17:00:00+00:00,BR,4hour,265.52,265.75,267.15,262.93,27642.0,8,0.4906080426953028,3.9248643415624223,240.1678882365308
2025-08-05 17:00:00+00:00,GFL,4hour,50.21,50.57,50.6,50.15,48897.0,2,1.6400479513942383,3.280095902788477,46.79685582885314
2025-08-05 17:00:00+00:00,WCN,4hour,186.96,188.33,188.39,186.9,35026.0,6,0.6897028143677716,4.13821688620663,186.5417352403065
2025-08-05 17:00:00+00:00,LAC,4hour,2.635,2.605,2.655,2.605,33581.0,4,0.7594032389158485,3.037612955663394,2.969645431805019
2025-08-05 17:00:00+00:00,WRN,4hour,1.235,1.215,1.24,1.215,2225.0,8,0.4101646796960144,3.281317437568116,1.2164235962415193
2025-08-05 17:00:00+00:00,FLNT,4hour,2.4,2.4,2.4,2.4,0.0,7,0.6336759616001626,4.435731731201138,2.174423343005992
2025-08-05 16:00:00+00:00,GENM,4hour,10.185,10.185,10.185,10.185,0.0,13,0.4781245938173981,6.215619719626176,10.159182076705209
2025-08-05 17:00:00+00:00,SJ,4hour,0.795,0.83,0.83,0.7701,2099.0,14,0.7868358537950515,11.01570195313072,0.8545283007412584
2025-08-05 17:00:00+00:00,DBO,4hour,13.585,13.605,13.655,13.565,1410.0,6,0.5316606193474557,3.1899637160847343,13.679358367136407
2025-08-05 17:00:00+00:00,GAU,4hour,1.46,1.445,1.465,1.445,9599.0,11,0.5211381288764817,5.732519417641298,1.3710975001047407
2025-06-20 17:00:00+00:00,PHX,4hour,4.345,4.345,4.345,4.345,146.0,6,0.5687689151210383,3.4126134907262298,4.279523085720216
2025-08-05 17:00:00+00:00,REAL,4hour,5.71,5.685,5.8,5.68,47499.0,6,0.5677840892233845,3.406704535340307,5.844346931865708
2025-08-05 17:00:00+00:00,CWEB,4hour,41.76,41.945,42.05,41.71,411.0,6,0.5655913174673639,3.3935479048041834,40.06167380584242
2025-08-05 17:00:00+00:00,ALC,4hour,85.57,86.035,86.07,85.03,74640.0,5,0.6033799330268933,3.0168996651344666,89.11156121233151
