date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_67,aVWAP_BoS_CHoCH_bull_317,aVWAP_BoS_CHoCH_bear_114,aVWAP_BoS_CHoCH_bear_255,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-01-08 17:00:00+00:00,57.565,57.62,57.25,57.485,9271.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-01-09 17:00:00+00:00,57.62,58.205,57.62,58.155,12423.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2024-01-10 17:00:00+00:00,58.04,58.305,57.78,57.895,16974.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,89.87012987012994,14.545454545454803,False,False,True,False,True,
2024-01-11 17:00:00+00:00,58.09,58.48,57.985,58.445,6341.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,87.36827938900487,14.545454545454803,False,False,True,False,True,
2024-01-12 17:00:00+00:00,58.45,58.51,58.04,58.165,5670.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,80.37997699086483,14.545454545454803,False,False,True,False,True,
2024-01-15 17:00:00+00:00,58.165,58.165,58.165,58.165,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.72110872543814,14.545454545454803,False,False,True,False,True,
2024-01-16 17:00:00+00:00,57.98,58.015,57.28,57.615,14609.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,65.418642656866,14.545454545454803,False,False,True,False,False,
2024-01-17 17:00:00+00:00,54.9,55.35,54.58,55.24,12171.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.403521387894145,22.088293323177396,False,False,False,True,False,
2024-01-18 17:00:00+00:00,55.72,55.72,55.24,55.57,6000.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.132711084381604,13.982675088511328,False,False,False,True,False,
2024-01-19 17:00:00+00:00,55.305,55.905,55.285,55.845,19702.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,37.5215478750718,9.924352564029057,False,False,False,True,False,
2024-01-22 17:00:00+00:00,55.47,55.685,54.855,55.19,17272.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,33.411012883200925,5.0425769220765915,False,False,False,True,False,
2024-01-23 17:00:00+00:00,55.285,55.41,54.97,55.1,10594.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,30.457345696482786,1.0254198764230296,False,False,False,True,False,
2024-01-24 17:00:00+00:00,55.59,55.745,55.18,55.62,30858.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.05261541594141,1.0254198764230296,False,False,False,True,False,
2024-01-25 17:00:00+00:00,56.13,56.97,55.985,56.77,6273.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,38.74323891616859,1.0254198764230296,False,False,False,True,False,
2024-01-26 17:00:00+00:00,56.27,57.4,56.095,57.39,15809.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.382410917799945,1.0254198764230296,False,False,False,True,True,
2024-01-29 17:00:00+00:00,56.865,57.465,56.745,57.19,5191.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,48.885460610220235,1.0254198764230296,False,False,False,False,True,
2024-01-30 17:00:00+00:00,58.23,59.05,58.18,58.85,10010.0,,,,,,"rgba(38, 166, 154, 1.0)",,58.69333333333333,,0,,,0.0,0.0,0.0,0.0,55.71898599905427,-10.582082112983052,False,False,True,False,True,
2024-01-31 17:00:00+00:00,58.245,58.45,57.54,57.66,14169.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.218669782317995,,0,,,0.0,0.0,0.0,0.0,55.697432429045634,-9.638031431327398,False,False,True,False,True,
2024-02-01 17:00:00+00:00,58.08,58.31,56.97,57.21,8654.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.02836688697347,,0,,,0.0,0.0,0.0,0.0,54.242467581499284,-9.638031431327398,False,False,True,False,True,
2024-02-02 17:00:00+00:00,58.42,58.725,56.16,56.435,24657.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.63305705340059,,0,,,0.0,0.0,0.0,0.0,51.03475891969779,-9.638031431327398,False,False,False,False,True,
2024-02-05 17:00:00+00:00,55.86,57.18,55.86,56.42,10710.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.45303005865103,,0,,,0.0,0.0,0.0,0.0,48.854054089162155,-9.638031431327398,False,False,False,False,False,
2024-02-06 17:00:00+00:00,57.64,57.92,57.27,57.445,4914.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.45921136854775,,0,,,0.0,0.0,0.0,0.0,50.71544046802403,-9.638031431327398,False,False,False,False,False,
2024-02-07 17:00:00+00:00,56.98,57.22,56.53,57.16,14730.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.37717863485269,,0,,,0.0,0.0,0.0,0.0,50.993307806716835,-9.49052440074027,False,False,False,False,False,
2024-02-08 17:00:00+00:00,58.26,58.98,58.2,58.89,8248.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.489863880447906,,0,,,0.0,0.0,0.0,0.0,55.47481012996521,-4.393998184787208,False,False,True,False,True,
2024-02-09 17:00:00+00:00,58.2,58.37,57.9,58.345,8967.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.55090220733112,,0,,,0.0,0.0,0.0,0.0,56.61191549646526,-2.5822357310160697,False,False,True,False,True,
2024-02-12 17:00:00+00:00,59.47,60.06,59.46,59.825,22129.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.93902519629735,,0,,,0.0,0.0,0.0,0.0,60.22556151409369,1.4695922698022699,False,False,True,False,True,
2024-02-13 17:00:00+00:00,58.695,59.11,58.015,58.605,4352.0,,,,,,"rgba(239, 83, 80, 1.0)",,57.96012155998176,,0,,,0.0,0.0,0.0,0.0,58.99356674808628,1.4695922698022699,False,False,True,False,True,
2024-02-14 17:00:00+00:00,59.31,59.31,58.57,58.915,12746.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.04594633806006,,0,,,0.0,0.0,0.0,0.0,58.813338175195724,1.4695922698022699,False,False,True,False,True,
2024-02-15 17:00:00+00:00,60.65,60.79,60.21,60.35,6263.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.14595755091919,,0,,,0.0,0.0,0.0,0.0,61.286573333647674,4.139418267086796,False,False,True,False,True,
2024-02-16 17:00:00+00:00,60.505,60.68,59.79,59.87,10149.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.27020861076886,,0,,,0.0,0.0,0.0,0.0,61.48204902488983,4.898600300915497,False,False,True,False,True,
2024-02-19 17:00:00+00:00,59.87,59.87,59.87,59.87,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.27020861076886,,0,,,0.0,0.0,0.0,0.0,61.61236615238461,5.63999572387516,False,False,True,False,True,
2024-02-20 17:00:00+00:00,58.89,59.09,58.65,59.045,5716.0,,,,,,"rgba(239, 83, 80, 1.0)",,58.29281392591169,,0,,,0.0,0.0,0.0,0.0,59.11583804800724,5.63999572387516,False,False,True,False,True,
