date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_136,aVWAP_BoS_CHoCH_bull_207,aVWAP_BoS_CHoCH_bull_395,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-01-08 17:00:00+00:00,0.4799,0.4879,0.4664,0.474,4700.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-01-09 17:00:00+00:00,0.4782,0.4836,0.4613,0.4779,4004.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2024-01-10 17:00:00+00:00,0.4667,0.4717,0.4551,0.4675,70.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.00000000000004,-37.49999999999985,False,False,True,False,True,
2024-01-11 17:00:00+00:00,0.4576,0.4733,0.4523,0.4708,951.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.61302046298495,-37.49999999999985,False,False,True,False,True,
2024-01-12 17:00:00+00:00,0.4698,0.483,0.4676,0.47,2877.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,55.28033726368426,-37.49999999999985,False,False,False,False,True,
2024-01-15 17:00:00+00:00,0.47,0.47,0.47,0.47,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.72521513081713,-37.49999999999985,False,False,False,True,True,
2024-01-16 17:00:00+00:00,0.4677,0.4767,0.4584,0.4648,2245.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.03930101341388,-37.49999999999985,False,False,False,True,True,
2024-01-17 17:00:00+00:00,0.4588,0.4662,0.45,0.4598,1000.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.686301053571924,-37.49999999999985,False,False,False,True,False,
2024-01-18 17:00:00+00:00,0.4592,0.4645,0.4476,0.4601,590.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,30.228267908990986,-37.49999999999985,False,False,False,True,False,
2024-01-19 17:00:00+00:00,0.4567,0.4716,0.4504,0.4565,2095.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,25.952824084519285,-37.49999999999985,False,False,False,True,False,
2024-01-22 17:00:00+00:00,0.4542,0.4733,0.4542,0.4615,1080.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.236981503113864,-37.49999999999985,False,False,False,True,False,
2024-01-23 17:00:00+00:00,0.449,0.4738,0.4446,0.4738,2903.0,,,,0.46406666666666657,"rgba(239, 83, 80, 1.0)",,0.46406666666666657,,0,,,0.0,0.0,0.0,0.0,39.58821921741111,-37.49999999999985,False,False,False,True,False,
2024-01-24 17:00:00+00:00,0.4728,0.4846,0.4699,0.4746,12765.0,,,,0.47408769679176244,"rgba(239, 83, 80, 1.0)",,0.47408769679176244,,0,,,0.0,0.0,0.0,0.0,46.848430819137384,-34.66017428291806,False,False,False,False,True,
2024-01-25 17:00:00+00:00,0.4708,0.4812,0.4577,0.4705,1793.0,,,,0.47364741041941094,"rgba(239, 83, 80, 1.0)",,0.47364741041941094,,0,,,0.0,0.0,0.0,0.0,48.91970817978636,-29.98193888294287,False,False,False,False,True,
2024-01-26 17:00:00+00:00,0.4785,0.4893,0.4721,0.4721,1530.0,,,,0.47398464711354504,"rgba(239, 83, 80, 1.0)",,0.47398464711354504,,0,,,0.0,0.0,0.0,0.0,51.17815541124668,-25.124817346950643,False,False,True,False,True,
2024-01-29 17:00:00+00:00,0.4962,0.4998,0.4856,0.4887,11281.0,,,,0.480462136627907,"rgba(38, 166, 154, 1.0)",,0.480462136627907,,0,,,0.0,0.0,0.0,0.0,58.526965371385444,-15.79561791759744,False,False,True,False,True,
2024-01-30 17:00:00+00:00,0.4854,0.4884,0.4715,0.4862,40733.0,,,,0.48136347534211205,"rgba(38, 166, 154, 1.0)",,0.48136347534211205,,0,,,0.0,0.0,0.0,0.0,61.892757614457224,-10.526052306976283,False,False,True,False,True,
2024-01-31 17:00:00+00:00,0.5001,0.5001,0.4642,0.4661,5918.0,,,,0.47890619428952763,"rgba(239, 83, 80, 1.0)",,0.47890619428952763,,0,,,0.0,0.0,0.0,0.0,55.84810612753055,-10.526052306976283,False,False,True,False,True,
2024-02-01 17:00:00+00:00,0.4854,0.4942,0.4799,0.4844,4071.0,,,,0.48094441353704825,"rgba(239, 83, 80, 1.0)",,0.48094441353704825,,0,,,0.0,0.0,0.0,0.0,56.89270209835575,-10.526052306976283,False,False,True,False,True,
2024-02-02 17:00:00+00:00,0.4797,0.4797,0.4753,0.4772,400.0,,,,0.48087296265996526,"rgba(239, 83, 80, 1.0)",,0.48087296265996526,,0,,,0.0,0.0,0.0,0.0,55.48562857725765,-10.526052306976283,False,False,True,False,True,
2024-02-05 17:00:00+00:00,0.4658,0.4709,0.4554,0.4691,3938.0,,,,0.47839003117322365,"rgba(239, 83, 80, 1.0)",,0.47839003117322365,,0,,,0.0,0.0,0.0,0.0,52.4537253578105,-10.526052306976283,False,False,False,False,True,
2024-02-06 17:00:00+00:00,0.4728,0.4728,0.4587,0.4672,0.0,,,,0.47839003117322365,"rgba(239, 83, 80, 1.0)",,0.47839003117322365,,0,,,0.0,0.0,0.0,0.0,49.96065591423924,-10.526052306976283,False,False,False,False,False,
