date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bear_30,aVWAP_BoS_CHoCH_bear_50,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_133,aVWAP_BoS_CHoCH_bear_148,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,42.45,47.304,40.419,40.419,10427,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,44.85,49.95,43.458,43.5,10084,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,41.4,45.75,40.35,45.75,8375,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,82.67637459201606,-27.95631433592773,False,False,True,False,True,
2022-01-21 00:00:00+00:00,37.5,43.5,37.5,42.0,3562,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,65.5397877907237,-27.95631433592773,False,False,True,False,True,
2022-01-28 00:00:00+00:00,32.7,41.55,29.7,37.5,13871,,,,,,,#000000,,34.65,,0,,,0.0,0.0,0.0,0.0,50.97571383791389,-27.95631433592773,False,False,False,False,True,
2022-02-04 00:00:00+00:00,31.8,33.9,31.65,33.0,1821,,,,,,,"rgba(239, 83, 80, 0.5)",,34.39469793525363,,0,,,0.0,0.0,0.0,0.0,40.293368067636074,-27.95631433592773,False,False,False,True,False,
2022-02-11 00:00:00+00:00,31.95,33.0,30.75,33.0,1932,,,,,,,"rgba(239, 83, 80, 0.5)",,34.12122106218793,,0,,,0.0,0.0,0.0,0.0,32.95564939537116,-27.95631433592773,False,False,False,True,False,
2022-02-18 00:00:00+00:00,35.8395,36.1725,31.35,31.9215,2654,,,,,,,"rgba(239, 83, 80, 0.5)",,34.16477542163921,,0,,,0.0,0.0,0.0,0.0,33.75634885251529,-27.95631433592773,False,False,False,True,False,
2022-02-25 00:00:00+00:00,33.9,35.7,33.0,35.7,2511,,,,,,,"rgba(239, 83, 80, 0.5)",,34.16865663258589,,0,,,0.0,0.0,0.0,0.0,33.13444707015205,-27.95631433592773,False,False,False,True,False,
2022-03-04 00:00:00+00:00,36.15,39.15,33.7515,34.95,3495,,,,,,,"rgba(239, 83, 80, 0.5)",,35.40463885824075,,0,,,0.0,0.0,0.0,0.0,35.16943287486974,-27.95631433592773,False,False,False,True,False,
