date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_196,aVWAP_BoS_CHoCH_bull_481,aVWAP_BoS_CHoCH_bull_654,aVWAP_BoS_CHoCH_bull_749,aVWAP_BoS_CHoCH_bull_786,aVWAP_BoS_CHoCH_bear_144,aVWAP_BoS_CHoCH_bear_467,aVWAP_BoS_CHoCH_bear_548,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-14 20:00:00+00:00,24.52,24.52,24.33,24.34,715.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,48.44746304871968,-5.527719995018998,True,False,False,False,True,0.0
2025-02-17 15:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,47.22032892142978,-5.527719995018998,True,False,False,True,False,0.0
2025-02-17 16:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,46.402239503236515,-5.527719995018998,True,False,False,True,False,0.0
2025-02-17 17:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,45.85684655777434,-5.527719995018998,True,False,False,True,False,0.0
2025-02-17 18:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,45.49325126079955,-5.527719995018998,True,False,False,True,False,0.0
2025-02-17 19:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,45.2508543961497,-5.527719995018998,True,False,False,True,False,0.0
2025-02-17 20:00:00+00:00,24.34,24.34,24.34,24.34,0.0,,,,,,,,,,24.414207206135362,"rgba(239, 83, 80, 1.0)",,24.414207206135362,,0,,,0.0,0.0,0.0,0.0,45.08925648638313,-5.527719995018998,True,False,False,True,False,0.0
2025-02-18 15:00:00+00:00,24.46,24.56,24.34,24.4,611.0,,,,,,,,,,24.417674510224856,"rgba(239, 83, 80, 1.0)",,24.417674510224856,,0,,,0.0,0.0,0.0,0.0,46.63515232061127,-5.527719995018998,True,False,False,True,False,0.0
2025-02-18 16:00:00+00:00,24.365,24.61,24.365,24.61,906.0,,,,,,,,,,24.433160616626008,"rgba(239, 83, 80, 1.0)",,24.433160616626008,,0,,,0.0,0.0,0.0,0.0,52.043804724978536,-1.541025734156527,True,False,True,False,True,0.0
2025-02-18 17:00:00+00:00,24.61,24.61,24.5,24.57,226.0,,,,,,,,,,24.437230857308005,"rgba(239, 83, 80, 1.0)",,24.437230857308005,,0,,,0.0,0.0,0.0,0.0,54.538700907345664,0.6833221616091407,True,False,True,False,True,0.0
