date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_442,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_102,aVWAP_BoS_CHoCH_bear_405,aVWAP_BoS_CHoCH_bear_740,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-01-16 15:00:00+00:00,37.06,37.315,36.87,37.31,6796.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 16:00:00+00:00,37.31,37.63,37.19,37.46,6430.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 17:00:00+00:00,37.435,37.61,37.27,37.27,9071.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 18:00:00+00:00,37.27,37.43,37.19,37.27,2636.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 19:00:00+00:00,37.27,37.68,37.27,37.68,4972.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 20:00:00+00:00,37.66,37.865,37.285,37.325,23919.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 15:00:00+00:00,37.38,37.94,37.375,37.865,4569.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 16:00:00+00:00,37.83,37.83,37.49,37.49,1850.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 17:00:00+00:00,37.49,37.8,37.41,37.485,2203.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 18:00:00+00:00,37.485,37.66,36.51,36.525,6296.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 19:00:00+00:00,36.545,37.205,36.51,36.805,9498.0,,,,,,,,36.84,"rgba(239, 83, 80, 1.0)",,36.84,,0,,,0.0,0.0,0.0,0.0
2025-01-17 20:00:00+00:00,36.805,37.0,36.56,36.6,13617.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 15:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 16:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 17:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 18:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 19:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-20 20:00:00+00:00,36.6,36.6,36.6,36.6,0.0,,,,,,,,36.76930824140169,"rgba(239, 83, 80, 1.0)",,36.76930824140169,,0,,,0.0,0.0,0.0,0.0
2025-01-21 15:00:00+00:00,42.315,42.82,41.8,42.215,75461.0,,,,,,,,40.98652685914084,"rgba(38, 166, 154, 1.0)",,40.98652685914084,,0,,,0.0,0.0,0.0,0.0
2025-01-21 16:00:00+00:00,42.22,42.955,41.82,42.94,43452.0,,,,,,,,41.471484014889086,"rgba(38, 166, 154, 1.0)",,41.471484014889086,,0,,,0.0,0.0,0.0,0.0
2025-01-21 17:00:00+00:00,42.92,44.22,42.92,43.47,35312.0,,,,,,,,41.882703873914515,"rgba(38, 166, 154, 1.0)",,41.882703873914515,,0,,,0.0,0.0,0.0,0.0
2025-01-21 18:00:00+00:00,43.5,44.13,43.23,43.96,38263.0,,,,,,,,42.218233319264264,"rgba(38, 166, 154, 1.0)",,42.218233319264264,,0,,,0.0,0.0,0.0,0.0
2025-01-21 19:00:00+00:00,43.95,45.66,43.95,44.61,46783.0,,,,,,,,42.66786024533829,"rgba(38, 166, 154, 1.0)",,42.66786024533829,,0,,,0.0,0.0,0.0,0.0
2025-01-21 20:00:00+00:00,44.61,45.42,44.38,45.135,67997.0,,,,,,,,43.14338482912257,"rgba(38, 166, 154, 1.0)",,43.14338482912257,,0,,,0.0,0.0,0.0,0.0
2025-01-22 15:00:00+00:00,45.785,48.35,45.68,47.38,81232.0,,,,,,,,43.9314568630071,"rgba(38, 166, 154, 1.0)",,43.9314568630071,,0,,,0.0,0.0,0.0,0.0
2025-01-22 16:00:00+00:00,47.34,48.91,46.95,48.66,34106.0,,,,,,,,44.25603981713523,"rgba(38, 166, 154, 1.0)",,44.25603981713523,,0,,,0.0,0.0,0.0,0.0
2025-01-22 17:00:00+00:00,48.66,49.815,48.49,48.705,49337.0,,,,,,,,46.86624190835552,"rgba(38, 166, 154, 1.0)",,46.86624190835552,,0,,,0.0,0.0,0.0,0.0
2025-01-22 18:00:00+00:00,48.69,48.69,47.24,47.515,26376.0,,,,,,,,46.73729981069049,"rgba(38, 166, 154, 1.0)",,46.73729981069049,,0,,,0.0,0.0,0.0,0.0
2025-01-22 19:00:00+00:00,47.4,47.79,46.96,47.155,45937.0,,,,,,,,46.591996153712984,"rgba(38, 166, 154, 1.0)",,46.591996153712984,,0,,,0.0,0.0,0.0,0.0
2025-01-22 20:00:00+00:00,47.075,47.5,46.85,47.24,54313.0,,,,,,,,46.54452681762109,"rgba(38, 166, 154, 1.0)",,46.54452681762109,,0,,,0.0,0.0,0.0,0.0
2025-01-23 15:00:00+00:00,46.11,47.33,46.11,47.33,15250.0,,,,,,,,46.52848182285271,"rgba(38, 166, 154, 1.0)",,46.52848182285271,,0,,,0.0,0.0,0.0,0.0
2025-01-23 16:00:00+00:00,47.42,47.825,47.26,47.305,10115.0,,,,,,,,46.53810857641105,"rgba(38, 166, 154, 1.0)",,46.53810857641105,,0,,,0.0,0.0,0.0,0.0
2025-01-23 17:00:00+00:00,47.305,47.64,46.995,46.995,8688.0,,,,,,,,46.53960034097213,"rgba(38, 166, 154, 1.0)",,46.53960034097213,,0,,,0.0,0.0,0.0,0.0
