date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_198,aVWAP_BoS_CHoCH_bull_414,aVWAP_BoS_CHoCH_bull_596,aVWAP_BoS_CHoCH_bull_787,aVWAP_BoS_CHoCH_bear_229,aVWAP_BoS_CHoCH_bear_558,aVWAP_BoS_CHoCH_bear_773,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-07 15:00:00+00:00,10.58,10.715,10.52,10.585,868.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 16:00:00+00:00,10.585,10.585,10.47,10.525,388.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-03-07 17:00:00+00:00,10.525,10.56,10.42,10.45,428.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-03-07 18:00:00+00:00,10.45,10.555,10.37,10.53,1293.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.74045801526709,-37.63358778625962,False,False,False,True,True,
2025-03-07 19:00:00+00:00,10.54,10.59,10.44,10.49,1470.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.31444941787234,-32.54142300483092,False,False,False,True,True,
2025-03-07 20:00:00+00:00,10.49,10.49,10.33,10.375,1734.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.476199304724112,-32.54142300483092,False,False,False,True,True,
2025-03-10 14:00:00+00:00,10.45,10.45,10.24,10.24,869.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,18.273705518959996,-32.54142300483092,False,False,False,True,False,
2025-03-10 15:00:00+00:00,10.275,10.28,10.275,10.28,23.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,19.675579780122938,-32.54142300483092,False,False,False,True,False,
2025-03-10 16:00:00+00:00,10.28,10.28,10.28,10.28,0.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.610162620898233,-32.54142300483092,False,False,False,True,False,
2025-03-10 17:00:00+00:00,10.28,10.295,10.12,10.13,796.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,18.82200646068668,-32.54142300483092,False,False,False,True,False,
2025-03-10 18:00:00+00:00,10.13,10.13,10.0,10.0,858.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,16.416255159499514,-28.59604991937239,False,False,False,True,False,
2025-03-10 19:00:00+00:00,10.0,10.0,9.87,9.96,3998.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,14.517058609600426,-30.44588757212731,False,False,False,True,False,
2025-03-11 14:00:00+00:00,9.875,10.015,9.875,9.97,1485.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.876596686323577,-31.192195761635098,False,False,False,True,False,
2025-03-11 15:00:00+00:00,9.97,10.055,9.97,10.005,689.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,15.677017287030033,-31.192195761635098,False,False,False,True,False,
2025-03-11 16:00:00+00:00,10.005,10.005,9.85,9.85,540.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,15.104824725596949,-31.192195761635098,False,False,False,True,False,
2025-03-11 17:00:00+00:00,9.84,9.84,9.785,9.83,659.0,,,,,,,,9.818333333333332,"rgba(239, 83, 80, 1.0)",,9.818333333333332,,0,,,0.0,0.0,0.0,0.0,14.544211394866434,-31.192195761635098,False,False,False,True,False,
2025-03-11 18:00:00+00:00,9.83,10.015,9.83,9.965,855.0,,,,,,,,9.885159621312196,"rgba(38, 166, 154, 1.0)",,9.885159621312196,,0,,,0.0,0.0,0.0,0.0,20.69878703504709,-33.98190165860251,False,False,False,True,True,
2025-03-11 19:00:00+00:00,9.965,9.965,9.9,9.935,2805.0,,,,,,,,9.916446322451185,"rgba(38, 166, 154, 1.0)",,9.916446322451185,,0,,,0.0,0.0,0.0,0.0,24.212904892418038,-30.80976929408599,False,False,False,True,True,
2025-03-12 14:00:00+00:00,9.915,9.975,9.86,9.89,763.0,,,,,,,,9.915228256591893,"rgba(38, 166, 154, 1.0)",,9.915228256591893,,0,,,0.0,0.0,0.0,0.0,25.692946719667987,-29.495695397527708,False,False,False,True,True,
2025-03-12 15:00:00+00:00,9.84,10.15,9.84,10.15,603.0,,,,,,,,9.929169744942833,"rgba(38, 166, 154, 1.0)",,9.929169744942833,,0,,,0.0,0.0,0.0,0.0,35.00363575170199,-21.014749059651944,False,False,False,True,True,
2025-03-12 16:00:00+00:00,10.15,10.22,10.125,10.14,502.0,,,,,,,,9.948034049889554,"rgba(38, 166, 154, 1.0)",,9.948034049889554,,0,,,0.0,0.0,0.0,0.0,40.94409128765044,-15.958639009105461,False,False,False,True,True,
2025-03-12 17:00:00+00:00,10.14,10.21,10.13,10.175,1441.0,,,,,,,,9.990280326865934,"rgba(38, 166, 154, 1.0)",,9.990280326865934,,0,,,0.0,0.0,0.0,0.0,45.776863590341264,-11.899015835470735,False,False,False,False,True,
2025-03-12 18:00:00+00:00,10.18,10.445,10.18,10.3,1221.0,,,,,,,,10.171249576223303,"rgba(38, 166, 154, 1.0)",,10.171249576223303,,0,,,0.0,0.0,0.0,0.0,51.70612930346314,-6.750456959224472,False,False,True,False,True,
2025-03-12 19:00:00+00:00,10.3,10.3,10.16,10.25,2061.0,,,,,,,,10.167874433414827,"rgba(38, 166, 154, 1.0)",,10.167874433414827,,0,,,0.0,0.0,0.0,0.0,54.052687094509906,-4.799943872375273,False,False,True,False,True,
2025-03-13 14:00:00+00:00,10.25,10.25,10.1,10.1,142.0,,,,,,,,10.166022837259408,"rgba(38, 166, 154, 1.0)",,10.166022837259408,,0,,,0.0,0.0,0.0,0.0,51.6275762994609,-4.799943872375273,False,False,True,False,True,
2025-03-13 15:00:00+00:00,10.1,10.14,10.035,10.08,115.0,,,,,,,,10.163261441255937,"rgba(38, 166, 154, 1.0)",,10.163261441255937,,0,,,0.0,0.0,0.0,0.0,49.54846176689516,-4.799943872375273,False,False,False,False,False,
2025-03-13 16:00:00+00:00,10.08,10.16,10.075,10.105,459.0,,,,,,,,10.15603042550721,"rgba(38, 166, 154, 1.0)",,10.15603042550721,,0,,,0.0,0.0,0.0,0.0,48.89108366194086,-4.799943872375273,False,False,False,False,False,
2025-03-13 17:00:00+00:00,10.13,10.13,10.045,10.09,229.0,,,,,,,,10.152132378611107,"rgba(38, 166, 154, 1.0)",,10.152132378611107,,0,,,0.0,0.0,0.0,0.0,48.03558505812448,-4.799943872375273,False,False,False,True,False,
2025-03-13 18:00:00+00:00,10.07,10.16,10.07,10.09,629.0,,,,,,,,10.145004397776326,"rgba(38, 166, 154, 1.0)",,10.145004397776326,,0,,,0.0,0.0,0.0,0.0,47.46525265558023,-4.799943872375273,False,False,False,True,False,
2025-03-13 19:00:00+00:00,10.09,10.095,9.9,9.985,2557.0,,,,,,,,10.100000575947217,"rgba(38, 166, 154, 1.0)",,10.100000575947217,,0,,,0.0,0.0,0.0,0.0,44.16611759039589,1.3925704575125764,False,False,False,True,False,
2025-03-14 14:00:00+00:00,10.19,10.19,10.19,10.19,0.0,,,,,,,,10.100000575947217,"rgba(38, 166, 154, 1.0)",,10.100000575947217,,0,,,0.0,0.0,0.0,0.0,48.072176451729035,1.3925704575125764,False,False,False,False,True,
2025-03-14 15:00:00+00:00,10.19,10.19,10.01,10.07,551.0,,,,,,,,10.098847104599397,"rgba(38, 166, 154, 1.0)",,10.098847104599397,,0,,,0.0,0.0,0.0,0.0,47.65996681929501,1.3925704575125764,False,False,False,True,True,
2025-03-14 16:00:00+00:00,10.07,10.07,10.02,10.03,379.0,,,,,,,,10.096430843940272,"rgba(38, 166, 154, 1.0)",,10.096430843940272,,0,,,0.0,0.0,0.0,0.0,46.491477144234295,1.3925704575125764,False,False,False,True,True,
2025-03-14 17:00:00+00:00,10.04,10.04,10.0,10.02,159.0,,,,,,,,10.095192189161429,"rgba(38, 166, 154, 1.0)",,10.095192189161429,,0,,,0.0,0.0,0.0,0.0,45.47927835409925,1.3925704575125764,False,False,False,True,True,
2025-03-14 18:00:00+00:00,10.02,10.04,10.005,10.015,304.0,,,,,,,,10.092938542251972,"rgba(38, 166, 154, 1.0)",,10.092938542251972,,0,,,0.0,0.0,0.0,0.0,44.676519913988756,0.32181763824090126,False,False,False,True,True,
2025-03-14 19:00:00+00:00,10.015,10.035,9.965,10.005,1239.0,,,,,,,,10.083284323070748,"rgba(38, 166, 154, 1.0)",,10.083284323070748,,0,,,0.0,0.0,0.0,0.0,43.86154415458115,-0.8987942427131159,False,False,False,True,False,
2025-03-17 14:00:00+00:00,10.03,10.03,9.925,9.925,237.0,,,,,,,,10.080922137822109,"rgba(38, 166, 154, 1.0)",,10.080922137822109,,0,,,0.0,0.0,0.0,0.0,41.21753659993725,-3.7475946237905617,False,False,False,True,False,
2025-03-17 15:00:00+00:00,9.925,9.99,9.92,9.96,65.0,,,,,,,,10.080274497634896,"rgba(38, 166, 154, 1.0)",,10.080274497634896,,0,,,0.0,0.0,0.0,0.0,40.91614128339796,-4.351312568644275,False,False,False,True,False,
2025-03-17 16:00:00+00:00,9.96,10.0,9.93,9.95,32.0,,,,,,,,10.079966388127932,"rgba(38, 166, 154, 1.0)",,10.079966388127932,,0,,,0.0,0.0,0.0,0.0,40.42603660432774,-5.175195107847017,False,False,False,True,False,
2025-03-17 17:00:00+00:00,9.95,9.95,9.905,9.905,184.0,,,,,,,,10.077676095047511,"rgba(38, 166, 154, 1.0)",,10.077676095047511,,0,,,0.0,0.0,0.0,0.0,38.807580920181024,-7.021373785576884,False,False,False,True,False,
2025-03-17 18:00:00+00:00,9.905,9.97,9.905,9.95,217.0,,,,,,,,10.075408807327996,"rgba(38, 166, 154, 1.0)",,10.075408807327996,,0,,,0.0,0.0,0.0,0.0,39.86596623185491,-7.021373785576884,False,False,False,True,False,
2025-03-17 19:00:00+00:00,9.95,9.955,9.865,9.88,1254.0,,,,,,,,10.060226294848565,"rgba(239, 83, 80, 1.0)",,10.060226294848565,,0,,,0.0,0.0,0.0,0.0,38.495810928356846,-7.693763653213757,True,False,False,True,False,
2025-03-18 14:00:00+00:00,9.69,9.88,9.69,9.85,610.0,,,,,,,,9.968983694162636,"rgba(239, 83, 80, 1.0)",,9.968983694162636,,0,,,0.0,0.0,0.0,0.0,36.78690464100846,-9.48267561132748,False,False,False,True,False,
2025-03-18 15:00:00+00:00,9.85,9.94,9.82,9.82,468.0,,,,,,,,9.972948578510712,"rgba(239, 83, 80, 1.0)",,9.972948578510712,,0,,,0.0,0.0,0.0,0.0,34.87078828444915,-11.407600751427239,False,False,False,True,False,
2025-03-18 16:00:00+00:00,9.82,9.83,9.765,9.775,163.0,,,,,,,,9.969483649920038,"rgba(239, 83, 80, 1.0)",,9.969483649920038,,0,,,0.0,0.0,0.0,0.0,32.50256689142067,-13.693502065183694,False,False,False,True,False,
2025-03-18 17:00:00+00:00,9.81,9.85,9.75,9.85,589.0,,,,,,,,9.963327739675604,"rgba(239, 83, 80, 1.0)",,9.963327739675604,,0,,,0.0,0.0,0.0,0.0,34.897936370006086,-13.693502065183694,False,False,False,True,True,
2025-03-18 18:00:00+00:00,9.82,9.83,9.78,9.825,616.0,,,,,,,,9.957193707235179,"rgba(239, 83, 80, 1.0)",,9.957193707235179,,0,,,0.0,0.0,0.0,0.0,35.72372736696856,-13.693502065183694,False,False,False,True,True,
2025-03-18 19:00:00+00:00,9.87,9.915,9.86,9.88,2090.0,,,,,,,,9.957172755435261,"rgba(239, 83, 80, 1.0)",,9.957172755435261,,0,,,0.0,0.0,0.0,0.0,38.90604740740978,-15.221557320195899,False,False,False,True,True,
2025-03-19 14:00:00+00:00,10.03,10.13,10.03,10.045,408.0,,,,,,,,9.990050297120202,"rgba(38, 166, 154, 1.0)",,9.990050297120202,,0,,,0.0,0.0,0.0,0.0,46.47302398688787,-8.354429272139782,True,False,False,False,True,
2025-03-19 15:00:00+00:00,10.03,10.1,10.03,10.06,323.0,,,,,,,,9.992896914678754,"rgba(38, 166, 154, 1.0)",,9.992896914678754,,0,,,0.0,0.0,0.0,0.0,51.89678454804184,-3.727849696850157,True,False,True,False,True,0.0
2025-03-19 16:00:00+00:00,10.06,10.09,10.04,10.05,402.0,,,,,,,,9.995997683105648,"rgba(38, 166, 154, 1.0)",,9.995997683105648,,0,,,0.0,0.0,0.0,0.0,55.05805086624407,-1.1679204716256493,True,False,True,False,True,0.0
2025-03-19 17:00:00+00:00,10.05,10.09,10.01,10.045,2580.0,,,,,,,,10.007332502928508,"rgba(38, 166, 154, 1.0)",,10.007332502928508,,0,,,0.0,0.0,0.0,0.0,56.918442537332275,0.3706151463627734,True,False,True,False,True,0.0
2025-03-19 18:00:00+00:00,10.045,10.115,10.01,10.115,460.0,,,,,,,,10.010499758916373,"rgba(38, 166, 154, 1.0)",,10.010499758916373,,0,,,0.0,0.0,0.0,0.0,60.25565840421454,3.4300346482117376,True,False,True,False,True,0.0
