date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_159,aVWAP_BoS_CHoCH_bull_301,aVWAP_BoS_CHoCH_bear_173,aVWAP_BoS_CHoCH_bear_271,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-06 17:00:00+00:00,74.25,74.42,73.92,73.97,59366.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-07 17:00:00+00:00,73.785,73.975,73.175,73.215,80311.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-08 17:00:00+00:00,73.585,73.79,72.84,72.885,61745.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-12-11 17:00:00+00:00,73.245,73.32,72.94,73.035,40720.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,4.80826308916042,-45.672563219755624,False,False,False,True,True,
2023-12-12 17:00:00+00:00,73.425,73.975,73.3,73.95,52281.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,22.203923940053098,-30.30496423930184,False,False,False,True,True,
2023-12-13 17:00:00+00:00,73.495,74.95,73.15,74.94,83492.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.207416919716394,-16.19942462751157,False,False,False,True,True,
2023-12-14 17:00:00+00:00,76.53,76.995,76.415,76.845,59075.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,54.55620873903989,-4.023928483670041,False,False,True,False,True,
2023-12-15 17:00:00+00:00,76.335,76.47,75.83,75.96,65937.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,59.38292849912382,-1.3675844429945627,False,False,True,False,True,
2023-12-18 17:00:00+00:00,76.01,76.485,76.01,76.25,85797.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.27709150808767,1.1781423223362282,False,False,True,False,True,
2023-12-19 17:00:00+00:00,77.205,77.785,77.18,77.73,39156.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,68.50990162244618,5.508630196763782,False,False,True,False,True,
2023-12-20 17:00:00+00:00,78.32,78.62,77.16,77.235,31691.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,69.54310807392784,6.38108062656876,False,False,True,False,True,
2023-12-21 17:00:00+00:00,78.83,79.19,78.655,79.115,83492.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,72.92858880436818,9.851610527986352,False,False,True,False,True,
2023-12-22 17:00:00+00:00,79.685,79.71,79.085,79.485,28402.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.58717008832171,12.821844284025254,False,False,True,False,True,
2023-12-25 17:00:00+00:00,79.485,79.485,79.485,79.485,0.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,77.35955761095741,15.127063668703869,False,False,True,False,True,
2023-12-26 17:00:00+00:00,79.435,79.74,79.285,79.47,28970.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,78.45927876144805,16.94712485354306,False,False,True,False,True,
2023-12-27 17:00:00+00:00,79.585,79.805,79.43,79.765,12808.0,,,,,79.66666666666666,"rgba(38, 166, 154, 1.0)",,79.66666666666666,,0,,,0.0,0.0,0.0,0.0,79.59820712362323,18.893664157799975,False,False,True,False,True,
2023-12-28 17:00:00+00:00,79.53,79.655,79.16,79.29,47472.0,,,,,79.43172174297722,"rgba(239, 83, 80, 1.0)",,79.43172174297722,,0,,,0.0,0.0,0.0,0.0,77.56432173670566,18.893664157799975,False,False,True,False,True,
2023-12-29 17:00:00+00:00,79.075,79.3,79.03,79.09,52417.0,,,,,79.29603775314929,"rgba(239, 83, 80, 1.0)",,79.29603775314929,,0,,,0.0,0.0,0.0,0.0,75.07564095178103,18.893664157799975,False,False,True,False,False,
2024-01-01 17:00:00+00:00,79.09,79.09,79.09,79.09,0.0,,,,,79.29603775314929,"rgba(239, 83, 80, 1.0)",,79.29603775314929,,0,,,0.0,0.0,0.0,0.0,73.41652042849793,18.893664157799975,False,False,True,False,False,
2024-01-02 17:00:00+00:00,79.265,79.435,78.81,79.055,64562.0,,,,,79.22463607865703,"rgba(239, 83, 80, 1.0)",,79.22463607865703,,0,,,0.0,0.0,0.0,0.0,72.07357806771421,18.893664157799975,False,False,True,False,False,
2024-01-03 17:00:00+00:00,78.94,79.295,78.8,78.87,100855.0,,,,,79.1389434728205,"rgba(239, 83, 80, 1.0)",,79.1389434728205,,0,,,0.0,0.0,0.0,0.0,69.86334120430703,18.893664157799975,False,False,True,False,False,
2024-01-04 17:00:00+00:00,79.75,79.795,79.31,79.32,119726.0,,,,,79.24007634978886,"rgba(239, 83, 80, 1.0)",,79.24007634978886,,0,,,0.0,0.0,0.0,0.0,69.94065481364814,18.893664157799975,False,False,True,False,False,
2024-01-05 17:00:00+00:00,79.275,79.28,78.53,78.725,34441.0,,,,,79.20859954520324,"rgba(239, 83, 80, 1.0)",,79.20859954520324,,0,,,0.0,0.0,0.0,0.0,66.09377115115731,22.83184225892026,False,False,True,False,False,
