date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_190,aVWAP_BoS_CHoCH_bull_270,aVWAP_BoS_CHoCH_bull_361,aVWAP_BoS_CHoCH_bull_515,aVWAP_BoS_CHoCH_bull_563,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_107,aVWAP_BoS_CHoCH_bear_232,aVWAP_BoS_CHoCH_bear_388,aVWAP_BoS_CHoCH_bear_636,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-01-21 15:00:00+00:00,42.08,42.32,42.08,42.21,22076.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-01-21 16:00:00+00:00,42.21,42.21,41.81,41.815,7526.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-01-21 17:00:00+00:00,41.815,41.91,41.675,41.805,13070.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-01-21 18:00:00+00:00,41.805,41.81,41.53,41.565,6245.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-01-21 19:00:00+00:00,41.565,41.71,41.44,41.51,10176.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-01-21 20:00:00+00:00,41.495,41.7,41.37,41.695,34081.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,9.106951733234652,-41.80374344008881,False,False,False,True,True,
2025-01-22 15:00:00+00:00,41.36,41.77,41.29,41.77,24058.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,17.862514209477588,-34.47015431546425,False,False,False,True,True,
2025-01-22 16:00:00+00:00,41.77,42.02,41.73,41.97,7064.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.07373569662964,-25.19681118106549,False,False,False,True,True,
2025-01-22 17:00:00+00:00,41.99,42.135,41.76,41.9,7760.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,35.01254271585965,-20.92130513441278,False,False,False,True,True,
2025-01-22 18:00:00+00:00,41.89,42.19,41.83,42.11,11894.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.076715644708955,-14.490708206886985,False,False,False,True,True,
2025-01-22 19:00:00+00:00,42.105,42.12,41.93,42.05,30556.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,47.083971347596076,-11.626969761071777,False,False,False,False,True,
2025-01-22 20:00:00+00:00,42.04,42.08,41.91,41.925,16267.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,47.18725074726569,-11.626969761071777,False,False,False,False,True,
2025-01-23 15:00:00+00:00,41.99,42.03,41.81,41.98,5274.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,48.39129502509262,-10.72159901124526,False,False,False,False,True,
2025-01-23 16:00:00+00:00,41.965,42.065,41.92,41.995,4760.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.51339658383666,-9.352447262937304,False,False,False,False,True,
2025-01-23 17:00:00+00:00,41.995,42.23,41.975,42.11,11340.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,52.57419505251065,-6.084982765938847,False,False,True,False,True,
2025-01-23 18:00:00+00:00,42.1,42.26,42.07,42.125,6068.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,54.89928252231924,-3.513770672245478,False,False,True,False,True,
2025-01-23 19:00:00+00:00,42.13,42.17,42.03,42.065,5113.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,54.760299152162816,-3.1726104923486957,False,False,True,False,True,
2025-01-23 20:00:00+00:00,42.065,42.2,42.005,42.06,18162.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,54.52391643285468,-2.808023225773134,False,False,True,False,True,
2025-01-24 15:00:00+00:00,42.26,42.46,42.125,42.385,17888.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,59.98091552498391,2.781174334453844,False,False,True,False,True,
2025-01-24 16:00:00+00:00,42.39,42.41,42.18,42.35,4678.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,62.614013183871826,5.5235588946567376,False,False,True,False,True,
2025-01-24 17:00:00+00:00,42.35,42.41,42.19,42.19,2600.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,60.30907587895207,5.5235588946567376,False,False,True,False,True,
2025-01-24 18:00:00+00:00,42.19,42.405,42.19,42.26,11960.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,59.97085533260988,5.5235588946567376,False,False,True,False,True,
2025-01-24 19:00:00+00:00,42.26,42.33,42.185,42.21,9560.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,58.5353525515729,5.5235588946567376,False,False,True,False,False,
2025-01-24 20:00:00+00:00,42.22,42.335,42.165,42.3,57979.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,59.20840481502314,5.5235588946567376,False,False,True,False,False,
2025-01-27 15:00:00+00:00,43.29,43.33,42.995,43.1,44733.0,,,,,,,,,,,,43.141666666666666,"rgba(38, 166, 154, 1.0)",,43.141666666666666,,0,,,0.0,0.0,0.0,0.0,66.55330566107092,10.390636356728123,False,False,True,False,True,
2025-01-27 16:00:00+00:00,43.07,43.19,42.905,43.155,25622.0,,,,,,,,,,,,43.12042273707152,"rgba(38, 166, 154, 1.0)",,43.12042273707152,,0,,,0.0,0.0,0.0,0.0,71.69364748819714,15.107106122419012,False,False,True,False,True,
2025-01-27 17:00:00+00:00,43.16,43.17,42.98,42.99,13113.0,,,,,,,,,,,,43.10883550182905,"rgba(38, 166, 154, 1.0)",,43.10883550182905,,0,,,0.0,0.0,0.0,0.0,71.94339244764603,15.324060121235533,False,False,True,False,True,
2025-01-27 18:00:00+00:00,42.99,43.25,42.95,43.15,21532.0,,,,,,,,,,,,43.110441412698414,"rgba(38, 166, 154, 1.0)",,43.110441412698414,,0,,,0.0,0.0,0.0,0.0,73.14388393196742,16.648289535376477,False,False,True,False,True,
2025-01-27 19:00:00+00:00,43.155,43.285,43.035,43.095,19185.0,,,,,,,,,,,,43.114750359007395,"rgba(38, 166, 154, 1.0)",,43.114750359007395,,0,,,0.0,0.0,0.0,0.0,72.89375207908091,16.71216054814947,False,False,True,False,True,
2025-01-27 20:00:00+00:00,43.1,43.19,42.995,43.105,14038.0,,,,,,,,,,,,43.112913769777826,"rgba(38, 166, 154, 1.0)",,43.112913769777826,,0,,,0.0,0.0,0.0,0.0,72.80485237378912,17.062596367587844,False,False,True,False,True,
2025-01-28 15:00:00+00:00,43.05,43.27,43.03,43.08,46347.0,,,,,,,,,,,,43.11636723194452,"rgba(38, 166, 154, 1.0)",,43.11636723194452,,0,,,0.0,0.0,0.0,0.0,72.18291804238086,17.062596367587844,False,False,True,False,True,
2025-01-28 16:00:00+00:00,43.08,43.11,42.84,42.91,12374.0,,,,,,,,,,,,43.10612380507488,"rgba(38, 166, 154, 1.0)",,43.10612380507488,,0,,,0.0,0.0,0.0,0.0,68.198623754809,17.062596367587844,False,False,True,False,False,
2025-01-28 17:00:00+00:00,42.91,43.09,42.885,43.01,6080.0,,,,,,,,,,,,43.102795958441696,"rgba(38, 166, 154, 1.0)",,43.102795958441696,,0,,,0.0,0.0,0.0,0.0,66.74648797473053,21.812800657871918,False,False,True,False,False,
2025-01-28 18:00:00+00:00,43.015,43.22,42.96,43.15,7643.0,,,,,,,,,,,,43.103057321111834,"rgba(38, 166, 154, 1.0)",,43.103057321111834,,0,,,0.0,0.0,0.0,0.0,67.28677244553175,21.812800657871918,False,False,True,False,False,
2025-01-28 19:00:00+00:00,43.17,43.195,43.015,43.13,6034.0,,,,,,,,,,,,43.1033434548064,"rgba(38, 166, 154, 1.0)",,43.1033434548064,,0,,,0.0,0.0,0.0,0.0,67.19763532889424,21.702559284078134,False,False,True,False,False,
2025-01-28 20:00:00+00:00,43.14,43.24,43.08,43.155,20583.0,,,,,,,,,,,,43.10811350533538,"rgba(38, 166, 154, 1.0)",,43.10811350533538,,0,,,0.0,0.0,0.0,0.0,67.43480131800237,21.57101610091516,False,False,True,False,False,
2025-01-29 15:00:00+00:00,43.14,43.27,43.06,43.12,60678.0,,,,,,,,,,,,43.116643414260885,"rgba(38, 166, 154, 1.0)",,43.116643414260885,,0,,,0.0,0.0,0.0,0.0,66.67026660567669,20.481512398252036,False,False,True,False,False,
2025-01-29 16:00:00+00:00,43.12,43.99,43.12,43.91,15424.0,,,,,,,,,,,,43.14404216631673,"rgba(38, 166, 154, 1.0)",,43.14404216631673,,0,,,0.0,0.0,0.0,0.0,72.0702940680101,18.0794755147204,False,False,True,False,True,
2025-01-29 17:00:00+00:00,43.87,43.925,43.73,43.75,7239.0,,,,,,,,,,,,43.15888986614686,"rgba(38, 166, 154, 1.0)",,43.15888986614686,,0,,,0.0,0.0,0.0,0.0,72.80164605592165,18.782398479115187,False,False,True,False,True,
2025-01-29 18:00:00+00:00,43.765,43.94,43.695,43.78,4960.0,,,,,,,,,,,,43.168732783553715,"rgba(38, 166, 154, 1.0)",,43.168732783553715,,0,,,0.0,0.0,0.0,0.0,73.47310442646759,19.52928634062806,False,False,True,False,True,
2025-01-29 19:00:00+00:00,43.76,43.77,43.55,43.66,14784.0,,,,,,,,,,,,43.190071079720354,"rgba(38, 166, 154, 1.0)",,43.190071079720354,,0,,,0.0,0.0,0.0,0.0,71.72674001224821,19.52928634062806,False,False,True,False,True,
2025-01-29 20:00:00+00:00,43.66,43.665,43.35,43.35,21760.0,,,,,,,,,,,,43.205990415938345,"rgba(38, 166, 154, 1.0)",,43.205990415938345,,0,,,0.0,0.0,0.0,0.0,65.93125436973794,20.246642446426137,True,False,True,False,False,
2025-01-30 15:00:00+00:00,43.98,44.055,43.64,43.7,15710.0,,,,,,,,,,,,43.51447625620084,"rgba(38, 166, 154, 1.0)",,43.51447625620084,,0,,,0.0,0.0,0.0,0.0,65.19505238845292,19.66934027433274,True,False,True,False,False,
2025-01-30 16:00:00+00:00,43.67,43.71,43.51,43.52,2727.0,,,,,,,,,,,,43.49958128231212,"rgba(38, 166, 154, 1.0)",,43.49958128231212,,0,,,0.0,0.0,0.0,0.0,62.44729940126355,17.119086948309757,True,False,True,False,False,
2025-01-30 17:00:00+00:00,43.52,43.595,43.32,43.54,5788.0,,,,,,,,,,,,43.46789401344266,"rgba(38, 166, 154, 1.0)",,43.46789401344266,,0,,,0.0,0.0,0.0,0.0,60.80355300765606,15.579243475327672,True,False,True,False,False,
2025-01-30 18:00:00+00:00,43.54,43.665,43.54,43.605,2288.0,,,,,,,,,,,,43.46484942856295,"rgba(38, 166, 154, 1.0)",,43.46484942856295,,0,,,0.0,0.0,0.0,0.0,60.35536928447031,15.051348374953875,False,False,True,False,False,
2025-01-30 19:00:00+00:00,43.605,43.605,43.29,43.335,8905.0,,,,,,,,,,,,43.43148325940096,"rgba(38, 166, 154, 1.0)",,43.43148325940096,,0,,,0.0,0.0,0.0,0.0,56.566647633698246,11.402644444239328,False,False,True,False,False,
2025-01-30 20:00:00+00:00,43.335,43.615,43.15,43.575,11757.0,,,,,,,,,,,,43.41280043130948,"rgba(38, 166, 154, 1.0)",,43.41280043130948,,0,,,0.0,0.0,0.0,0.0,56.58662599799758,11.320792113383767,False,False,True,False,False,
2025-01-31 15:00:00+00:00,43.625,43.83,43.52,43.55,7172.0,,,,,,,,,,,,43.419837934983775,"rgba(38, 166, 154, 1.0)",,43.419837934983775,,0,,,0.0,0.0,0.0,0.0,56.27447652932413,10.78531930206308,False,True,True,False,False,
2025-01-31 16:00:00+00:00,43.55,43.65,43.47,43.59,4187.0,,,,,,,,,,,,43.42089175321569,"rgba(38, 166, 154, 1.0)",,43.42089175321569,,0,,,0.0,0.0,0.0,0.0,56.51139584015479,10.722569893773013,False,True,True,False,False,15.781865390653032
2025-01-31 17:00:00+00:00,43.59,43.8,43.58,43.6,6002.0,,,,,,,,,,,,43.42728279989014,"rgba(38, 166, 154, 1.0)",,43.42728279989014,,0,,,0.0,0.0,0.0,0.0,56.78971676199197,10.66848796541192,False,True,True,False,False,15.913843795277625
2025-01-31 18:00:00+00:00,43.59,43.61,43.06,43.065,11000.0,,,,,,,,,,,,43.40189075264914,"rgba(38, 166, 154, 1.0)",,43.40189075264914,,0,,,0.0,0.0,0.0,0.0,50.558616987651455,4.692609496241758,False,True,False,False,False,6.0523750407724854
2025-01-31 19:00:00+00:00,43.05,43.18,42.83,43.17,18819.0,,,,,,,,,,,,43.25320846759009,"rgba(38, 166, 154, 1.0)",,43.25320846759009,,0,,,0.0,0.0,0.0,0.0,47.82837007703701,2.2333692116541783,False,True,False,True,False,7.518284472740746
2025-01-31 20:00:00+00:00,43.15,43.35,43.095,43.13,54700.0,,,,,,,,,,,,43.25268310756123,"rgba(38, 166, 154, 1.0)",,43.25268310756123,,0,,,0.0,0.0,0.0,0.0,45.60256405715186,0.2273880690300487,False,True,False,True,False,6.84187757251788
2025-02-03 15:00:00+00:00,43.265,43.74,43.2,43.63,7818.0,,,,,,,,,,,,43.26862197545395,"rgba(38, 166, 154, 1.0)",,43.26862197545395,,0,,,0.0,0.0,0.0,0.0,49.76243245259198,0.2273880690300487,False,True,False,False,True,13.293550394313158
2025-02-03 16:00:00+00:00,43.625,43.68,43.505,43.59,7672.0,,,,,,,,,,,,43.285317803887885,"rgba(38, 166, 154, 1.0)",,43.285317803887885,,0,,,0.0,0.0,0.0,0.0,52.04701383953677,-3.2159662313862754,False,True,True,False,True,12.616525473491905
2025-02-03 17:00:00+00:00,43.59,43.62,43.385,43.44,3266.0,,,,,,,,,,,,43.28949573097674,"rgba(38, 166, 154, 1.0)",,43.28949573097674,,0,,,0.0,0.0,0.0,0.0,51.75393358880887,-3.2159662313862754,False,True,True,False,True,10.119014231464266
2025-02-03 18:00:00+00:00,43.415,43.59,43.33,43.53,4899.0,,,,,,,,,,,,43.295371975476144,"rgba(38, 166, 154, 1.0)",,43.295371975476144,,0,,,0.0,0.0,0.0,0.0,52.55140055999823,-2.5637387615178255,False,True,True,False,True,11.231898710861834
2025-02-03 19:00:00+00:00,43.54,43.69,43.48,43.485,10771.0,,,,,,,,,,,,43.31078801644285,"rgba(38, 166, 154, 1.0)",,43.31078801644285,,0,,,0.0,0.0,0.0,0.0,52.48433097988159,-2.3451189446406104,False,True,True,False,True,10.48379745940409
2025-02-03 20:00:00+00:00,43.475,43.555,43.345,43.44,7642.0,,,,,,,,,,,,43.31611071614494,"rgba(38, 166, 154, 1.0)",,43.31611071614494,,0,,,0.0,0.0,0.0,0.0,51.811835449799325,-2.3451189446406104,False,True,False,False,True,9.733691725671292
2025-02-04 15:00:00+00:00,43.59,43.87,43.59,43.79,12252.0,,,,,,,,,,,,43.34152289071713,"rgba(38, 166, 154, 1.0)",,43.34152289071713,,0,,,0.0,0.0,0.0,0.0,55.316613632723815,0.8238953397680149,False,True,True,False,True,13.983006819174456
