date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_89,aVWAP_BoS_CHoCH_bull_319,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-06 17:00:00+00:00,85.965,86.5,85.68,85.88,17916.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-07 17:00:00+00:00,86.02,86.125,85.58,86.08,13337.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2023-12-08 17:00:00+00:00,86.795,87.505,86.745,87.22,9785.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2023-12-11 17:00:00+00:00,87.61,88.035,87.56,87.865,8700.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2023-12-12 17:00:00+00:00,87.7,87.77,87.38,87.685,8093.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.6565256608217,46.99087309473953,False,False,True,False,False,
2023-12-13 17:00:00+00:00,88.07,90.4,87.345,90.39,15422.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.53074945297458,46.99087309473953,False,False,True,False,False,
2023-12-14 17:00:00+00:00,92.515,93.06,92.275,92.69,9127.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.91283317044653,46.99087309473953,False,False,True,False,True,
2023-12-15 17:00:00+00:00,93.205,93.225,92.42,92.505,7901.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.09712432293732,46.94872117905412,False,False,True,False,False,
2023-12-18 17:00:00+00:00,93.625,94.04,93.395,94.01,10775.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,95.9800020907049,46.90609031531504,False,False,True,False,False,
2023-12-19 17:00:00+00:00,95.44,96.135,95.3,96.12,8862.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.28096771846882,46.90609031531504,False,False,True,False,False,
