date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_131,aVWAP_BoS_CHoCH_bull_164,aVWAP_BoS_CHoCH_bull_449,aVWAP_BoS_CHoCH_bull_528,aVWAP_BoS_CHoCH_bull_582,aVWAP_BoS_CHoCH_bull_636,aVWAP_BoS_CHoCH_bull_776,aVWAP_BoS_CHoCH_bear_144,aVWAP_BoS_CHoCH_bear_190,aVWAP_BoS_CHoCH_bear_288,aVWAP_BoS_CHoCH_bear_427,aVWAP_BoS_CHoCH_bear_506,aVWAP_BoS_CHoCH_bear_788,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-01-16 15:00:00+00:00,22.545,22.71,22.49,22.695,12068.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 16:00:00+00:00,22.695,22.815,22.685,22.805,9508.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 17:00:00+00:00,22.805,22.855,22.77,22.855,8034.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 18:00:00+00:00,22.855,22.91,22.82,22.885,13327.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 19:00:00+00:00,22.885,22.925,22.845,22.875,18176.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-16 20:00:00+00:00,22.875,22.885,22.785,22.82,28382.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 15:00:00+00:00,22.965,23.235,22.935,23.155,16149.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 16:00:00+00:00,23.16,23.185,23.055,23.075,6555.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 17:00:00+00:00,23.075,23.11,23.025,23.04,6753.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-01-17 18:00:00+00:00,23.04,23.055,22.95,23.005,6039.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
