date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_195,aVWAP_BoS_CHoCH_bull_302,aVWAP_BoS_CHoCH_bull_543,aVWAP_BoS_CHoCH_bull_588,aVWAP_BoS_CHoCH_bull_843,aVWAP_BoS_CHoCH_bear_607,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-04 15:00:00+00:00,13.54,13.695,13.525,13.635,2200.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-04 16:00:00+00:00,13.635,13.755,13.6,13.745,3800.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-03-04 17:00:00+00:00,13.745,13.795,13.705,13.785,500.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-04 18:00:00+00:00,13.785,13.835,13.765,13.825,100.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-04 19:00:00+00:00,13.825,13.855,13.805,13.85,110.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-04 20:00:00+00:00,13.855,13.885,13.82,13.82,1675.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,94.46268366993857,45.01641530294471,False,False,True,False,False,
2025-03-05 15:00:00+00:00,13.39,13.465,13.325,13.345,400.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,69.9960855773582,23.328715999426066,False,False,True,False,False,
2025-03-05 16:00:00+00:00,13.35,13.35,13.235,13.275,1201.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,52.910949575080885,9.597283605493274,False,False,False,True,False,
2025-03-05 17:00:00+00:00,13.275,13.445,13.255,13.43,0.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,47.357098491912105,6.477734578765364,False,False,False,True,False,
2025-03-05 18:00:00+00:00,13.43,13.475,13.375,13.475,409.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.05167730433145,5.595983382590802,False,False,False,True,False,
2025-03-05 19:00:00+00:00,13.465,13.475,13.41,13.465,2709.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.29673949557556,4.505915906080034,False,False,False,True,False,
2025-03-05 20:00:00+00:00,13.465,13.5,13.45,13.47,688.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.30770586052387,3.5929355907502014,False,False,False,True,False,
2025-03-06 15:00:00+00:00,13.515,13.575,13.335,13.355,1001.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.10583749886669,0.30851900067168714,False,False,False,True,False,
2025-03-06 16:00:00+00:00,13.355,13.405,13.325,13.33,2200.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.489342135287465,-2.5472649528114744,False,False,False,True,False,
2025-03-06 17:00:00+00:00,13.325,13.465,13.315,13.445,1300.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.011426961306015,-2.5472649528114744,False,False,False,True,False,
2025-03-06 18:00:00+00:00,13.445,13.485,13.435,13.455,1310.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.026398969845886,-2.5472649528114744,False,False,False,True,True,
2025-03-06 19:00:00+00:00,13.455,13.495,13.435,13.475,2000.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.07832661403923,-2.5472649528114744,False,False,False,True,True,
2025-03-06 20:00:00+00:00,13.475,13.485,13.425,13.425,2394.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.902797082925275,-2.5472649528114744,False,False,False,True,True,
2025-03-07 15:00:00+00:00,13.74,13.815,13.545,13.69,0.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.85474733323261,-9.063020602363636,False,False,False,False,True,
2025-03-07 16:00:00+00:00,13.69,13.69,13.58,13.6,1293.0,,,,,,,13.623333333333331,"rgba(38, 166, 154, 1.0)",,13.623333333333331,,0,,,0.0,0.0,0.0,0.0,51.86234668336779,-6.83486821438013,False,False,True,False,True,
2025-03-07 17:00:00+00:00,13.605,13.655,13.565,13.59,1130.0,,,,,,,13.614006053102214,"rgba(38, 166, 154, 1.0)",,13.614006053102214,,0,,,0.0,0.0,0.0,0.0,52.91733638597015,-5.39633494190516,False,False,True,False,True,
2025-03-07 18:00:00+00:00,13.59,13.625,13.56,13.6,12.0,,,,,,,13.61391238877481,"rgba(38, 166, 154, 1.0)",,13.61391238877481,,0,,,0.0,0.0,0.0,0.0,53.872957283245725,-3.9582613965236604,False,False,True,False,True,
2025-03-07 19:00:00+00:00,13.6,13.665,13.575,13.595,508.0,,,,,,,13.61352474798958,"rgba(38, 166, 154, 1.0)",,13.61352474798958,,0,,,0.0,0.0,0.0,0.0,54.33565632673135,-2.919813815408027,False,False,True,False,True,
2025-03-07 20:00:00+00:00,13.595,13.625,13.585,13.6,1139.0,,,,,,,13.610681038706517,"rgba(38, 166, 154, 1.0)",,13.610681038706517,,0,,,0.0,0.0,0.0,0.0,54.799815572728676,-1.8433726242416597,False,False,True,False,True,
2025-03-10 14:00:00+00:00,13.495,13.54,13.445,13.455,4500.0,,,,,,,13.54215800512701,"rgba(38, 166, 154, 1.0)",,13.54215800512701,,0,,,0.0,0.0,0.0,0.0,50.38963607650863,-1.8433726242416597,False,False,False,False,False,
2025-03-10 15:00:00+00:00,13.46,13.615,13.445,13.47,6912.0,,,,,,,13.52781205627985,"rgba(38, 166, 154, 1.0)",,13.52781205627985,,0,,,0.0,0.0,0.0,0.0,48.00888004272478,4.277904278130698,False,False,False,True,False,
2025-03-10 16:00:00+00:00,13.47,13.47,13.47,13.47,0.0,,,,,,,13.52781205627985,"rgba(38, 166, 154, 1.0)",,13.52781205627985,,0,,,0.0,0.0,0.0,0.0,46.421709353535554,2.4978295678685214,False,False,False,True,False,
2025-03-10 17:00:00+00:00,13.47,13.47,13.365,13.375,622.0,,,,,,,13.523007776950442,"rgba(38, 166, 154, 1.0)",,13.523007776950442,,0,,,0.0,0.0,0.0,0.0,42.66602298203689,-1.2487915485402823,False,False,False,True,False,
2025-03-10 18:00:00+00:00,13.375,13.385,13.33,13.335,350.0,,,,,,,13.519330337260616,"rgba(38, 166, 154, 1.0)",,13.519330337260616,,0,,,0.0,0.0,0.0,0.0,39.2081156740996,-4.598513781203245,False,False,False,True,False,
2025-03-10 19:00:00+00:00,13.335,13.375,13.325,13.35,1360.0,,,,,,,13.428205804255953,"rgba(38, 166, 154, 1.0)",,13.428205804255953,,0,,,0.0,0.0,0.0,0.0,37.652346497793545,-6.17720241349101,False,False,False,True,False,
2025-03-11 14:00:00+00:00,13.51,13.535,13.45,13.455,3700.0,,,,,,,13.473465566719145,"rgba(38, 166, 154, 1.0)",,13.473465566719145,,0,,,0.0,0.0,0.0,0.0,41.138531984434294,-6.17720241349101,False,False,False,True,True,
2025-03-11 15:00:00+00:00,13.45,13.535,13.445,13.505,4700.0,,,,,,,13.484874469017523,"rgba(38, 166, 154, 1.0)",,13.484874469017523,,0,,,0.0,0.0,0.0,0.0,45.19153239973174,-11.276811972224287,False,False,False,True,True,
2025-03-11 16:00:00+00:00,13.5,13.515,13.43,13.435,3200.0,,,,,,,13.481540185183087,"rgba(38, 166, 154, 1.0)",,13.481540185183087,,0,,,0.0,0.0,0.0,0.0,45.4770674488058,-10.895983840349587,False,False,False,True,True,
2025-03-11 17:00:00+00:00,13.435,13.45,13.42,13.425,200.0,,,,,,,13.481054865020738,"rgba(38, 166, 154, 1.0)",,13.481054865020738,,0,,,0.0,0.0,0.0,0.0,45.33906538234545,-10.731876488897342,False,False,False,True,True,
2025-03-11 18:00:00+00:00,13.425,13.475,13.39,13.455,3906.0,,,,,,,13.474793235725366,"rgba(38, 166, 154, 1.0)",,13.474793235725366,,0,,,0.0,0.0,0.0,0.0,46.48016700230336,-9.268697328621457,False,False,False,True,True,
2025-03-11 19:00:00+00:00,13.455,13.485,13.445,13.46,5366.0,,,,,,,13.47336593486074,"rgba(38, 166, 154, 1.0)",,13.47336593486074,,0,,,0.0,0.0,0.0,0.0,47.45385072272446,-7.956297781201961,False,False,False,True,True,
2025-03-12 14:00:00+00:00,13.585,13.66,13.575,13.645,3509.0,,,,,,,13.490400889506713,"rgba(38, 166, 154, 1.0)",,13.490400889506713,,0,,,0.0,0.0,0.0,0.0,53.865664098659956,-1.7524816734239934,False,False,True,False,True,
2025-03-12 15:00:00+00:00,13.65,13.68,13.59,13.66,0.0,,,,,,,13.490400889506713,"rgba(38, 166, 154, 1.0)",,13.490400889506713,,0,,,0.0,0.0,0.0,0.0,58.47579918887257,2.488247487029909,False,False,True,False,True,
2025-03-12 16:00:00+00:00,13.665,13.705,13.655,13.675,100.0,,,,,,,13.553436426677772,"rgba(38, 166, 154, 1.0)",,13.553436426677772,,0,,,0.0,0.0,0.0,0.0,61.90331398471949,5.576093076320262,False,False,True,False,True,
2025-03-12 17:00:00+00:00,13.675,13.7,13.665,13.68,3100.0,,,,,,,13.565681672384088,"rgba(38, 166, 154, 1.0)",,13.565681672384088,,0,,,0.0,0.0,0.0,0.0,64.31517739788326,7.78247069230742,False,False,True,False,True,
2025-03-12 18:00:00+00:00,13.675,13.705,13.67,13.695,0.0,,,,,,,13.565681672384088,"rgba(38, 166, 154, 1.0)",,13.565681672384088,,0,,,0.0,0.0,0.0,0.0,66.3293017885292,9.724980001918766,False,False,True,False,True,
2025-03-12 19:00:00+00:00,13.695,13.705,13.67,13.7,426.0,,,,,,,13.617186134195837,"rgba(38, 166, 154, 1.0)",,13.617186134195837,,0,,,0.0,0.0,0.0,0.0,67.81623188947233,11.281556312369872,True,False,True,False,True,
2025-03-13 14:00:00+00:00,13.585,13.635,13.55,13.605,2884.0,,,,,,,13.579026522824048,"rgba(38, 166, 154, 1.0)",,13.579026522824048,,0,,,0.0,0.0,0.0,0.0,63.19743585792432,11.281556312369872,True,False,True,False,False,
2025-03-13 15:00:00+00:00,13.605,13.615,13.465,13.535,12236.0,,,,,,,13.545028401894331,"rgba(38, 166, 154, 1.0)",,13.545028401894331,,0,,,0.0,0.0,0.0,0.0,57.15701727662982,14.283818098354601,True,False,True,False,False,
2025-03-13 16:00:00+00:00,13.54,13.58,13.5,13.51,5700.0,,,,,,,13.540743702079933,"rgba(38, 166, 154, 1.0)",,13.540743702079933,,0,,,0.0,0.0,0.0,0.0,52.19783888301272,9.814657503957719,False,False,False,False,False,
2025-03-13 17:00:00+00:00,13.51,13.525,13.465,13.465,2000.0,,,,,,,13.53689758601974,"rgba(38, 166, 154, 1.0)",,13.53689758601974,,0,,,0.0,0.0,0.0,0.0,47.3187049040382,5.432375569543794,False,True,False,True,False,
2025-03-13 18:00:00+00:00,13.465,13.505,13.455,13.495,4000.0,,,,,,,13.523098722808308,"rgba(38, 166, 154, 1.0)",,13.523098722808308,,0,,,0.0,0.0,0.0,0.0,45.673669635850594,3.9452823100735017,False,True,False,True,False,
2025-03-13 19:00:00+00:00,13.495,13.515,13.485,13.49,1837.0,,,,,,,13.522232851255318,"rgba(38, 166, 154, 1.0)",,13.522232851255318,,0,,,0.0,0.0,0.0,0.0,44.37527993284037,2.546949955974469,False,True,False,True,False,
2025-03-14 14:00:00+00:00,13.55,13.565,13.5,13.555,5900.0,,,,,,,13.527477966372667,"rgba(38, 166, 154, 1.0)",,13.527477966372667,,0,,,0.0,0.0,0.0,0.0,46.86191011686597,2.546949955974469,False,True,False,True,False,
2025-03-14 15:00:00+00:00,13.555,13.575,13.535,13.565,0.0,,,,,,,13.527477966372667,"rgba(38, 166, 154, 1.0)",,13.527477966372667,,0,,,0.0,0.0,0.0,0.0,48.985706014139225,2.546949955974469,False,False,False,False,True,0.0
2025-03-14 16:00:00+00:00,13.565,13.58,13.55,13.575,0.0,,,,,,,13.527477966372667,"rgba(38, 166, 154, 1.0)",,13.527477966372667,,0,,,0.0,0.0,0.0,0.0,50.89454942296611,2.546949955974469,False,False,False,False,True,0.2079181861099677
2025-03-14 17:00:00+00:00,13.575,13.615,13.575,13.595,500.0,,,,,,,13.528600623984865,"rgba(38, 166, 154, 1.0)",,13.528600623984865,,0,,,0.0,0.0,0.0,0.0,53.169887401316004,-4.173904058917373,True,False,True,False,True,1.1198093729044665
2025-03-14 18:00:00+00:00,13.59,13.625,13.59,13.605,0.0,,,,,,,13.528600623984865,"rgba(38, 166, 154, 1.0)",,13.528600623984865,,0,,,0.0,0.0,0.0,0.0,55.19440437563375,-1.9072034290048094,True,False,True,False,True,1.5765463089507676
2025-03-14 19:00:00+00:00,13.61,13.615,13.595,13.6,623.0,,,,,,,13.530082288853121,"rgba(38, 166, 154, 1.0)",,13.530082288853121,,0,,,0.0,0.0,0.0,0.0,56.151920489977776,-0.6063770743289609,True,False,True,False,True,1.3357719931091943
2025-03-17 14:00:00+00:00,13.73,13.735,13.645,13.655,100.0,,,,,,,13.53054343906586,"rgba(38, 166, 154, 1.0)",,13.53054343906586,,0,,,0.0,0.0,0.0,0.0,59.54764207572835,2.939822809231188,True,False,True,False,True,3.8469333205638527
2025-03-17 15:00:00+00:00,13.655,13.715,13.635,13.705,5500.0,,,,,,,13.551821173653567,"rgba(38, 166, 154, 1.0)",,13.551821173653567,,0,,,0.0,0.0,0.0,0.0,63.69514975753912,7.033198604118908,True,False,True,False,True,6.028015034418054
2025-03-17 16:00:00+00:00,13.705,13.715,13.67,13.695,1400.0,,,,,,,13.55634458239704,"rgba(38, 166, 154, 1.0)",,13.55634458239704,,0,,,0.0,0.0,0.0,0.0,65.58670626811788,8.96743310214584,True,False,True,False,True,5.524272014918605
2025-03-17 17:00:00+00:00,13.695,13.745,13.69,13.745,9.0,,,,,,,13.556379628746555,"rgba(38, 166, 154, 1.0)",,13.556379628746555,,0,,,0.0,0.0,0.0,0.0,68.5829140144078,11.956104912412485,True,False,True,False,True,7.660214233944988
2025-03-17 18:00:00+00:00,13.745,13.755,13.705,13.715,900.0,,,,,,,13.559758755385928,"rgba(38, 166, 154, 1.0)",,13.559758755385928,,0,,,0.0,0.0,0.0,0.0,68.02222483654995,11.956104912412485,True,False,True,False,True,6.133071996609743
2025-03-17 19:00:00+00:00,13.715,13.725,13.7,13.7,2485.0,,,,,,,13.567368500147872,"rgba(38, 166, 154, 1.0)",,13.567368500147872,,0,,,0.0,0.0,0.0,0.0,66.42818489716447,11.956104912412485,True,False,True,False,True,5.375453917634278
2025-03-18 14:00:00+00:00,13.805,13.815,13.765,13.775,0.0,,,,,,,13.567368500147872,"rgba(38, 166, 154, 1.0)",,13.567368500147872,,0,,,0.0,0.0,0.0,0.0,68.24934833300378,12.266591102429487,True,False,True,False,True,8.541706266109141
2025-03-18 15:00:00+00:00,13.775,13.785,13.695,13.695,400.0,,,,,,,13.590984062716299,"rgba(38, 166, 154, 1.0)",,13.590984062716299,,0,,,0.0,0.0,0.0,0.0,64.18596556776907,12.266591102429487,True,False,True,False,False,4.601602955148813
2025-03-18 16:00:00+00:00,13.695,13.705,13.61,13.62,703.0,,,,,,,13.58455950201911,"rgba(239, 83, 80, 1.0)",,13.58455950201911,,0,,,0.0,0.0,0.0,0.0,57.95484700117315,14.371875118310967,True,False,True,False,False,1.1651850704704643
2025-03-18 17:00:00+00:00,13.62,13.73,13.605,13.665,2956.0,,,,,,,13.588211122230074,"rgba(239, 83, 80, 1.0)",,13.588211122230074,,0,,,0.0,0.0,0.0,0.0,55.851519680158376,12.479945044462049,True,False,True,False,False,3.0664422734572767
2025-03-18 18:00:00+00:00,13.66,13.675,13.63,13.635,500.0,,,,,,,13.588393202830954,"rgba(239, 83, 80, 1.0)",,13.588393202830954,,0,,,0.0,0.0,0.0,0.0,53.10574645700756,9.878906367240319,False,False,False,False,False,1.7224863808988466
2025-03-18 19:00:00+00:00,13.635,13.655,13.635,13.65,860.0,,,,,,,13.58883109016824,"rgba(239, 83, 80, 1.0)",,13.58883109016824,,0,,,0.0,0.0,0.0,0.0,52.00958452215394,8.71406433885737,False,False,False,False,False,2.3605108546565035
2025-03-19 14:00:00+00:00,13.655,13.71,13.645,13.685,4200.0,,,,,,,13.595891808909178,"rgba(239, 83, 80, 1.0)",,13.595891808909178,,0,,,0.0,0.0,0.0,0.0,52.94183387182906,8.71406433885737,False,False,True,False,False,3.8358058148342167
2025-03-19 15:00:00+00:00,13.685,13.75,13.685,13.695,2800.0,,,,,,,13.601871743598545,"rgba(239, 83, 80, 1.0)",,13.601871743598545,,0,,,0.0,0.0,0.0,0.0,54.02982641175595,8.71406433885737,False,False,True,False,False,4.2547050036639895
2025-03-19 16:00:00+00:00,13.695,13.76,13.665,13.745,5500.0,,,,,,,13.612777590343702,"rgba(239, 83, 80, 1.0)",,13.612777590343702,,0,,,0.0,0.0,0.0,0.0,56.92071327976936,8.71406433885737,True,False,True,False,True,6.317416710629388
2025-03-19 17:00:00+00:00,13.745,13.755,13.675,13.68,5400.0,,,,,,,13.619290666933347,"rgba(239, 83, 80, 1.0)",,13.619290666933347,,0,,,0.0,0.0,0.0,0.0,55.12182920921638,8.71406433885737,False,False,True,False,True,3.289380229017116
2025-03-19 18:00:00+00:00,13.685,13.69,13.635,13.675,100.0,,,,,,,13.61933550032044,"rgba(239, 83, 80, 1.0)",,13.61933550032044,,0,,,0.0,0.0,0.0,0.0,53.661630659293365,8.71406433885737,False,False,True,False,False,3.061218170751374
2025-03-19 19:00:00+00:00,13.675,13.705,13.675,13.685,2734.0,,,,,,,13.621546712282717,"rgba(239, 83, 80, 1.0)",,13.621546712282717,,0,,,0.0,0.0,0.0,0.0,53.23091823878583,8.63133576150819,False,True,True,False,False,3.4865542225220274
2025-03-20 14:00:00+00:00,13.655,13.835,13.655,13.835,3126.0,,,,,,,13.628163243660897,"rgba(239, 83, 80, 1.0)",,13.628163243660897,,0,,,0.0,0.0,0.0,0.0,58.62882618965702,8.63133576150819,True,False,True,False,True,9.421237122953414
