date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_377,aVWAP_BoS_CHoCH_bull_495,aVWAP_BoS_CHoCH_bull_546,aVWAP_BoS_CHoCH_bear_353,aVWAP_BoS_CHoCH_bear_540,aVWAP_BoS_CHoCH_bear_689,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-28 14:00:00+00:00,2.36,2.36,2.29,2.31,828.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-28 15:00:00+00:00,2.31,2.345,2.3,2.34,1452.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-03-28 16:00:00+00:00,2.34,2.37,2.33,2.36,537.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-28 17:00:00+00:00,2.36,2.39,2.36,2.38,911.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-28 18:00:00+00:00,2.38,2.385,2.37,2.38,282.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-03-28 19:00:00+00:00,2.38,2.4,2.31,2.32,3697.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,81.58005558830959,33.422050029478626,False,False,True,False,False,
2025-03-31 14:00:00+00:00,2.27,2.365,2.27,2.365,769.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.15745661753849,28.74690762048607,False,False,True,False,False,
2025-03-31 15:00:00+00:00,2.365,2.39,2.365,2.375,240.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,71.80087170078527,26.700775354828522,False,False,True,False,False,
2025-03-31 16:00:00+00:00,2.375,2.375,2.33,2.335,405.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,64.16287427915367,20.46927122589959,False,False,True,False,False,
2025-03-31 17:00:00+00:00,2.33,2.34,2.325,2.335,510.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,59.07087599806593,16.5343726023805,False,False,True,False,False,
2025-03-31 18:00:00+00:00,2.335,2.355,2.33,2.335,723.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,55.676210477340774,13.921177550399207,False,False,True,False,False,
2025-03-31 19:00:00+00:00,2.33,2.345,2.315,2.335,2677.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,53.41310013019067,12.054720655037855,False,False,False,False,False,
2025-04-01 14:00:00+00:00,2.31,2.31,2.26,2.275,801.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.805910415038454,5.116443299551769,False,False,False,True,False,
2025-04-01 15:00:00+00:00,2.275,2.29,2.27,2.275,1692.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,40.734450604936974,0.6078120652662307,False,False,False,True,False,
2025-04-01 16:00:00+00:00,2.275,2.29,2.275,2.285,1170.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.04623865708365,-0.9463028576927357,False,False,False,True,False,
2025-04-01 17:00:00+00:00,2.285,2.285,2.26,2.265,938.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.24009672940032,-3.786306836084279,False,False,False,True,False,
2025-04-01 18:00:00+00:00,2.265,2.27,2.22,2.235,891.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.40310883993416,-7.660211506437697,False,False,False,True,False,
2025-04-01 19:00:00+00:00,2.235,2.27,2.235,2.25,665.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.2975473958917,-8.176310731988892,False,False,False,True,False,
2025-04-02 14:00:00+00:00,2.26,2.26,2.235,2.24,1572.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,31.49666010552952,-9.540899148365206,False,False,False,True,False,
2025-04-02 15:00:00+00:00,2.24,2.26,2.24,2.25,1220.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.630205759284344,-9.540899148365206,False,False,False,True,False,
2025-04-02 16:00:00+00:00,2.24,2.27,2.24,2.25,1175.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,33.38590286178756,-9.540899148365206,False,False,False,True,False,
2025-04-02 17:00:00+00:00,2.25,2.27,2.24,2.24,753.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.926192786113404,-10.039928388834483,False,False,False,True,False,
2025-04-02 18:00:00+00:00,2.24,2.265,2.225,2.25,880.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.551638117551725,-10.039928388834483,False,False,False,True,False,
2025-04-02 19:00:00+00:00,2.25,2.26,2.24,2.245,4260.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,35.05873158100253,-10.039928388834483,False,False,False,True,False,
2025-04-03 14:00:00+00:00,2.195,2.225,2.175,2.205,386.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,31.889585646147722,-12.469009787604598,False,False,False,True,False,
2025-04-03 15:00:00+00:00,2.205,2.22,2.2,2.205,176.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.77682168957785,-14.774923522602208,False,False,False,True,False,
2025-04-03 16:00:00+00:00,2.205,2.21,2.195,2.205,753.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,28.368312385197935,-16.384127946250686,False,False,False,True,False,
2025-04-03 17:00:00+00:00,2.205,2.21,2.18,2.205,590.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,27.42930618227799,-17.567580791952572,False,False,False,True,False,
2025-04-03 18:00:00+00:00,2.2,2.22,2.19,2.205,495.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,26.803302046998027,-18.48755488611576,False,False,False,True,False,
2025-04-03 19:00:00+00:00,2.205,2.21,2.19,2.205,4431.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,26.385965956811386,-19.239663863644445,False,False,False,True,False,
2025-04-04 14:00:00+00:00,2.14,2.14,2.085,2.13,1015.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,21.629652768414598,-23.909575188282233,False,False,False,True,False,
2025-04-04 15:00:00+00:00,2.125,2.18,2.105,2.105,1247.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,17.793576559625514,-27.485177465118774,False,False,False,True,False,
2025-04-04 16:00:00+00:00,2.105,2.11,2.06,2.07,174.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,14.541300063343044,-30.434372834333594,False,False,False,True,False,
2025-04-04 17:00:00+00:00,2.07,2.08,2.05,2.075,696.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.355319505954924,-31.508756498752543,False,False,False,True,False,
2025-04-04 18:00:00+00:00,2.075,2.09,2.015,2.025,208.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,11.59462919986657,-33.22739272254349,False,False,False,True,False,
2025-04-04 19:00:00+00:00,2.025,2.055,2.01,2.045,2893.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.685119566418045,-33.22739272254349,False,False,False,True,True,
2025-04-07 14:00:00+00:00,1.95,2.1,1.95,2.1,915.0,,,,,,,2.05,"rgba(239, 83, 80, 1.0)",,2.05,,0,,,0.0,0.0,0.0,0.0,21.865208203294856,-33.96981085683419,False,False,False,True,True,
2025-04-07 15:00:00+00:00,2.1,2.1,1.995,1.995,114.0,,,,,,,2.047784256559767,"rgba(239, 83, 80, 1.0)",,2.047784256559767,,0,,,0.0,0.0,0.0,0.0,22.89185840751844,-33.21447064267082,False,False,False,True,True,
2025-04-07 16:00:00+00:00,1.995,2.045,1.995,2.01,439.0,,,,,,,2.0384786557674843,"rgba(239, 83, 80, 1.0)",,2.0384786557674843,,0,,,0.0,0.0,0.0,0.0,24.899321030338143,-31.33713951376405,False,False,False,True,True,
2025-04-07 17:00:00+00:00,2.02,2.125,2.02,2.105,1612.0,,,,,,,2.061954545454545,"rgba(239, 83, 80, 1.0)",,2.061954545454545,,0,,,0.0,0.0,0.0,0.0,32.722348084481325,-24.13024089937538,False,False,False,True,True,
2025-04-07 18:00:00+00:00,2.105,2.105,2.07,2.08,423.0,,,,,,,2.064737367970311,"rgba(239, 83, 80, 1.0)",,2.064737367970311,,0,,,0.0,0.0,0.0,0.0,36.72931531752459,-20.644189031725062,False,False,False,True,True,
2025-04-07 19:00:00+00:00,2.075,2.105,2.06,2.1,1889.0,,,,,,,2.0730038328387734,"rgba(239, 83, 80, 1.0)",,2.0730038328387734,,0,,,0.0,0.0,0.0,0.0,40.56454376575577,-17.2309290881985,False,False,False,True,True,
2025-04-08 14:00:00+00:00,2.145,2.165,2.09,2.095,1101.0,,,,,,,2.0804076184609066,"rgba(239, 83, 80, 1.0)",,2.0804076184609066,,0,,,0.0,0.0,0.0,0.0,42.84059917724062,-15.14072014671492,False,False,False,True,True,
2025-04-08 15:00:00+00:00,2.095,2.095,2.02,2.03,1844.0,,,,,,,2.073313342129463,"rgba(239, 83, 80, 1.0)",,2.073313342129463,,0,,,0.0,0.0,0.0,0.0,41.14424314930036,-15.14072014671492,False,False,False,True,True,
2025-04-08 16:00:00+00:00,2.025,2.03,1.99,1.995,702.0,,,,,,,2.0680078917284357,"rgba(239, 83, 80, 1.0)",,2.0680078917284357,,0,,,0.0,0.0,0.0,0.0,38.632734254479374,-15.14072014671492,False,False,False,True,False,
2025-04-08 17:00:00+00:00,1.995,2.01,1.965,2.005,408.0,,,,,,,2.0647828234712957,"rgba(239, 83, 80, 1.0)",,2.0647828234712957,,0,,,0.0,0.0,0.0,0.0,37.71222325354165,-15.14072014671492,False,False,False,True,False,
2025-04-08 18:00:00+00:00,2.005,2.025,1.98,1.995,656.0,,,,,,,2.060576396449899,"rgba(239, 83, 80, 1.0)",,2.060576396449899,,0,,,0.0,0.0,0.0,0.0,36.65724865157105,-15.14072014671492,False,False,False,True,False,
2025-04-08 19:00:00+00:00,1.995,1.995,1.97,1.975,1958.0,,,,,,,2.0474955089406626,"rgba(239, 83, 80, 1.0)",,2.0474955089406626,,0,,,0.0,0.0,0.0,0.0,35.07097365483206,-15.14072014671492,False,False,False,True,False,
2025-04-09 14:00:00+00:00,2.005,2.025,1.96,1.965,641.0,,,,,,,2.0442575972287824,"rgba(239, 83, 80, 1.0)",,2.0442575972287824,,0,,,0.0,0.0,0.0,0.0,33.57383446399522,-9.946887735228373,False,False,False,True,False,
2025-04-09 15:00:00+00:00,1.965,1.99,1.96,1.96,160.0,,,,,,,2.043333851656041,"rgba(239, 83, 80, 1.0)",,2.043333851656041,,0,,,0.0,0.0,0.0,0.0,32.344066400787106,-11.543816248711153,False,False,False,True,False,0.0
2025-04-09 16:00:00+00:00,1.96,2.01,1.955,1.99,496.0,,,,,,,2.013083919748465,"rgba(239, 83, 80, 1.0)",,2.013083919748465,,0,,,0.0,0.0,0.0,0.0,34.63292785318622,-11.543816248711153,False,False,False,True,False,0.0
2025-04-09 17:00:00+00:00,2.0,2.205,1.995,2.12,1413.0,,,,,,,2.0763850512721125,"rgba(239, 83, 80, 1.0)",,2.0763850512721125,,0,,,0.0,0.0,0.0,0.0,44.129564372388685,-12.286801956883721,True,False,False,True,True,0.0
2025-04-09 18:00:00+00:00,2.12,2.15,2.065,2.07,752.0,,,,,,,2.077681198830812,"rgba(239, 83, 80, 1.0)",,2.077681198830812,,0,,,0.0,0.0,0.0,0.0,47.40028158201991,-9.441593153109757,True,False,False,False,True,0.0
2025-04-09 19:00:00+00:00,2.07,2.14,2.06,2.11,2257.0,,,,,,,2.083534989588291,"rgba(239, 83, 80, 1.0)",,2.083534989588291,,0,,,0.0,0.0,0.0,0.0,51.3578628184371,-5.87842043067775,True,False,True,False,True,0.0
2025-04-10 14:00:00+00:00,2.1,2.1,2.01,2.035,788.0,,,,,,,2.078695867546884,"rgba(239, 83, 80, 1.0)",,2.078695867546884,,0,,,0.0,0.0,0.0,0.0,50.118869432575664,-5.87842043067775,True,False,False,False,True,0.0
2025-04-10 15:00:00+00:00,2.025,2.035,1.99,2.005,998.0,,,,,,,2.0696403003759998,"rgba(239, 83, 80, 1.0)",,2.0696403003759998,,0,,,0.0,0.0,0.0,0.0,48.0042663950354,-5.87842043067775,True,False,False,False,False,0.0
2025-04-10 16:00:00+00:00,2.005,2.02,1.985,2.005,475.0,,,,,,,2.0658406517405132,"rgba(239, 83, 80, 1.0)",,2.0658406517405132,,0,,,0.0,0.0,0.0,0.0,46.59453103667522,-5.87842043067775,True,False,False,True,False,0.0
2025-04-10 17:00:00+00:00,2.005,2.025,1.985,2.01,411.0,,,,,,,2.0630712723661357,"rgba(239, 83, 80, 1.0)",,2.0630712723661357,,0,,,0.0,0.0,0.0,0.0,45.970101092623096,-5.87842043067775,True,False,False,True,False,0.0
2025-04-10 18:00:00+00:00,2.015,2.045,1.99,1.99,755.0,,,,,,,2.058791914049171,"rgba(239, 83, 80, 1.0)",,2.058791914049171,,0,,,0.0,0.0,0.0,0.0,44.50439836525911,-5.87842043067775,True,False,False,True,False,0.0
