date,Open,High,Low,Close,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2023-11-30 17:00:00+00:00,116.93,119.31,116.93,118.47,11198.0,0,,,
2023-12-01 17:00:00+00:00,120.79,121.88,120.5,121.68,5590.0,0,,,
2023-12-04 17:00:00+00:00,122.35,123.7,121.9,121.9,8796.0,0,,,
2023-12-05 17:00:00+00:00,119.56,119.68,117.27,117.365,9666.0,0,,,
2023-12-06 17:00:00+00:00,113.68,115.54,112.36,114.93,26303.0,0,,,
2023-12-07 17:00:00+00:00,115.0,116.29,114.84,115.95,15168.0,0,,,
2023-12-08 17:00:00+00:00,116.25,116.695,115.43,115.43,7800.0,0,,,
2023-12-11 17:00:00+00:00,116.69,116.69,115.27,115.54,7097.0,0,,,
2023-12-12 17:00:00+00:00,113.025,113.85,113.005,113.46,16743.0,0,,,
2023-12-13 17:00:00+00:00,112.85,114.7,111.82,114.7,10549.0,0,,,
2023-12-14 17:00:00+00:00,118.51,119.77,118.445,118.6,9491.0,0,,,
2023-12-15 17:00:00+00:00,119.35,119.86,118.52,118.775,3843.0,0,,,
2023-12-18 17:00:00+00:00,119.38,119.695,117.67,117.91,4563.0,0,,,
2023-12-19 17:00:00+00:00,119.53,121.915,119.53,121.91,6514.0,0,,,
2023-12-20 17:00:00+00:00,122.97,123.59,120.82,120.905,11277.0,0,,,
2023-12-21 17:00:00+00:00,122.05,122.575,121.795,122.37,8566.0,0,,,
2023-12-22 17:00:00+00:00,130.09,132.38,130.09,132.38,35707.0,0,,,
2023-12-25 17:00:00+00:00,132.38,132.38,132.38,132.38,0.0,0,,,
2023-12-26 17:00:00+00:00,131.135,133.605,131.135,133.605,6291.0,0,,,
2023-12-27 17:00:00+00:00,136.08,137.8,136.08,137.775,28262.0,0,,,137.21833333333333
2023-12-28 17:00:00+00:00,135.04,136.24,135.025,135.765,8490.0,0,,,136.86219625235813
2023-12-29 17:00:00+00:00,135.86,136.65,135.76,136.085,10629.0,0,,,136.70579391880008
2024-01-01 17:00:00+00:00,136.085,136.085,136.085,136.085,0.0,0,,,136.70579391880008
2024-01-02 17:00:00+00:00,134.34,134.8,133.3,133.6,18950.0,0,,,135.9042110275236
2024-01-03 17:00:00+00:00,131.965,132.61,131.325,131.71,14917.0,0,,,135.16567845772616
2024-01-04 17:00:00+00:00,131.92,133.5,131.48,132.12,7615.0,0,,,134.92582075779572
2024-01-05 17:00:00+00:00,132.89,132.89,131.25,131.61,8808.0,0,,,134.65445434161626
2024-01-08 17:00:00+00:00,131.925,134.43,131.925,134.42,8585.0,0,,,134.5685859465191
2024-01-09 17:00:00+00:00,133.51,133.98,133.02,133.595,8129.0,0,,,134.4948951931343
2024-01-10 17:00:00+00:00,134.08,134.22,133.445,133.75,12065.0,0,,,134.4290700804007
2024-01-11 17:00:00+00:00,133.16,134.48,133.08,134.07,6641.0,0,,,134.4015061499275
2024-01-12 17:00:00+00:00,134.645,137.0,134.56,136.805,6693.0,0,,,135.3027679252752
2024-01-15 17:00:00+00:00,136.805,136.805,136.805,136.805,0.0,0,,,135.3027679252752
