date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_83,aVWAP_BoS_CHoCH_bull_132,aVWAP_BoS_CHoCH_bull_146,aVWAP_BoS_CHoCH_bull_160,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_41,aVWAP_BoS_CHoCH_bear_64,aVWAP_BoS_CHoCH_bear_155,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,6.734089269,7.0125666448,6.7024441127,6.9619343947,2614491,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,6.7530763628,6.9745924572,6.5885848402,6.7783924879,1913323,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,6.9176311758,6.993579551,6.4935860808,6.6454828313,1561018,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,6.1956957614,6.9556053634,6.182921131,6.9556053634,1193263,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,76.87741706794236,28.141933322039264,False,False,True,False,False,
2022-01-28 00:00:00+00:00,6.1637591853,6.3106674353,5.6719359135,6.0551748266,2192077,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,6.048787511366666,,0,,,0.0,0.0,0.0,0.0,60.159999761951866,13.2871369655428,False,False,True,False,False,
2022-02-04 00:00:00+00:00,6.2851181744,6.419251794,6.1285650784,6.1445972396,1225919,,,,,,,,,,#000000,,6.130870920104484,,0,,,0.0,0.0,0.0,0.0,51.268340834833424,6.258948281651406,False,False,False,False,False,
2022-02-11 00:00:00+00:00,6.1382099244,6.4511883701,6.1062733483,6.3170547505,1800691,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.165727414478361,,0,,,0.0,0.0,0.0,0.0,43.714239217307906,0.46670275994849675,False,False,False,True,False,
2022-02-18 00:00:00+00:00,6.1272455849,6.3937025331,5.9849143592,6.1062733483,1211031,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.166272385614812,,0,,,0.0,0.0,0.0,0.0,38.23714994157867,-3.467444365503873,False,False,False,True,False,
2022-02-25 00:00:00+00:00,6.0562985307,6.0724228612,5.5532194196,6.0047006732,1374178,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.006152544054888,,0,,,0.0,0.0,0.0,0.0,33.80875588099144,-6.6019612560488525,False,False,False,True,False,
2022-03-04 00:00:00+00:00,5.9079546903,6.1078963883,5.8563568327,5.9918012088,929492,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.010384020852468,,0,,,0.0,0.0,0.0,0.0,29.725989437929247,-9.620659245676222,False,False,False,True,False,
2022-03-11 00:00:00+00:00,5.8499071005,5.9789017444,5.6886637957,5.9079546903,1121534,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.982308366781114,,0,,,0.0,0.0,0.0,0.0,26.497290709929676,-12.02456971664595,False,False,False,True,False,
2022-03-18 00:00:00+00:00,5.949559994,6.030499602,5.7080129922,5.8628065649,798415,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.976000609519355,,0,,,0.0,0.0,0.0,0.0,26.368445643308497,-12.02456971664595,False,False,False,True,False,
2022-03-25 00:00:00+00:00,6.0407909249,6.1320218558,5.8778785483,5.9300105088,891044,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.985130821244979,,0,,,0.0,0.0,0.0,0.0,28.050094017674116,-12.02456971664595,False,False,False,True,False,
2022-04-01 00:00:00+00:00,6.1580878361,6.2097636419,6.0603404101,6.0668569052,659914,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.0005015337467835,,0,,,0.0,0.0,0.0,0.0,31.257513416327715,-12.02456971664595,False,False,False,True,False,
2022-04-08 00:00:00+00:00,5.9951754595,6.2428022719,5.8257465878,6.1906703114,717581,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.009649714743266,,0,,,0.0,0.0,0.0,0.0,32.048969490692166,-12.02456971664595,False,False,False,True,False,
2022-04-15 00:00:00+00:00,5.8843950434,5.9821424693,5.7931641125,5.9560764891,741139,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.981579565720402,,0,,,0.0,0.0,0.0,0.0,31.7517335474408,-12.02456971664595,False,False,False,True,False,
2022-04-22 00:00:00+00:00,5.671308118,6.0467605718,5.6647212329,5.9413704094,1061989,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.946833324994877,,0,,,0.0,0.0,0.0,0.0,30.16989519252664,-12.02456971664595,False,False,False,True,False,
2022-04-29 00:00:00+00:00,5.4868753337,5.7734048379,5.4802884486,5.6581343477,856987,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.90197656683281,,0,,,0.0,0.0,0.0,0.0,28.10091972465169,-12.02456971664595,False,False,False,True,False,
2022-05-06 00:00:00+00:00,5.3946589415,5.6317868071,5.3090294345,5.6317868071,1190253,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.840025503244479,,0,,,0.0,0.0,0.0,0.0,26.210765168656792,-12.39607969398292,False,False,False,True,False,
