date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_282,aVWAP_BoS_CHoCH_bull_379,aVWAP_BoS_CHoCH_bull_696,aVWAP_BoS_CHoCH_bull_820,aVWAP_BoS_CHoCH_bear_177,aVWAP_BoS_CHoCH_bear_310,aVWAP_BoS_CHoCH_bear_571,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-01-16 15:00:00+00:00,89.625,89.84,89.265,89.46,2126.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-16 16:00:00+00:00,89.46,90.09,89.46,90.01,4259.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-16 17:00:00+00:00,90.02,90.06,89.65,89.68,3084.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-16 18:00:00+00:00,89.68,89.74,89.5,89.51,3354.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-16 19:00:00+00:00,89.545,89.8,89.48,89.58,2068.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-16 20:00:00+00:00,89.58,89.85,89.53,89.84,6846.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-17 15:00:00+00:00,89.33,89.45,89.055,89.39,1531.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-17 16:00:00+00:00,89.47,89.905,89.36,89.74,2309.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-17 17:00:00+00:00,89.76,89.88,89.66,89.66,1803.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-17 18:00:00+00:00,89.66,89.795,89.43,89.43,1216.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
