date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bear_197,aVWAP_BoS_CHoCH_bear_257,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-26 17:00:00+00:00,7.275,7.335,7.265,7.305,11454.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-27 17:00:00+00:00,7.305,7.335,7.245,7.285,5557.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-28 17:00:00+00:00,7.235,7.245,7.12,7.125,19395.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-12-29 17:00:00+00:00,7.06,7.085,7.02,7.02,9336.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-01-01 17:00:00+00:00,7.02,7.02,7.02,7.02,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-01-02 17:00:00+00:00,7.165,7.22,7.025,7.045,10988.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,3.5792726237198025,-46.77865463865218,False,False,False,True,True,
2024-01-03 17:00:00+00:00,7.085,7.19,7.06,7.155,13979.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,16.29174257358588,-35.5521880411959,False,False,False,True,True,
2024-01-04 17:00:00+00:00,6.96,6.975,6.82,6.825,20409.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,17.26538872751315,-35.5521880411959,False,False,False,True,True,
2024-01-05 17:00:00+00:00,6.875,6.9,6.82,6.885,6490.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.59060313426049,-33.07153095475471,False,False,False,True,True,
2024-01-08 17:00:00+00:00,6.745,6.825,6.71,6.755,12552.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,21.036781618576192,-33.06335947555938,False,False,False,True,True,
2024-01-09 17:00:00+00:00,6.675,6.74,6.63,6.635,25571.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.10330516139841,-33.06335947555938,False,False,False,True,True,
2024-01-10 17:00:00+00:00,6.535,6.56,6.485,6.555,11662.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,18.799343598753488,-33.06335947555938,False,False,False,True,False,
2024-01-11 17:00:00+00:00,6.655,6.69,6.535,6.655,9980.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,21.735244176493705,-32.84326580328941,False,False,False,True,True,
2024-01-12 17:00:00+00:00,6.695,6.725,6.665,6.72,8599.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,25.878338280376404,-29.04430838854378,False,False,False,True,True,
2024-01-15 17:00:00+00:00,6.72,6.72,6.72,6.72,0.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,28.640401016298206,-26.581793540505075,False,False,False,True,True,
2024-01-16 17:00:00+00:00,6.665,6.67,6.515,6.535,13300.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,27.680088478388942,-26.581793540505075,False,False,False,True,True,
2024-01-17 17:00:00+00:00,6.48,6.495,6.43,6.445,10158.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,26.020949556075735,-26.581793540505075,False,False,False,True,False,
2024-01-18 17:00:00+00:00,6.455,6.495,6.385,6.49,6131.0,,,6.456666666666665,"rgba(239, 83, 80, 1.0)",,6.456666666666665,,0,,,0.0,0.0,0.0,0.0,26.527105947270023,-26.581793540505075,False,False,False,True,False,
2024-01-19 17:00:00+00:00,6.48,6.59,6.465,6.585,10440.0,,,6.5133681330839,"rgba(239, 83, 80, 1.0)",,6.5133681330839,,0,,,0.0,0.0,0.0,0.0,29.989614557506528,-25.195691017402222,False,False,False,True,True,
2024-01-22 17:00:00+00:00,6.625,6.655,6.605,6.645,11897.0,,,6.564199042199428,"rgba(239, 83, 80, 1.0)",,6.564199042199428,,0,,,0.0,0.0,0.0,0.0,34.068355668113675,-21.342206339100482,False,False,False,True,True,
2024-01-23 17:00:00+00:00,6.675,6.7,6.645,6.67,12121.0,,,6.596291852472345,"rgba(239, 83, 80, 1.0)",,6.596291852472345,,0,,,0.0,0.0,0.0,0.0,37.51866990926187,-18.164665158454003,False,False,False,True,True,
2024-01-24 17:00:00+00:00,6.805,6.81,6.715,6.775,13356.0,,,6.63847418667161,"rgba(239, 83, 80, 1.0)",,6.63847418667161,,0,,,0.0,0.0,0.0,0.0,42.63689468014098,-13.505504220675263,False,False,False,True,True,
2024-01-25 17:00:00+00:00,6.825,6.9,6.78,6.9,10398.0,,,6.674273347528092,"rgba(38, 166, 154, 1.0)",,6.674273347528092,,0,,,0.0,0.0,0.0,0.0,48.7075469559636,-8.090022069586496,False,False,False,False,True,
2024-01-26 17:00:00+00:00,6.86,6.925,6.795,6.92,3859.0,,,6.685913756194833,"rgba(38, 166, 154, 1.0)",,6.685913756194833,,0,,,0.0,0.0,0.0,0.0,53.140442321806766,-4.247822359135306,False,False,True,False,True,
2024-01-29 17:00:00+00:00,6.875,6.93,6.85,6.925,15450.0,,,6.725761966241094,"rgba(38, 166, 154, 1.0)",,6.725761966241094,,0,,,0.0,0.0,0.0,0.0,56.20013457229287,-1.576613965910994,False,False,True,False,True,
2024-01-30 17:00:00+00:00,6.955,6.99,6.88,6.975,6068.0,,,6.844574193788081,"rgba(38, 166, 154, 1.0)",,6.844574193788081,,0,,,0.0,0.0,0.0,0.0,59.30615681061587,1.2812463214603085,False,False,True,False,True,
2024-01-31 17:00:00+00:00,6.865,6.885,6.705,6.705,6488.0,,,6.798023211630278,"rgba(38, 166, 154, 1.0)",,6.798023211630278,,0,,,0.0,0.0,0.0,0.0,53.94618317660167,1.2812463214603085,False,False,True,False,False,
2024-02-01 17:00:00+00:00,6.705,6.735,6.555,6.615,5501.0,,,6.76181965362043,"rgba(239, 83, 80, 1.0)",,6.76181965362043,,0,,,0.0,0.0,0.0,0.0,48.74247369746246,7.564878062876566,False,False,False,True,False,
2024-02-02 17:00:00+00:00,6.475,6.5,6.405,6.41,10529.0,,,6.683615345330257,"rgba(239, 83, 80, 1.0)",,6.683615345330257,,0,,,0.0,0.0,0.0,0.0,42.40102896428428,1.7758299700407747,False,False,False,True,False,
2024-02-05 17:00:00+00:00,6.32,6.475,6.32,6.395,10257.0,,,6.635972738132525,"rgba(239, 83, 80, 1.0)",,6.635972738132525,,0,,,0.0,0.0,0.0,0.0,37.99343596996602,-2.212461915256796,False,False,False,True,False,
2024-02-06 17:00:00+00:00,6.65,6.695,6.59,6.63,11887.0,,,6.639748996868781,"rgba(239, 83, 80, 1.0)",,6.639748996868781,,0,,,0.0,0.0,0.0,0.0,40.78063054769541,-2.212461915256796,False,False,False,True,False,
2024-02-07 17:00:00+00:00,6.345,6.47,6.315,6.445,38350.0,,,6.51589443173334,"rgba(239, 83, 80, 1.0)",,6.51589443173334,,0,,,0.0,0.0,0.0,0.0,39.90662310063152,-2.212461915256796,False,False,False,True,False,
2024-02-08 17:00:00+00:00,6.485,6.51,6.43,6.5,21690.0,,,6.516629350025191,"rgba(239, 83, 80, 1.0)",,6.516629350025191,,0,,,0.0,0.0,0.0,0.0,40.47495247648071,-2.212461915256796,False,False,False,True,False,
2024-02-09 17:00:00+00:00,6.52,6.595,6.505,6.53,9299.0,,,6.521375712830246,"rgba(239, 83, 80, 1.0)",,6.521375712830246,,0,,,0.0,0.0,0.0,0.0,41.4986059117522,-2.212461915256796,False,False,False,True,False,
2024-02-12 17:00:00+00:00,6.73,6.755,6.7,6.725,13537.0,,,6.546262394420968,"rgba(239, 83, 80, 1.0)",,6.546262394420968,,0,,,0.0,0.0,0.0,0.0,45.850726147662556,-2.212461915256796,False,False,False,True,True,
2024-02-13 17:00:00+00:00,6.57,6.595,6.455,6.465,13230.0,,,6.5438320870803866,"rgba(239, 83, 80, 1.0)",,6.5438320870803866,,0,,,0.0,0.0,0.0,0.0,44.63662806115478,-2.212461915256796,False,False,False,True,True,
2024-02-14 17:00:00+00:00,6.435,6.515,6.415,6.475,6897.0,,,6.540946095414597,"rgba(239, 83, 80, 1.0)",,6.540946095414597,,0,,,0.0,0.0,0.0,0.0,44.014039749947585,-2.212461915256796,False,False,False,True,True,
2024-02-15 17:00:00+00:00,6.735,6.89,6.725,6.825,13983.0,,,6.565513430993389,"rgba(38, 166, 154, 1.0)",,6.565513430993389,,0,,,0.0,0.0,0.0,0.0,48.87046144872997,-8.511076025676658,False,False,False,False,True,
2024-02-16 17:00:00+00:00,6.815,6.9,6.805,6.835,9776.0,,,6.581918511433762,"rgba(38, 166, 154, 1.0)",,6.581918511433762,,0,,,0.0,0.0,0.0,0.0,52.22961608064632,-5.10177607675022,False,False,True,False,True,
2024-02-19 17:00:00+00:00,6.835,6.835,6.835,6.835,0.0,,,6.581918511433762,"rgba(38, 166, 154, 1.0)",,6.581918511433762,,0,,,0.0,0.0,0.0,0.0,54.46905250192389,-2.760934608418097,False,False,True,False,True,
2024-02-20 17:00:00+00:00,6.85,6.88,6.785,6.805,19834.0,,,6.607240767863495,"rgba(38, 166, 154, 1.0)",,6.607240767863495,,0,,,0.0,0.0,0.0,0.0,55.32644568958195,-1.635182024997249,False,False,True,False,True,
2024-02-21 17:00:00+00:00,7.085,7.105,7.005,7.06,17894.0,,,6.645291873612419,"rgba(38, 166, 154, 1.0)",,6.645291873612419,,0,,,0.0,0.0,0.0,0.0,59.28082498503739,2.3739744627840054,True,False,True,False,True,
2024-02-22 17:00:00+00:00,6.985,7.13,6.975,7.115,18027.0,,,6.678636676983494,"rgba(38, 166, 154, 1.0)",,6.678636676983494,,0,,,0.0,0.0,0.0,0.0,62.51000600855622,5.591568807929605,True,False,True,False,True,
2024-02-23 17:00:00+00:00,7.035,7.09,7.005,7.05,24751.0,,,6.714078529721665,"rgba(38, 166, 154, 1.0)",,6.714078529721665,,0,,,0.0,0.0,0.0,0.0,63.11712513110907,6.407298032093365,True,False,True,False,True,
2024-02-26 17:00:00+00:00,7.045,7.075,6.995,7.03,13525.0,,,6.72987437714427,"rgba(38, 166, 154, 1.0)",,6.72987437714427,,0,,,0.0,0.0,0.0,0.0,63.034155629620656,6.717935129447724,True,False,True,False,True,
2024-02-27 17:00:00+00:00,7.125,7.2,7.07,7.14,13323.0,,,6.7487459886973395,"rgba(38, 166, 154, 1.0)",,6.7487459886973395,,0,,,0.0,0.0,0.0,0.0,64.50578559631609,8.546959142739901,True,False,True,False,True,
2024-02-28 17:00:00+00:00,7.135,7.155,7.06,7.065,11856.0,,,6.762358990191605,"rgba(38, 166, 154, 1.0)",,6.762358990191605,,0,,,0.0,0.0,0.0,0.0,63.543270005460926,8.546959142739901,True,False,True,False,True,
2024-02-29 17:00:00+00:00,7.165,7.18,7.06,7.06,16691.0,,,6.780102228274649,"rgba(38, 166, 154, 1.0)",,6.780102228274649,,0,,,0.0,0.0,0.0,0.0,62.7692821017628,8.546959142739901,True,False,True,False,True,
2024-03-01 17:00:00+00:00,7.275,7.28,7.155,7.205,21429.0,,,6.807460866259817,"rgba(38, 166, 154, 1.0)",,6.807460866259817,,0,,,0.0,0.0,0.0,0.0,64.49813170850908,9.574300863487032,True,False,True,False,True,
2024-03-04 17:00:00+00:00,7.055,7.075,6.93,6.99,21194.0,,,6.818555133030309,"rgba(38, 166, 154, 1.0)",,6.818555133030309,,0,,,0.0,0.0,0.0,0.0,60.562591988816365,9.574300863487032,True,False,True,False,False,0.0
2024-03-05 17:00:00+00:00,7.005,7.02,6.91,6.925,11455.0,,,6.822577759819424,"rgba(38, 166, 154, 1.0)",,6.822577759819424,,0,,,0.0,0.0,0.0,0.0,56.692305187944285,11.833328243222525,True,False,True,False,False,0.0
2024-03-06 17:00:00+00:00,7.075,7.135,7.005,7.065,21325.0,,,6.8357835313820265,"rgba(38, 166, 154, 1.0)",,6.8357835313820265,,0,,,0.0,0.0,0.0,0.0,56.60908230420197,11.680943034619332,True,False,True,False,False,1.6186726816192447
2024-03-07 17:00:00+00:00,7.33,7.385,7.075,7.085,72052.0,,,6.888942738255764,"rgba(38, 166, 154, 1.0)",,6.888942738255764,,0,,,0.0,0.0,0.0,0.0,56.88812248452204,11.680943034619332,True,False,True,False,False,2.0660945768861723
2024-03-08 17:00:00+00:00,6.935,7.035,6.895,7.01,19861.0,,,6.914418662405656,"rgba(38, 166, 154, 1.0)",,6.914418662405656,,0,,,0.0,0.0,0.0,0.0,55.37777227587702,10.04701871938915,True,False,True,False,False,0.30904505226649803
2024-03-11 17:00:00+00:00,7.2,7.33,7.19,7.325,7574.0,,,6.939690553086043,"rgba(38, 166, 154, 1.0)",,6.939690553086043,,0,,,0.0,0.0,0.0,0.0,59.05691015978153,10.04701871938915,True,False,True,False,True,6.957547391164841
2024-03-12 17:00:00+00:00,7.43,7.485,7.36,7.45,9591.0,,,6.97113555334621,"rgba(38, 166, 154, 1.0)",,6.97113555334621,,0,,,0.0,0.0,0.0,0.0,62.812715329299245,7.852609045052894,True,False,True,False,True,9.324726331699502
2024-03-13 17:00:00+00:00,7.445,7.515,7.425,7.505,19240.0,,,7.014503710574428,"rgba(38, 166, 154, 1.0)",,7.014503710574428,,0,,,0.0,0.0,0.0,0.0,65.85546878169774,10.644160778120664,True,False,True,False,True,10.334789249210967
2024-03-14 17:00:00+00:00,7.155,7.215,7.125,7.205,35808.0,,,7.017997896521989,"rgba(38, 166, 154, 1.0)",,7.017997896521989,,0,,,0.0,0.0,0.0,0.0,61.87596229331976,10.644160778120664,True,False,True,False,False,3.606031448980332
2024-03-15 17:00:00+00:00,7.255,7.355,7.24,7.355,19689.0,,,7.031000570239364,"rgba(38, 166, 154, 1.0)",,7.031000570239364,,0,,,0.0,0.0,0.0,0.0,61.120361285543865,10.644160778120664,True,False,True,False,False,6.367148070457155
2024-03-18 17:00:00+00:00,7.4,7.505,7.395,7.505,9596.0,,,7.04154060521003,"rgba(38, 166, 154, 1.0)",,7.04154060521003,,0,,,0.0,0.0,0.0,0.0,62.259277454524955,10.644160778120664,True,False,True,False,False,8.972820956602472
2024-03-19 17:00:00+00:00,7.675,7.735,7.645,7.73,16982.0,,,7.0703948272602135,"rgba(38, 166, 154, 1.0)",,7.0703948272602135,,0,,,0.0,0.0,0.0,0.0,65.03679939595986,10.644160778120664,True,False,True,False,True,12.598963206919404
2024-03-20 17:00:00+00:00,7.72,7.83,7.705,7.83,21311.0,,,7.1063856899652915,"rgba(38, 166, 154, 1.0)",,7.1063856899652915,,0,,,0.0,0.0,0.0,0.0,67.65949204644579,12.019859420325496,True,False,True,False,True,14.115388568369625
2024-03-21 17:00:00+00:00,7.825,7.865,7.795,7.85,9061.0,,,7.121242885024657,"rgba(38, 166, 154, 1.0)",,7.121242885024657,,0,,,0.0,0.0,0.0,0.0,69.5650075112697,13.929607209991133,True,False,True,False,True,14.41585236850105
2024-03-22 17:00:00+00:00,7.735,7.755,7.715,7.715,8302.0,,,7.131773318135754,"rgba(38, 166, 154, 1.0)",,7.131773318135754,,0,,,0.0,0.0,0.0,0.0,67.98234678810665,13.929607209991133,True,False,True,False,True,11.476442621799404
2024-03-25 17:00:00+00:00,7.975,7.975,7.855,7.905,12662.0,,,7.15257875047266,"rgba(38, 166, 154, 1.0)",,7.15257875047266,,0,,,0.0,0.0,0.0,0.0,68.75554449374988,13.929607209991133,True,False,True,False,True,14.340225934975223
2024-03-26 17:00:00+00:00,7.875,7.92,7.78,7.78,9577.0,,,7.165368198381337,"rgba(38, 166, 154, 1.0)",,7.165368198381337,,0,,,0.0,0.0,0.0,0.0,66.84681311724341,13.929607209991133,True,False,True,False,False,11.715802382906553
2024-03-27 17:00:00+00:00,7.775,7.895,7.77,7.855,7603.0,,,7.175293354690348,"rgba(38, 166, 154, 1.0)",,7.175293354690348,,0,,,0.0,0.0,0.0,0.0,66.37868036082504,13.929607209991133,True,False,True,False,False,12.833864481834219
2024-03-28 17:00:00+00:00,7.995,8.08,7.975,8.035,19194.0,,,7.206675809408508,"rgba(38, 166, 154, 1.0)",,7.206675809408508,,0,,,0.0,0.0,0.0,0.0,67.79245408457876,13.929607209991133,True,False,True,False,False,15.412050532999867
2024-03-29 17:00:00+00:00,8.035,8.035,8.035,8.035,0.0,,,7.206675809408508,"rgba(38, 166, 154, 1.0)",,7.206675809408508,,0,,,0.0,0.0,0.0,0.0,68.7349699004146,14.219505666945679,True,False,True,False,False,15.412050532999867
2024-04-01 17:00:00+00:00,8.04,8.095,7.995,8.085,5286.0,,,7.215112655484425,"rgba(38, 166, 154, 1.0)",,7.215112655484425,,0,,,0.0,0.0,0.0,0.0,69.8533448760725,15.558622776182318,True,False,True,False,True,16.11834489661771
2024-04-02 17:00:00+00:00,8.105,8.27,8.08,8.27,12327.0,,,7.237770414462192,"rgba(38, 166, 154, 1.0)",,7.237770414462192,,0,,,0.0,0.0,0.0,0.0,72.20260529223899,17.98602100021816,True,False,True,False,True,18.64049048931515
2024-04-03 17:00:00+00:00,8.365,8.45,8.355,8.415,13995.0,,,7.267542147400569,"rgba(38, 166, 154, 1.0)",,7.267542147400569,,0,,,0.0,0.0,0.0,0.0,74.7846711980155,20.528551884134245,True,False,True,False,True,20.0
2024-04-04 17:00:00+00:00,8.555,8.65,8.555,8.625,8375.0,,,7.287793938431293,"rgba(38, 166, 154, 1.0)",,7.287793938431293,,0,,,0.0,0.0,0.0,0.0,77.68863983081087,23.287066012214652,True,False,True,False,True,20.0
2024-04-05 17:00:00+00:00,8.695,8.705,8.61,8.7,14849.0,,,7.323605131766005,"rgba(38, 166, 154, 1.0)",,7.323605131766005,,0,,,0.0,0.0,0.0,0.0,79.98973994762139,25.441028187070387,True,False,True,False,True,20.0
