date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_155,aVWAP_BoS_CHoCH_bull_231,aVWAP_BoS_CHoCH_bull_281,aVWAP_BoS_CHoCH_bull_327,aVWAP_BoS_CHoCH_bull_396,aVWAP_BoS_CHoCH_bull_533,aVWAP_BoS_CHoCH_bull_739,aVWAP_BoS_CHoCH_bull_792,aVWAP_BoS_CHoCH_bear_335,aVWAP_BoS_CHoCH_bear_725,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,111.3380493447,113.347950116,110.5302878054,113.267173962,357670,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,110.3117170359,112.4499093458,110.1454131896,112.3453754996,492639,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,106.8906093401,110.0836431896,106.8811062632,109.9315939586,465948,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,107.3752662637,108.5726539572,105.9307985699,105.9307985699,318830,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,107.0616647249,107.6603585717,106.5865108783,107.6603585717,279323,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,105.4746508771,106.5580016475,103.7450908754,106.1873816471,400721,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,106.6625354937,107.0141493403,105.2845893385,105.7217308774,417472,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,107.0236524172,107.3895208791,105.9498047238,106.6720385707,391709,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,105.3130985693,107.4988062638,105.1800554922,106.9191185709,370135,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,104.1632262604,105.2465770308,103.5740354906,104.5528524147,292899,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,102.2055924123,103.1844093363,101.9395062581,103.0323601054,424701,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,102.0060277967,103.1368939517,101.6449108732,102.671243182,534310,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,101.4453462576,103.3174524134,101.3598185652,102.6237277973,340530,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,100.4190139489,101.5783893347,100.1719339486,101.1507508727,450244,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,101.0462170265,101.1412477958,97.7866616385,99.2311293323,496692,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,99.7252893328,100.7516216415,98.6134293317,99.8488293329,392756,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,99.4687062556,101.2932970267,99.1503531784,100.6090754876,615948,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,98.138275485,100.3239831796,98.0812570234,100.0198847177,500443,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,99.6207554865,99.6207554865,96.7793354836,98.2998277929,521593,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,102.0250339505,102.2911201047,99.3831785632,99.3831785632,513060,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,102.1580770276,102.6997524128,100.6660939492,101.815966258,627375,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
