date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score
2025-06-06 00:00:00+00:00,18.48,20.47,17.14,20.23,36456,0,,
2025-06-13 00:00:00+00:00,19.4634,20.43,18.13,18.13,26665,0,,
2025-06-20 00:00:00+00:00,19.727,20.625,19.32,20.28,26550,0,,
2025-06-27 00:00:00+00:00,20.6996,21.89,19.72,19.72,19730,0,,
2025-07-04 00:00:00+00:00,21.2309,21.97,20.5654,21.5,24518,0,,
2025-07-11 00:00:00+00:00,21.0055,21.2977,20.1201,20.98,15213,0,,
2025-07-18 00:00:00+00:00,22.2051,22.43,21.1,21.1,8141,0,,
2025-07-25 00:00:00+00:00,23.9918,24.015,21.79,22.755,12750,0,,
2025-08-01 00:00:00+00:00,23.2371,25.67,23.1699,24.27,44481,0,,
2025-08-08 00:00:00+00:00,26.0053,26.095,23.69,23.98,18538,0,,
2025-08-15 00:00:00+00:00,24.4584,26.23,24.2976,25.83,19508,0,,
