date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bear_250,aVWAP_BoS_CHoCH_bear_354,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2023-11-27 17:00:00+00:00,6.105,6.17,6.09,6.17,9120.0,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-11-28 17:00:00+00:00,6.105,6.13,6.005,6.05,8121.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-11-29 17:00:00+00:00,6.0,6.0,5.95,6.0,12126.0,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-11-30 17:00:00+00:00,5.975,6.02,5.94,5.95,10297.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-01 17:00:00+00:00,6.06,6.18,6.06,6.165,6577.0,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-04 17:00:00+00:00,6.11,6.12,6.02,6.05,5092.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-05 17:00:00+00:00,6.03,6.06,5.915,5.935,13692.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-06 17:00:00+00:00,5.975,6.015,5.92,5.925,7510.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-07 17:00:00+00:00,5.935,5.975,5.905,5.97,2652.0,,,,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-08 17:00:00+00:00,5.935,5.94,5.88,5.92,4019.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-11 17:00:00+00:00,5.895,5.93,5.855,5.915,5215.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2023-12-12 17:00:00+00:00,5.79,5.805,5.71,5.745,5770.0,,,,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
