date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_44,aVWAP_BoS_CHoCH_bull_88,aVWAP_BoS_CHoCH_bear_50,aVWAP_BoS_CHoCH_bear_96,aVWAP_BoS_CHoCH_bear_155,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,5.6476014811,5.8152856106,5.3457700481,5.5067468124,993241,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,5.8957739928,6.2579717125,5.6341867508,5.6476014811,1843967,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,6.3719969205,6.4390705723,5.7951635151,5.9494329142,1332341,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,5.7750414195,6.5195589545,5.7556571342,6.4390705723,1597641,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,86.43793450231341,37.17960995921814,False,False,True,False,False,
2022-01-28 00:00:00+00:00,5.8085782454,6.2311422517,5.5067468124,5.6207720204,1645690,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,77.1274732436317,28.934571143299138,False,False,True,False,False,
2022-02-04 00:00:00+00:00,6.204312791,6.3854116509,5.7012604026,5.7884561499,1510472,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,73.90419894448416,26.675047810444127,False,False,True,False,False,
2022-02-11 00:00:00+00:00,6.2110201562,6.3250453643,5.7884561499,6.2848011732,2167695,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,71.6477027750976,25.23653109535799,False,False,True,False,False,
2022-02-18 00:00:00+00:00,5.9695550097,6.3451674598,5.8421150713,6.1908980607,1282890,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,67.14286819740948,21.548244735831872,False,False,True,False,False,
2022-02-25 00:00:00+00:00,6.7878535616,6.8079756572,5.5536983686,6.1037023133,2029241,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,68.43462882412985,21.548244735831872,False,False,True,False,False,
2022-03-04 00:00:00+00:00,6.9421229608,7.210417568,6.5530957804,6.8415124831,3587584,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,69.90290903122026,21.548244735831872,False,False,True,False,True,
