date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_91,aVWAP_BoS_CHoCH_bull_180,aVWAP_BoS_CHoCH_bull_204,aVWAP_BoS_CHoCH_bull_278,aVWAP_BoS_CHoCH_bull_318,aVWAP_BoS_CHoCH_bull_357,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2023-09-12 00:00:00+00:00,98.1256009169,99.0111594696,95.2213497495,97.1257767445,617793,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-13 00:00:00+00:00,96.173563247,99.5063104883,95.2213497495,99.5063104883,1733567,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-14 00:00:00+00:00,95.9450320076,98.0589459721,95.2975268293,96.2306960569,1160691,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-15 00:00:00+00:00,95.3260932343,97.4114407938,93.9358615279,96.4401830263,2453515,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-18 00:00:00+00:00,99.1539914942,99.4682219484,95.6974564983,95.7069786333,1226948,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-19 00:00:00+00:00,100.4585239858,101.0869848941,98.0589459721,98.9921151996,1280008,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-20 00:00:00+00:00,99.7253195927,100.8774979247,99.2587349789,100.6584888202,812525,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-21 00:00:00+00:00,85.53733848,95.6760552313,84.403075762,95.6760552313,5660193,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-22 00:00:00+00:00,83.3683097736,86.5024567576,82.6618829931,85.9950234364,1932891,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-25 00:00:00+00:00,81.7564627533,83.4479071574,81.3385764888,83.0101215469,1315499,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-26 00:00:00+00:00,80.6520490542,81.6370666777,80.0252196574,81.0798849917,1325208,,,,,,,80.77144512976668,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-27 00:00:00+00:00,80.413256903,81.6470163507,80.1296912235,80.9206902243,1254620,,,,,,,80.75128380715925,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-28 00:00:00+00:00,82.0549529423,82.1121635618,80.0252196574,80.3038105004,1091572,,,,,,,80.94339904609042,#000000,0,,,0.0,0.0,0.0,0.0
2023-09-29 00:00:00+00:00,83.6369509437,84.5224718376,81.9156575208,82.1146509801,1225368,,,,,,,81.5477192829415,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-02 00:00:00+00:00,84.5722202024,84.8408613725,82.4530393576,83.9254914597,1166736,,,,,,,82.01099876932403,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-03 00:00:00+00:00,84.0647868812,85.1493012344,83.6767496356,84.0747365542,1025517,,,,,,,82.34169008214587,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-04 00:00:00+00:00,83.0101215469,83.8060953841,81.6272165015,83.8060953841,977278,,,,,,,82.39897100440231,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-05 00:00:00+00:00,81.7564627533,84.6717169321,81.6072176588,82.9504235091,661801,,,,,,,82.42016346586722,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-06 00:00:00+00:00,81.5773686399,82.2937450934,80.5426026516,81.5773686399,570515,,,,,,,82.36194234813959,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-09 00:00:00+00:00,82.5026882257,83.0837491268,81.0102372809,81.0102372809,464118,,,,,,,82.35419095179401,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-10 00:00:00+00:00,81.6470163507,82.8310274335,81.6072176588,82.5424869176,445263,,,,,,,82.33998115614587,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-11 00:00:00+00:00,79.8262261981,81.5773686399,78.731762172,81.5773686399,1813012,,,,,,,81.9938693640736,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-12 00:00:00+00:00,79.5277360092,80.3734582112,79.010353015,79.6869307766,855336,,,,,,,81.83732188514558,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-13 00:00:00+00:00,77.2393112272,80.3336595193,77.2194118813,80.3137601734,1330345,,,,,,,81.50272025997918,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-16 00:00:00+00:00,79.8958739089,80.3436091923,77.8362916051,77.8362916051,1014110,,,,,,,81.35986426752795,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-17 00:00:00+00:00,79.4680379714,80.5028039597,78.9407053042,79.1993968013,1122222,,,,,,,81.24157331767627,#000000,0,,,0.0,0.0,0.0,0.0
2023-10-18 00:00:00+00:00,76.4831360819,79.6471320847,76.433387717,78.6024164234,573086,,,,,,,81.11553467369251,#000000,0,,,0.0,0.0,0.0,0.0
