date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_284,aVWAP_BoS_CHoCH_bear_110,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-01-29 17:00:00+00:00,20.985,20.985,20.985,20.985,0.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-01-30 17:00:00+00:00,20.985,20.99,20.97,20.99,305.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2024-01-31 17:00:00+00:00,20.99,21.04,20.99,21.04,200.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2024-02-01 17:00:00+00:00,21.04,21.04,21.04,21.04,0.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2024-02-02 17:00:00+00:00,21.04,21.04,21.04,21.04,0.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2024-02-05 17:00:00+00:00,21.04,21.04,21.04,21.04,0.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2024-02-06 17:00:00+00:00,20.84,20.84,20.84,20.84,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,71.50868071136382,24.357812640227436,False,False,True,False,False,
2024-02-07 17:00:00+00:00,20.84,20.84,20.84,20.84,28.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,52.51446785227303,8.972500224363898,False,False,False,True,False,
2024-02-08 17:00:00+00:00,20.84,20.84,20.84,20.84,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.851659279545835,-0.37265250230876745,False,False,False,True,False,
2024-02-09 17:00:00+00:00,20.84,20.84,20.84,20.84,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,31.409786897727706,-6.238065433196006,False,False,False,True,False,
2024-02-12 17:00:00+00:00,20.84,20.84,20.84,20.84,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,25.781871976515617,-10.148340720454165,False,False,False,True,False,
2024-02-13 17:00:00+00:00,20.84,20.84,20.6,20.6,47.0,,,20.68,"rgba(239, 83, 80, 1.0)",,20.68,,0,,,0.0,0.0,0.0,0.0,18.887867730837065,-15.81644666795556,False,False,False,True,False,
2024-02-14 17:00:00+00:00,20.6,20.67,20.6,20.67,100.0,,,20.65199546485261,"rgba(38, 166, 154, 1.0)",,20.65199546485261,,0,,,0.0,0.0,0.0,0.0,19.84501384527632,-15.81644666795556,False,False,False,True,False,
2024-02-15 17:00:00+00:00,20.725,20.725,20.725,20.725,0.0,,,20.65199546485261,"rgba(38, 166, 154, 1.0)",,20.65199546485261,,0,,,0.0,0.0,0.0,0.0,23.98640060387614,-15.81644666795556,False,False,False,True,True,
2024-02-16 17:00:00+00:00,20.725,20.725,20.645,20.65,0.0,,,20.65199546485261,"rgba(239, 83, 80, 1.0)",,20.65199546485261,,0,,,0.0,0.0,0.0,0.0,24.909477092389558,-15.81644666795556,False,False,False,True,True,
