date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bear_26,aVWAP_BoS_CHoCH_bear_51,aVWAP_BoS_CHoCH_bear_72,aVWAP_BoS_CHoCH_bear_157,aVWAP_BoS_CHoCH_bear_168,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,11.94,13.8,11.88,13.56,204671,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,11.7,13.02,11.58,12.18,150108,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,11.16,11.7,10.62,11.52,198442,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,9.06,11.1,9.06,11.04,149318,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,8.82,9.78,8.4,8.58,173202,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,9.0,9.9,8.58,8.58,232272,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,7.92,9.24,7.8,9.0,315543,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,8.34,8.94,7.8,7.92,133558,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,8.04,8.4,7.14,8.4,153317,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,8.52,9.3,7.86,7.98,166252,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,10.68,11.88,8.34,8.46,418987,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,13.74,14.16,10.2006,10.86,334947,,,,,,12.700199999999999,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,12.36,13.92,11.94,13.92,174380,,,,,,12.71382646001488,0,,,0.0,0.0,0.0,0.0
