date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_175,aVWAP_BoS_CHoCH_bull_247,aVWAP_BoS_CHoCH_bear_199,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-02-12 17:00:00+00:00,53.45,53.475,52.705,52.74,167.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-02-13 17:00:00+00:00,50.64,51.24,50.64,51.22,52.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2024-02-14 17:00:00+00:00,52.53,52.53,52.53,52.53,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,16.409185803757822,-74.61377870563673,False,False,False,True,True,
2024-02-15 17:00:00+00:00,52.88,53.06,52.88,53.06,1.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,30.44655650749818,-60.33922649189463,False,False,False,True,True,
2024-02-16 17:00:00+00:00,53.695,53.715,53.49,53.515,630.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.881899525237515,-48.2641902895524,False,False,False,True,True,
2024-02-19 17:00:00+00:00,53.515,53.515,53.515,53.515,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.505461537063745,-39.38773724817134,False,False,True,False,True,
2024-02-20 17:00:00+00:00,53.515,53.515,51.15,51.525,20.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.78816616975948,-39.38773724817134,False,False,False,True,True,
2024-02-21 17:00:00+00:00,50.54,50.54,50.54,50.54,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.26517741220244,-39.38773724817134,False,False,False,True,True,
2024-02-22 17:00:00+00:00,53.18,53.46,53.18,53.26,70.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.80317216472619,-37.86178217000535,False,False,False,True,True,
2024-02-23 17:00:00+00:00,52.63,52.99,52.52,52.61,184.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.74669529859244,-33.393240377992875,False,False,False,True,True,
2024-02-26 17:00:00+00:00,53.42,53.49,53.42,53.49,117.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,50.10075686719381,-27.552975597974655,False,False,False,False,True,
2024-02-27 17:00:00+00:00,53.54,53.54,53.15,53.2,400.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,51.49754678542739,-23.598545317650903,False,False,True,False,True,
2024-02-28 17:00:00+00:00,52.82,53.385,52.82,53.265,376.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,52.597130565383374,-19.96818639982968,False,False,True,False,True,
2024-02-29 17:00:00+00:00,53.71,54.23,53.71,54.1,410.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,55.4054005976646,-14.918434603934301,False,False,True,False,True,
2024-03-01 17:00:00+00:00,56.115,56.71,56.025,56.51,390.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,61.29240272693046,-7.372630950818014,False,False,True,False,True,
2024-03-04 17:00:00+00:00,57.15,57.15,57.0,57.0,100.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,65.80973966223121,-1.4987933866731282,False,False,True,False,True,
2024-03-05 17:00:00+00:00,55.56,55.56,55.0,55.24,360.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.56772661575171,-1.4987933866731282,False,False,True,False,True,
2024-03-06 17:00:00+00:00,56.675,57.02,56.42,56.42,5.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.942411067392726,-0.5731684330899895,False,False,True,False,True,
2024-03-07 17:00:00+00:00,58.34,58.55,58.32,58.32,132.0,,,,58.39666666666666,"rgba(38, 166, 154, 1.0)",,58.39666666666666,,0,,,0.0,0.0,0.0,0.0,66.53310923533604,3.271341100416322,False,False,True,False,True,
2024-03-08 17:00:00+00:00,58.2,58.2,56.09,56.09,251.0,,,,57.34591818973019,"rgba(38, 166, 154, 1.0)",,57.34591818973019,,0,,,0.0,0.0,0.0,0.0,63.28807637357753,3.271341100416322,False,False,True,False,True,
2024-03-11 17:00:00+00:00,55.245,55.245,54.79,55.08,313.0,,,,56.308168103448274,"rgba(38, 166, 154, 1.0)",,56.308168103448274,,0,,,0.0,0.0,0.0,0.0,59.310488656345306,3.271341100416322,False,False,True,False,False,
2024-03-12 17:00:00+00:00,55.55,55.55,55.55,55.55,0.0,,,,56.308168103448274,"rgba(38, 166, 154, 1.0)",,56.308168103448274,,0,,,0.0,0.0,0.0,0.0,57.433343455662126,3.271341100416322,False,False,True,False,False,
2024-03-13 17:00:00+00:00,54.63,54.63,54.63,54.63,0.0,,,,56.308168103448274,"rgba(38, 166, 154, 1.0)",,56.308168103448274,,0,,,0.0,0.0,0.0,0.0,54.47881660488893,3.271341100416322,False,False,True,False,False,
2024-03-14 17:00:00+00:00,53.86,53.86,53.86,53.86,0.0,,,,56.308168103448274,"rgba(239, 83, 80, 1.0)",,56.308168103448274,,0,,,0.0,0.0,0.0,0.0,51.17751208652801,10.867808139426543,False,False,False,False,False,
