date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bear_19,aVWAP_BoS_CHoCH_bear_72,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,2.65,5.7,2.57,3.3,68147256,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,2.76,3.0678,2.57,2.66,1967001,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,2.86,2.92,2.56,2.69,1183436,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,2.41,2.8599,2.3218,2.79,658511,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,2.22,2.64,1.72,2.3,2440797,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,2.61,3.09,2.21,2.21,1525394,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,2.42,2.81,2.4,2.67,889121,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,2.17,2.4726,2.15,2.45,454826,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,1.96,2.15,1.73,2.11,697415,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,1.83,2.09,1.79,1.94,285755,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,1.7,1.89,1.62,1.8,594500,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,1.93,1.95,1.58,1.67,352941,,,1.82,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,2.2,2.24,1.8594,1.99,457140,,,1.977895040125617,0,,,0.0,0.0,0.0,0.0
2022-04-01 00:00:00+00:00,2.35,2.62,2.08,2.26,446793,,,2.110170742652008,0,,,0.0,0.0,0.0,0.0
2022-04-08 00:00:00+00:00,2.21,2.43,2.09,2.42,450016,,,2.1452786268203186,0,,,0.0,0.0,0.0,0.0
2022-04-15 00:00:00+00:00,1.94,2.33,1.93,2.33,445735,,,2.1290007790488352,0,,,0.0,0.0,0.0,0.0
2022-04-22 00:00:00+00:00,1.9,2.1,1.82,1.92,447816,,,2.0964533869447526,0,,,0.0,0.0,0.0,0.0
2022-04-29 00:00:00+00:00,2.28,2.45,1.82,1.87,588148,,,2.112478740701085,0,,,0.0,0.0,0.0,0.0
2022-05-06 00:00:00+00:00,2.18,2.56,2.1134,2.38,372038,,,2.1304491835473547,0,,,0.0,0.0,0.0,0.0
2022-05-13 00:00:00+00:00,1.85,2.085,1.67,2.08,383626,,,2.1049552674232612,0,,,-1.0,0.0,1.67,28.0
2022-05-20 00:00:00+00:00,2.06,2.24,1.69,1.9,443763,,,2.0940039686272796,0,,,0.0,0.0,0.0,0.0
2022-05-27 00:00:00+00:00,2.44,2.46,1.97,2.19,384213,,,2.1097836437438353,0,,,0.0,0.0,0.0,0.0
2022-06-03 00:00:00+00:00,2.97,3.08,2.28,2.49,587272,2.776666666666667,,2.4797622998608766,0,,,0.0,0.0,0.0,0.0
2022-06-10 00:00:00+00:00,2.2,2.98,2.19,2.95,373603,2.652245737825766,,2.4264733345361593,0,,,0.0,0.0,0.0,0.0
2022-06-17 00:00:00+00:00,1.83,2.11,1.77,2.11,317663,2.46617245635249,,2.32563085007294,0,,,0.0,0.0,0.0,0.0
2022-06-24 00:00:00+00:00,2.04,2.12,1.94,2.01,219741,2.4026912878042075,,2.2912312311942338,0,,,0.0,0.0,0.0,0.0
2022-07-01 00:00:00+00:00,1.99,2.13,1.8265,2.13,176656,2.3583384039778656,,2.266347550722319,0,,,0.0,0.0,0.0,0.0
2022-07-08 00:00:00+00:00,1.8257,1.99,1.794,1.99,225484,2.30038537094539,,2.232226890983511,0,,,0.0,0.0,0.0,0.0
2022-07-15 00:00:00+00:00,1.48,1.83,1.4509,1.83,355396,2.1879886744849792,,2.161437025430934,0,,,0.0,0.0,0.0,0.0
2022-07-22 00:00:00+00:00,1.35,1.5595,1.35,1.54,412925,2.0691346294131314,,2.082169652473327,0,,,0.0,0.0,0.0,0.0
2022-07-29 00:00:00+00:00,1.5054,1.5768,1.2,1.36,379840,1.98917724543886,,2.0259740366388854,0,,,0.0,0.0,0.0,0.0
2022-08-05 00:00:00+00:00,1.67,1.82,1.4834,1.56,330197,1.956792813938298,,2.001579143057185,0,,,0.0,0.0,0.0,0.0
2022-08-12 00:00:00+00:00,1.84,1.88,1.58,1.67,357330,1.9386087051307686,,1.9866137443136647,0,,,0.0,0.0,0.0,0.0
2022-08-19 00:00:00+00:00,1.41,1.88,1.39,1.84,335580,1.9074045606894636,,1.962007031424457,0,,,0.0,0.0,0.0,0.0
2022-08-26 00:00:00+00:00,1.43,1.53,1.34,1.53,231998,1.8818488853544502,,1.9417743575489759,0,,,0.0,0.0,0.0,0.0
2022-09-02 00:00:00+00:00,1.39,1.53,1.3301,1.41,368290,1.8451813768623904,,1.9120341582867098,0,,,0.0,0.0,0.0,0.0
2022-09-09 00:00:00+00:00,1.5,1.53,1.34,1.39,217888,1.8278695026493244,,1.8974899761265647,0,,,0.0,0.0,0.0,0.0
2022-09-16 00:00:00+00:00,1.44,1.6,1.43,1.6,190837,1.8151787312443826,,1.8865241203653407,0,,,0.0,0.0,0.0,0.0
2022-09-23 00:00:00+00:00,1.3,1.46,1.27,1.38,105816,1.8055520777017433,,1.8784459364249801,0,,,0.0,0.0,0.0,0.0
2022-09-30 00:00:00+00:00,1.11,1.33,1.1,1.32,251372,1.7766352855802354,,1.854492388301522,0,,,0.0,0.0,0.0,0.0
2022-10-07 00:00:00+00:00,1.01,1.24,1.0,1.13,266063,1.7442959479315305,,1.8275415098204375,0,,,0.0,0.0,0.0,0.0
2022-10-14 00:00:00+00:00,0.8396,1.02,0.8301,1.0,384453,1.690765980904027,,1.7828254511999275,0,,,0.0,0.0,0.0,0.0
2022-10-21 00:00:00+00:00,0.85,0.9098,0.6894,0.83,501560,1.6242182726946615,,1.7261893070326904,0,,,0.0,0.0,0.0,0.0
2022-10-28 00:00:00+00:00,0.826,0.87,0.7749,0.82,269557,1.592757872690139,,1.6988195305821074,0,,,0.0,0.0,0.0,0.0
2022-11-04 00:00:00+00:00,0.86,0.93,0.810082,0.821,421134,1.5507602525637234,,1.661430347748746,0,,,0.0,0.0,0.0,0.0
2022-11-11 00:00:00+00:00,1.02,1.04,0.8401,0.8649,409213,1.5196797388107748,,1.6326667813660842,0,,,0.0,0.0,0.0,0.0
