date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_163,aVWAP_BoS_CHoCH_bull_231,aVWAP_BoS_CHoCH_bull_320,aVWAP_BoS_CHoCH_bull_394,aVWAP_BoS_CHoCH_bull_777,aVWAP_BoS_CHoCH_bull_876,aVWAP_BoS_CHoCH_bear_242,aVWAP_BoS_CHoCH_bear_353,aVWAP_BoS_CHoCH_bear_616,aVWAP_BoS_CHoCH_bear_719,aVWAP_BoS_CHoCH_bear_745,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,7.0391818058,7.1975881474,7.0292814094,7.1282853729,403699,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,7.2767913182,7.3510442908,7.0540324003,7.0688829948,814529,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,7.0985841839,7.4995502361,7.0886837875,7.3163929036,1053621,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,84.93150684931507,-10.273972602739718,False,False,True,False,True,
2022-01-06 00:00:00+00:00,6.9995802204,7.1975881474,6.8708750678,7.1282853729,1219974,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,70.93227469143368,-10.273972602739718,False,False,True,False,True,
2022-01-07 00:00:00+00:00,7.2668909218,7.2767913182,6.9748292295,7.0292814094,779445,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,69.04303139054666,-10.273972602739718,False,False,True,False,True,
2022-01-10 00:00:00+00:00,7.0886837875,7.2569905255,7.0391818058,7.187687751,820566,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.932710579324095,-10.273972602739718,False,False,True,False,True,
2022-01-11 00:00:00+00:00,7.5837036051,7.5936040014,7.0787833912,7.1777873547,1229365,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,65.51678748525427,-10.273972602739718,False,False,True,False,True,
2022-01-12 00:00:00+00:00,8.0985242153,8.2222791697,7.8213131175,7.8411139102,2126967,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,70.33463337183774,-10.273972602739718,False,False,True,False,True,
2022-01-13 00:00:00+00:00,7.8114127212,8.1664409343,7.8015123248,8.1480261971,1080757,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,69.20955718628232,-10.273972602739718,False,False,True,False,True,
2022-01-14 00:00:00+00:00,7.8015123248,7.8510143066,7.6134047941,7.6629067759,667613,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,68.32260992038428,-10.273972602739718,False,False,True,False,True,
