date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_161,aVWAP_BoS_CHoCH_bull_311,aVWAP_BoS_CHoCH_bull_400,aVWAP_BoS_CHoCH_bull_516,aVWAP_BoS_CHoCH_bull_612,aVWAP_BoS_CHoCH_bull_677,aVWAP_BoS_CHoCH_bull_748,aVWAP_BoS_CHoCH_bull_852,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-07 15:00:00+00:00,138.43,138.76,138.305,138.76,1100.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 16:00:00+00:00,138.76,138.76,135.28,135.28,100.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-03-07 17:00:00+00:00,135.28,135.28,135.28,135.28,0.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-03-07 18:00:00+00:00,135.28,137.925,135.28,137.925,200.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,16.343414232261225,-35.290927190964894,False,False,False,True,True,
2025-03-07 19:00:00+00:00,137.925,137.925,137.925,137.925,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,27.239023720435377,-26.465483505543833,False,False,False,True,True,
2025-03-07 20:00:00+00:00,137.925,137.925,137.925,137.925,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.502763379218145,-21.10484363736215,False,False,False,True,True,
2025-03-10 14:00:00+00:00,136.805,136.805,136.805,136.805,0.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,35.616331627303964,-21.096311799406397,False,False,False,True,True,
2025-03-10 15:00:00+00:00,136.805,136.805,136.805,136.805,100.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.35871045936118,-20.866888415969733,False,False,False,True,True,
2025-03-10 16:00:00+00:00,136.805,136.805,136.805,136.805,0.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.85362968073265,-20.46072864883932,False,False,False,True,True,
2025-03-10 17:00:00+00:00,136.805,136.805,136.805,136.805,0.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,37.183575828313636,-19.928008833547835,False,False,False,True,True,
2025-03-10 18:00:00+00:00,136.805,136.805,133.66,133.78,311.0,,,,,,,,,134.74833333333333,"rgba(239, 83, 80, 1.0)",,134.74833333333333,,0,,,0.0,0.0,0.0,0.0,31.137261850935943,-19.928008833547835,False,False,False,True,False,
2025-03-10 19:00:00+00:00,133.78,134.01,133.78,134.01,100.0,,,,,,,,,134.55003649635034,"rgba(38, 166, 154, 1.0)",,134.55003649635034,,0,,,0.0,0.0,0.0,0.0,28.20627046424417,-14.368880539413894,False,False,False,True,False,
