date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_21,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2024-10-04 00:00:00+00:00,7.68,8.4,6.4904,7.04,189581,,,0,,,0.0,0.0,0.0,0.0
2024-10-11 00:00:00+00:00,7.2,9.36,6.292,7.68,230426,,,0,,,0.0,0.0,0.0,0.0
2024-10-18 00:00:00+00:00,6.0844,7.6,5.6264,7.2,154106,,,0,,,0.0,0.0,0.0,0.0
2024-10-25 00:00:00+00:00,7.430392,7.912,5.764008,6.16,174685,,,0,,,0.0,0.0,0.0,0.0
2024-11-01 00:00:00+00:00,7.28,8.64,6.0176,7.44,212662,,,0,,,0.0,0.0,0.0,0.0
2024-11-08 00:00:00+00:00,6.752,7.628,6.72,7.28,58471,,,0,,,0.0,0.0,0.0,0.0
2024-11-15 00:00:00+00:00,5.992,7.199992,5.89,7.104,40480,,,0,,,0.0,0.0,0.0,0.0
2024-11-22 00:00:00+00:00,6.0408,6.32,5.608,5.992,29271,,,0,,,0.0,0.0,0.0,0.0
2024-11-29 00:00:00+00:00,6.08,6.6536,5.64,6.288,23468,,,0,,,0.0,0.0,0.0,0.0
2024-12-06 00:00:00+00:00,5.832,6.152,5.36,6.0824,25263,,,0,,,0.0,0.0,0.0,0.0
2024-12-13 00:00:00+00:00,6.0792,6.48,5.44,6.0,26053,,,0,,,0.0,0.0,0.0,0.0
2024-12-20 00:00:00+00:00,5.6,6.0776,5.2,5.8816,34986,,,0,,,0.0,0.0,0.0,0.0
2024-12-27 00:00:00+00:00,5.2016,5.6,4.8,5.44,78043,,,0,,,0.0,0.0,0.0,0.0
2025-01-03 00:00:00+00:00,10.24,12.64,5.0504,5.352,10287818,,9.310133333333335,0,,,0.0,0.0,0.0,0.0
2025-01-10 00:00:00+00:00,5.9696,8.72,5.8376,7.2072,496577,,9.196504370793788,0,,,0.0,0.0,0.0,0.0
2025-01-17 00:00:00+00:00,5.8432,6.32,5.5664,6.0,62134,,9.177676970147163,0,,,0.0,0.0,0.0,0.0
2025-01-24 00:00:00+00:00,5.7624,6.24,5.36,5.76,72144,,9.155276507001659,0,,,0.0,0.0,0.0,0.0
2025-01-31 00:00:00+00:00,5.76,7.039992,5.4752,6.16,542149,,9.010356856928412,0,,,0.0,0.0,0.0,0.0
2025-02-07 00:00:00+00:00,5.911992,6.0752,5.52,5.76,41555,,8.998887784810854,0,,,0.0,0.0,0.0,0.0
2025-02-14 00:00:00+00:00,5.2312,5.8424,5.12,5.612,46771,,8.984304600084439,0,,,0.0,0.0,0.0,0.0
2025-02-21 00:00:00+00:00,5.04,5.52,4.88,5.4344,89109,,8.954921499280863,0,,,0.0,0.0,0.0,0.0
2025-02-28 00:00:00+00:00,4.9608,10.08,4.36,5.5736,10282981,,7.7878370928863285,0,,,0.0,1.0,10.08,35.0
2025-03-07 00:00:00+00:00,6.3928,6.8,4.2432,4.6952,855165,,7.713652124893879,0,,,0.0,0.0,0.0,0.0
2025-03-14 00:00:00+00:00,5.08,6.56,4.6224,6.072,199964,,7.693697365192214,0,,,0.0,0.0,0.0,0.0
2025-03-21 00:00:00+00:00,5.0088,5.6808,4.8024,5.152,58965,,7.6872219384374105,0,,,0.0,0.0,0.0,0.0
2025-03-28 00:00:00+00:00,5.000008,5.44,4.88,5.140008,40504,,7.6826924079485845,0,,,0.0,0.0,0.0,0.0
