date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_221,aVWAP_BoS_CHoCH_bull_367,aVWAP_BoS_CHoCH_bear_380,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-02-01 17:00:00+00:00,18.125,18.15,17.96,18.05,712213.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-02-02 17:00:00+00:00,17.905,17.96,17.8,17.83,281397.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2024-02-05 17:00:00+00:00,17.675,17.865,17.615,17.73,380433.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-02-06 17:00:00+00:00,17.635,17.65,17.545,17.61,324642.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-02-07 17:00:00+00:00,17.415,17.43,17.3,17.335,546620.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-02-08 17:00:00+00:00,16.975,17.03,16.75,16.825,741407.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-02-09 17:00:00+00:00,16.615,16.85,16.575,16.835,489427.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.35109487267353734,-49.68401461459381,False,False,False,True,True,
2024-02-12 17:00:00+00:00,16.945,17.06,16.935,17.035,460954.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,6.904073448484957,-43.80739958872395,False,False,False,True,True,
2024-02-13 17:00:00+00:00,16.785,16.915,16.785,16.905,198328.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,10.453104883319781,-41.01768504784685,False,False,False,True,True,
2024-02-14 17:00:00+00:00,16.995,16.995,16.835,16.91,280009.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,12.964479495672403,-39.18457911161576,False,False,False,True,True,
2024-02-15 17:00:00+00:00,17.175,17.19,17.065,17.085,264029.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,19.350530889872818,-33.78526246526165,False,False,False,True,True,
2024-02-16 17:00:00+00:00,16.925,17.07,16.895,16.965,308254.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,22.351296832286515,-31.590651621505575,False,False,False,True,True,
2024-02-19 17:00:00+00:00,16.965,16.965,16.965,16.965,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,24.351807460562313,-30.14845338104655,False,False,False,True,True,
2024-02-20 17:00:00+00:00,17.075,17.085,16.875,16.915,358609.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,25.134675732912363,-29.62118143046989,False,False,False,True,True,
2024-02-21 17:00:00+00:00,16.975,17.01,16.915,17.005,254606.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,28.235755924105767,-26.8035566177955,False,False,False,True,True,
2024-02-22 17:00:00+00:00,16.645,16.72,16.55,16.59,737116.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,26.24136203314701,-26.8035566177955,False,False,False,True,False,
2024-02-23 17:00:00+00:00,16.795,16.855,16.745,16.82,405527.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.595794593300248,-25.86423403041549,False,False,False,True,True,
2024-02-26 17:00:00+00:00,16.655,16.67,16.515,16.59,274406.0,,,,16.59166666666667,"rgba(239, 83, 80, 1.0)",,16.59166666666667,,0,,,0.0,0.0,0.0,0.0,29.787227232236205,-25.62806367179568,False,False,False,True,True,
2024-02-27 17:00:00+00:00,16.645,16.84,16.605,16.825,507245.0,,,,16.69874185111599,"rgba(239, 83, 80, 1.0)",,16.69874185111599,,0,,,0.0,0.0,0.0,0.0,33.70055339529296,-21.860826348285663,False,False,False,True,True,
2024-02-28 17:00:00+00:00,17.015,17.04,16.935,16.95,333890.0,,,,16.78142803954912,"rgba(38, 166, 154, 1.0)",,16.78142803954912,,0,,,0.0,0.0,0.0,0.0,38.0381340714353,-17.828045407324318,False,False,False,True,True,
2024-02-29 17:00:00+00:00,16.985,17.04,16.91,16.915,413706.0,,,,16.828384326839725,"rgba(38, 166, 154, 1.0)",,16.828384326839725,,0,,,0.0,0.0,0.0,0.0,40.506651245460596,-15.566804602067009,False,False,False,True,True,
2024-03-01 17:00:00+00:00,16.935,17.035,16.93,17.0,207835.0,,,,16.84752159368412,"rgba(38, 166, 154, 1.0)",,16.84752159368412,,0,,,0.0,0.0,0.0,0.0,43.40936920318826,-12.844077082222512,False,False,False,True,True,
2024-03-04 17:00:00+00:00,16.945,16.955,16.71,16.8,534749.0,,,,16.841435799288472,"rgba(38, 166, 154, 1.0)",,16.841435799288472,,0,,,0.0,0.0,0.0,0.0,42.80711844586516,-12.844077082222512,False,False,False,True,True,
2024-03-05 17:00:00+00:00,17.285,17.35,17.135,17.17,373052.0,,,,16.894595949990983,"rgba(38, 166, 154, 1.0)",,16.894595949990983,,0,,,0.0,0.0,0.0,0.0,47.14593489455136,-9.171704951609385,False,False,False,False,True,
2024-03-06 17:00:00+00:00,17.145,17.22,17.095,17.175,333451.0,,,,16.92468349195669,"rgba(38, 166, 154, 1.0)",,16.92468349195669,,0,,,0.0,0.0,0.0,0.0,50.09279429253775,-6.35572987153607,False,False,False,False,True,
2024-03-07 17:00:00+00:00,17.075,17.11,17.015,17.05,382753.0,,,,16.939903234181877,"rgba(38, 166, 154, 1.0)",,16.939903234181877,,0,,,0.0,0.0,0.0,0.0,50.30332783339386,-5.992074681666992,False,False,False,False,True,
2024-03-08 17:00:00+00:00,17.13,17.315,17.13,17.2,754784.0,,,,16.99035152016831,"rgba(38, 166, 154, 1.0)",,16.99035152016831,,0,,,0.0,0.0,0.0,0.0,52.293130928063704,-3.8514379404933905,False,False,True,False,True,
2024-03-11 17:00:00+00:00,17.305,17.375,17.265,17.33,459999.0,,,,17.17357927690982,"rgba(38, 166, 154, 1.0)",,17.17357927690982,,0,,,0.0,0.0,0.0,0.0,55.06154520612273,-1.017548801735586,False,False,True,False,True,
2024-03-12 17:00:00+00:00,17.235,17.26,17.195,17.2,286576.0,,,,17.15915875057241,"rgba(38, 166, 154, 1.0)",,17.15915875057241,,0,,,0.0,0.0,0.0,0.0,54.88430713787539,-0.9274430056461043,False,False,True,False,True,
2024-03-13 17:00:00+00:00,17.265,17.275,17.125,17.195,338161.0,,,,17.15125793355172,"rgba(38, 166, 154, 1.0)",,17.15125793355172,,0,,,0.0,0.0,0.0,0.0,54.687726459725184,-0.7401116726949084,False,False,True,False,True,
2024-03-14 17:00:00+00:00,16.89,17.01,16.83,17.01,437200.0,,,,17.103498413594437,"rgba(38, 166, 154, 1.0)",,17.103498413594437,,0,,,0.0,0.0,0.0,0.0,51.80127958253079,-0.7401116726949084,False,False,False,False,False,
2024-03-15 17:00:00+00:00,17.025,17.115,16.965,17.045,450537.0,,,,17.08912728259882,"rgba(38, 166, 154, 1.0)",,17.08912728259882,,0,,,0.0,0.0,0.0,0.0,50.44164789370313,-0.7401116726949084,False,False,False,False,False,
