date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_217,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-05-02 17:00:00+00:00,47.255,47.455,47.185,47.32,8253.0,,47.65557037291166,"rgba(239, 83, 80, 1.0)",,47.65557037291166,,0,,,0.0,0.0,0.0,0.0,37.83225697948886,-17.640878929331897,False,True,False,True,False,0.0
2024-05-03 17:00:00+00:00,47.79,47.94,47.75,47.885,5023.0,,47.71459997969012,"rgba(239, 83, 80, 1.0)",,47.71459997969012,,0,,,0.0,0.0,0.0,0.0,42.56047909762732,-13.019801401517817,False,True,False,True,True,2.212901255390218
2024-05-06 17:00:00+00:00,48.19,48.435,48.185,48.37,9835.0,,47.83379253799788,"rgba(239, 83, 80, 1.0)",,47.83379253799788,,0,,,0.0,0.0,0.0,0.0,47.859563376398995,-8.095986868465104,False,True,False,False,True,4.930700644043341
2024-05-07 17:00:00+00:00,48.27,48.315,47.985,47.995,8951.0,,47.87389541936116,"rgba(239, 83, 80, 1.0)",,47.87389541936116,,0,,,0.0,0.0,0.0,0.0,49.35498530380123,-6.7520577612686665,False,False,False,False,True,2.643360434261947
2024-05-08 17:00:00+00:00,48.4,48.625,48.36,48.595,7373.0,,47.92441989108904,"rgba(38, 166, 154, 1.0)",,47.92441989108904,,0,,,0.0,0.0,0.0,0.0,52.86786640429456,-3.44313845315358,False,False,True,False,True,5.873033423325701
2024-05-09 17:00:00+00:00,49.02,49.145,48.95,49.1,9573.0,,48.01240113988152,"rgba(38, 166, 154, 1.0)",,48.01240113988152,,0,,,0.0,0.0,0.0,0.0,56.95326600287707,0.3556258327465258,False,False,True,False,True,8.425172087718828
2024-05-10 17:00:00+00:00,49.36,49.465,49.255,49.4,7667.0,,48.08370307311035,"rgba(38, 166, 154, 1.0)",,48.08370307311035,,0,,,0.0,0.0,0.0,0.0,60.608872208976365,3.7261304249243707,True,False,True,False,True,9.882503295263344
2024-05-13 17:00:00+00:00,49.41,49.41,49.225,49.31,9029.0,,48.149458141353364,"rgba(38, 166, 154, 1.0)",,48.149458141353364,,0,,,0.0,0.0,0.0,0.0,62.44949815684201,5.475538416455812,True,False,True,False,True,9.317486906033757
2024-05-14 17:00:00+00:00,49.2,49.675,48.97,49.0,13642.0,,48.47013986224391,"rgba(38, 166, 154, 1.0)",,48.47013986224391,,0,,,0.0,0.0,0.0,0.0,61.63469441164347,5.475538416455812,True,False,True,False,True,7.389917419907597
2024-05-15 17:00:00+00:00,49.32,49.37,49.205,49.205,7441.0,,48.50026693014597,"rgba(38, 166, 154, 1.0)",,48.50026693014597,,0,,,0.0,0.0,0.0,0.0,61.950972228201834,5.475538416455812,True,False,True,False,True,8.417038373720011
2024-05-16 17:00:00+00:00,49.165,49.175,48.875,48.935,9363.0,,48.50257368309312,"rgba(38, 166, 154, 1.0)",,48.50257368309312,,0,,,0.0,0.0,0.0,0.0,60.34282895658662,5.475538416455812,True,False,True,False,True,6.7479820556297305
2024-05-17 17:00:00+00:00,49.315,49.45,49.265,49.41,2934.0,,48.51713676589752,"rgba(38, 166, 154, 1.0)",,48.51713676589752,,0,,,0.0,0.0,0.0,0.0,61.374037950580956,5.524694742808904,True,False,True,False,True,9.114500202135979
2024-05-20 17:00:00+00:00,49.235,49.235,48.935,48.95,1572.0,,48.51889196491512,"rgba(38, 166, 154, 1.0)",,48.51889196491512,,0,,,0.0,0.0,0.0,0.0,59.13949395848081,5.524694742808904,True,False,True,False,False,6.3279162344178665
2024-05-21 17:00:00+00:00,48.9,49.155,48.76,49.095,4110.0,,48.522329993070855,"rgba(38, 166, 154, 1.0)",,48.522329993070855,,0,,,0.0,0.0,0.0,0.0,58.355646195857595,5.524694742808904,True,False,True,False,False,7.051955835836864
2024-05-22 17:00:00+00:00,48.495,48.59,48.055,48.385,11066.0,,48.47447239538226,"rgba(38, 166, 154, 1.0)",,48.47447239538226,,0,,,0.0,0.0,0.0,0.0,53.95891138375858,9.32250788866083,True,False,True,False,False,2.9457671546110547
2024-05-23 17:00:00+00:00,48.31,48.33,47.89,48.2,8347.0,,48.43786769713951,"rgba(38, 166, 154, 1.0)",,48.43786769713951,,0,,,0.0,0.0,0.0,0.0,50.175653805464414,5.7277334514696605,False,False,False,False,False,1.9222636734851086
2024-05-24 17:00:00+00:00,48.505,48.675,48.445,48.575,4996.0,,48.434584440610394,"rgba(38, 166, 154, 1.0)",1.5069263897563598,48.434584440610394,0.0931801051093887,0,,,0.0,0.0,0.0,0.0,49.840335065974216,5.324492610394188,False,False,False,False,False,3.854575565019484
2024-05-27 17:00:00+00:00,48.575,48.575,48.575,48.575,0.0,,48.434584440610394,"rgba(38, 166, 154, 1.0)",1.4704680476906913,48.434584440610394,0.09549038458205605,0,,,0.0,0.0,0.0,0.0,49.61678923964742,4.860464919908701,False,False,False,False,False,3.854575565019484
2024-05-28 17:00:00+00:00,48.385,48.53,48.285,48.525,7864.0,,48.42509423762269,"rgba(38, 166, 154, 1.0)",1.3889891748778758,48.42509423762269,0.07192695536024982,0,,,0.0,0.0,0.0,0.0,49.157574100093,4.083515874037708,False,False,False,False,False,3.5661629388791773
2024-05-29 17:00:00+00:00,47.43,47.44,47.025,47.075,19767.0,,48.058423241014744,"rgba(239, 83, 80, 1.0)",1.335879718246226,48.058423241014744,-0.7361615178242257,0,,,0.0,0.0,0.0,0.0,42.71317846801563,-2.116827565832324,False,True,False,True,False,0.0
2024-05-30 17:00:00+00:00,49.965,50.855,49.95,50.58,31980.0,,48.98775338017356,"rgba(38, 166, 154, 1.0)",1.3161191346441903,48.98775338017356,1.2098043238744496,0,,,0.0,0.0,0.0,0.0,50.33148916138957,-5.549729518466492,True,False,False,False,True,11.250037361743225
2024-05-31 17:00:00+00:00,48.835,49.535,48.535,49.535,21076.0,,48.929541229089175,"rgba(38, 166, 154, 1.0)",1.2831276435139045,48.929541229089175,0.4718616841990443,0,,,0.0,0.0,0.0,0.0,52.221267424978265,-4.068864150812992,True,False,True,False,True,6.44021170219321
2024-06-03 17:00:00+00:00,49.8,49.8,49.8,49.8,0.0,,48.929541229089175,"rgba(38, 166, 154, 1.0)",1.2502282061957988,48.929541229089175,0.6962399077200947,0,,,0.0,0.0,0.0,0.0,54.06724313119821,-2.4175850055819126,True,False,True,False,True,7.41547264458875
2024-06-04 17:00:00+00:00,49.43,49.58,49.31,49.49,10208.0,,48.93852216281574,"rgba(38, 166, 154, 1.0)",1.2266983740516242,48.93852216281574,0.4495627033097029,0,,,0.0,0.0,0.0,0.0,54.33589754217083,-2.041008709268233,True,False,True,False,True,6.03941257588075
2024-06-05 17:00:00+00:00,48.985,49.36,48.915,49.28,5426.0,,48.93396523603391,"rgba(38, 166, 154, 1.0)",1.1966624005545168,48.93396523603391,0.2891665717964736,0,,,0.0,0.0,0.0,0.0,53.84404718234139,-2.041008709268233,True,False,True,False,True,5.114772384154762
2024-06-06 17:00:00+00:00,49.14,49.28,48.99,49.225,3438.0,,48.93128763527556,"rgba(38, 166, 154, 1.0)",1.1752783837369243,48.93128763527556,0.2499087610124776,0,,,0.0,0.0,0.0,0.0,53.32774335532568,-2.041008709268233,True,False,True,False,True,4.87122462099364
2024-06-07 17:00:00+00:00,49.08,49.21,48.935,48.98,8173.0,,48.920581573207414,"rgba(38, 166, 154, 1.0)",1.1559390395098958,48.920581573207414,0.051402733848123404,0,,,0.0,0.0,0.0,0.0,52.09698281902956,-2.041008709268233,True,False,False,False,True,3.782597482369699
2024-06-10 17:00:00+00:00,48.79,48.98,48.735,48.76,22500.0,,48.87804585353339,"rgba(38, 166, 154, 1.0)",1.1236593132494606,48.87804585353339,-0.10505484370705201,0,,,0.0,0.0,0.0,0.0,50.46796057648255,-2.041008709268233,True,False,False,False,False,2.810836586406051
2024-06-11 17:00:00+00:00,48.16,48.235,47.945,48.035,13564.0,,48.81373356339578,"rgba(239, 83, 80, 1.0)",1.0942057138144277,48.81373356339578,-0.7116884453848247,0,,,0.0,0.0,0.0,0.0,46.96823645722561,2.059342335782425,False,False,False,True,False,0.0
2024-06-12 17:00:00+00:00,49.21,49.285,48.57,48.675,30283.0,,48.79657100259309,"rgba(239, 83, 80, 1.0)",1.0521980339758763,48.79657100259309,-0.11554003967648586,0,,,0.0,0.0,0.0,0.0,47.28022812014582,2.059342335782425,False,False,False,True,False,2.3193043901239427
2024-06-13 17:00:00+00:00,48.0,48.15,47.925,48.025,10392.0,,48.76153265661122,"rgba(239, 83, 80, 1.0)",1.040850527126646,48.76153265661122,-0.7076257708630689,0,,,0.0,0.0,0.0,0.0,45.392939841380894,0.1638402697196213,False,False,False,True,False,0.0
2024-06-14 17:00:00+00:00,47.485,47.605,47.29,47.54,18112.0,,48.6743100523936,"rgba(239, 83, 80, 1.0)",1.0517482742711914,48.6743100523936,-1.0784995612943804,0,,,0.0,0.0,0.0,0.0,42.758316469309804,-2.4809722532365583,False,True,False,True,False,0.0
2024-06-17 17:00:00+00:00,47.33,47.495,47.18,47.49,9409.0,,48.453931915755255,"rgba(239, 83, 80, 1.0)",1.0630436076246867,48.453931915755255,-0.9067661089737485,0,,,0.0,0.0,0.0,0.0,40.85973809103044,-4.386642301352595,False,True,False,True,False,0.0
2024-06-18 17:00:00+00:00,47.84,47.9,47.55,47.855,11292.0,,48.454716231291904,"rgba(239, 83, 80, 1.0)",1.069487277173522,48.454716231291904,-0.5607511600108588,0,,,0.0,0.0,0.0,0.0,41.386585930353505,-4.386642301352595,False,True,False,True,False,0.0
2024-06-19 17:00:00+00:00,47.855,47.855,47.855,47.855,0.0,,48.454716231291904,"rgba(239, 83, 80, 1.0)",1.0755125030161863,48.454716231291904,-0.5576097252333678,0,,,0.0,0.0,0.0,0.0,41.73781782323555,-4.386642301352595,False,True,False,True,False,0.0
2024-06-20 17:00:00+00:00,47.585,47.715,47.335,47.415,4602.0,,48.43750916676522,"rgba(239, 83, 80, 1.0)",1.0857190294043892,48.43750916676522,-0.9417806440457737,0,,,0.0,0.0,0.0,0.0,40.34045467027545,-5.477006187752863,False,True,False,True,False,0.0
2024-06-21 17:00:00+00:00,47.47,47.58,47.23,47.49,6695.0,,48.41220638576889,"rgba(239, 83, 80, 1.0)",1.0923478185801239,48.41220638576889,-0.8442424382442651,0,,,0.0,0.0,0.0,0.0,39.859319128316905,-6.198200781271389,False,True,False,True,False,0.0
2024-06-24 17:00:00+00:00,48.115,48.48,48.01,48.445,2652.0,,48.41848455915873,"rgba(239, 83, 80, 1.0)",1.0888303584808556,48.41848455915873,0.024352224049178063,0,,,0.0,0.0,0.0,0.0,44.35778542905195,-9.723204294818409,False,True,False,True,True,1.5755688665713166
2024-06-25 17:00:00+00:00,48.305,48.64,48.3,48.475,21915.0,,48.45907354442842,"rgba(239, 83, 80, 1.0)",1.085016502552293,48.460647684708206,0.013227739170818112,0,,,0.0,0.0,0.0,0.0,47.48569966207455,-6.8334880615567855,False,False,False,False,True,1.6965449271295796
2024-06-26 17:00:00+00:00,48.155,48.24,48.095,48.155,10531.0,,48.45353142320518,"rgba(239, 83, 80, 1.0)",1.0790997165221559,48.44328885777347,-0.26715682838152893,0,,,0.0,0.0,0.0,0.0,47.949686643378016,-6.395578989285447,False,False,False,False,True,0.3453501707106632
2024-06-27 17:00:00+00:00,48.375,48.555,48.365,48.54,18066.0,,48.46527659534761,"rgba(239, 83, 80, 1.0)",1.0779109843071875,48.45871059852789,0.07541383533108723,0,,,0.0,0.0,0.0,0.0,50.11869135319249,-4.286353986926436,False,False,False,False,True,1.9258362704495262
