date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_134,aVWAP_BoS_CHoCH_bull_274,aVWAP_BoS_CHoCH_bear_249,aVWAP_BoS_CHoCH_bear_388,aVWAP_BoS_CHoCH_bear_510,aVWAP_BoS_CHoCH_bear_714,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-25 14:00:00+00:00,19.01,19.02,18.88,18.995,83878.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-25 15:00:00+00:00,18.995,19.0,18.83,18.84,51987.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-03-25 16:00:00+00:00,18.845,18.92,18.825,18.86,49378.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,4.2253521126759495,-56.338028169013924,False,False,False,True,True,
2025-03-25 17:00:00+00:00,18.865,18.885,18.815,18.83,38345.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,6.297684584665173,-54.05039373295603,False,False,False,True,True,
2025-03-25 18:00:00+00:00,18.835,18.89,18.83,18.865,57547.0,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.286688436009232,-47.20857387703758,False,False,False,True,True,
2025-03-25 19:00:00+00:00,18.865,18.95,18.845,18.865,115265.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,17.94602433690527,-42.689558830781664,False,False,False,True,True,
2025-03-26 14:00:00+00:00,19.055,19.07,18.985,19.015,208374.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,33.28801360591795,-28.546150508932445,False,False,False,True,True,
2025-03-26 15:00:00+00:00,19.015,19.12,19.0,19.05,105943.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.92084533923462,-18.37032719053805,False,False,False,False,True,
2025-03-26 16:00:00+00:00,19.045,19.07,18.945,18.965,100684.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,47.17122503153782,-16.745823951824512,False,False,False,False,True,
2025-03-26 17:00:00+00:00,18.965,19.0,18.915,18.93,102372.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.93398688319657,-16.745823951824512,False,False,False,False,True,
2025-03-26 18:00:00+00:00,18.935,18.98,18.855,18.865,81091.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.08006223401442,-16.745823951824512,False,False,False,True,True,
2025-03-26 19:00:00+00:00,18.865,19.04,18.865,18.93,207765.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.54152994812404,-16.745823951824512,False,False,False,True,True,
2025-03-27 14:00:00+00:00,18.875,19.02,18.755,18.97,64419.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,48.26510603708013,-13.918736971198712,False,False,False,False,True,
2025-03-27 15:00:00+00:00,18.965,19.015,18.94,18.98,47204.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,50.51040342918999,-11.0045964332812,False,False,False,False,True,
2025-03-27 16:00:00+00:00,18.985,19.04,18.94,19.01,55976.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,53.2956682800416,-7.609198459699009,False,False,True,False,True,
2025-03-27 17:00:00+00:00,19.005,19.02,18.87,18.87,54332.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.054044759185174,-7.609198459699009,False,False,False,False,True,
2025-03-27 18:00:00+00:00,18.875,18.94,18.87,18.87,53249.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.22629574528089,-7.609198459699009,False,False,False,True,False,
2025-03-27 19:00:00+00:00,18.875,18.955,18.87,18.885,119184.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.14224456169477,-7.609198459699009,False,False,False,True,False,
2025-03-28 14:00:00+00:00,18.75,18.755,18.585,18.7,70747.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.27080126141542,-1.3167674481913139,False,False,False,True,False,
2025-03-28 15:00:00+00:00,18.695,18.785,18.65,18.65,50916.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.4524933212364,-6.123399854402493,False,False,False,True,False,
2025-03-28 16:00:00+00:00,18.655,18.655,18.515,18.535,75330.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.55995533019935,-10.896175977570863,False,False,False,True,False,
2025-03-28 17:00:00+00:00,18.535,18.605,18.455,18.605,93135.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,29.563881227743607,-11.196964642525415,False,False,False,True,False,
2025-03-28 18:00:00+00:00,18.605,18.68,18.605,18.64,50180.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,31.075440098035997,-11.196964642525415,False,False,False,True,False,
2025-03-28 19:00:00+00:00,18.645,18.73,18.645,18.705,160621.0,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.68386830921895,-11.196964642525415,False,False,False,True,True,
2025-03-31 14:00:00+00:00,18.365,18.58,18.365,18.55,59127.0,,,,,,,18.49833333333333,"rgba(239, 83, 80, 1.0)",,18.49833333333333,,0,,,0.0,0.0,0.0,0.0,33.72278029520278,-11.196964642525415,False,False,False,True,True,
2025-03-31 15:00:00+00:00,18.555,18.625,18.46,18.465,75239.0,,,,,,,18.508599186798246,"rgba(239, 83, 80, 1.0)",,18.508599186798246,,0,,,0.0,0.0,0.0,0.0,31.70975866043579,-11.196964642525415,False,False,False,True,True,
2025-03-31 16:00:00+00:00,18.465,18.625,18.46,18.515,99807.0,,,,,,,18.519141140666655,"rgba(239, 83, 80, 1.0)",,18.519141140666655,,0,,,0.0,0.0,0.0,0.0,32.269933419256944,-11.196964642525415,False,False,False,True,True,
2025-03-31 17:00:00+00:00,18.515,18.56,18.43,18.465,90749.0,,,,,,,18.50960570023985,"rgba(239, 83, 80, 1.0)",,18.50960570023985,,0,,,0.0,0.0,0.0,0.0,31.735871989533464,-11.556616511015179,False,False,False,True,True,
2025-03-31 18:00:00+00:00,18.465,18.575,18.455,18.535,127543.0,,,,,,,18.51300550318809,"rgba(239, 83, 80, 1.0)",,18.51300550318809,,0,,,0.0,0.0,0.0,0.0,34.00995905671257,-11.556616511015179,False,False,False,True,True,
2025-03-31 19:00:00+00:00,18.535,18.645,18.505,18.6,160097.0,,,,,,,18.53138613179836,"rgba(239, 83, 80, 1.0)",,18.53138613179836,,0,,,0.0,0.0,0.0,0.0,37.70216292286207,-11.556616511015179,False,False,False,True,True,
2025-04-01 14:00:00+00:00,18.655,18.695,18.43,18.65,90504.0,,,,,,,18.539145900479706,"rgba(239, 83, 80, 1.0)",,18.539145900479706,,0,,,0.0,0.0,0.0,0.0,41.70500742217645,-14.530218933322402,False,False,False,True,True,
2025-04-01 15:00:00+00:00,18.645,18.785,18.645,18.785,73227.0,,,,,,,18.55793506661359,"rgba(239, 83, 80, 1.0)",,18.55793506661359,,0,,,0.0,0.0,0.0,0.0,47.78792015956365,-8.847732379090047,False,False,False,False,True,
2025-04-01 16:00:00+00:00,18.785,18.835,18.73,18.765,52621.0,,,,,,,18.571820554766035,"rgba(239, 83, 80, 1.0)",,18.571820554766035,,0,,,0.0,0.0,0.0,0.0,51.18705134487422,-5.779360967983486,False,False,True,False,True,
2025-04-01 17:00:00+00:00,18.765,18.765,18.64,18.755,94015.0,,,,,,,18.58691498840467,"rgba(239, 83, 80, 1.0)",,18.58691498840467,,0,,,0.0,0.0,0.0,0.0,53.10264862489817,-3.9883531789381834,False,False,True,False,True,
2025-04-01 18:00:00+00:00,18.755,18.76,18.555,18.59,70512.0,,,,,,,18.59032794432013,"rgba(239, 83, 80, 1.0)",,18.59032794432013,,0,,,0.0,0.0,0.0,0.0,49.60042786348231,-3.9883531789381834,False,False,False,False,False,
2025-04-01 19:00:00+00:00,18.595,18.775,18.575,18.735,105977.0,,,,,,,18.60041767401783,"rgba(239, 83, 80, 1.0)",,18.60041767401783,,0,,,0.0,0.0,0.0,0.0,51.07994749625806,-3.9883531789381834,False,False,False,False,False,
2025-04-02 14:00:00+00:00,18.69,18.825,18.67,18.825,104886.0,,,,,,,18.615477353171073,"rgba(239, 83, 80, 1.0)",,18.615477353171073,,0,,,0.0,0.0,0.0,0.0,53.93824642374595,-3.2187772406561166,False,False,True,False,True,
2025-04-02 15:00:00+00:00,18.825,18.88,18.785,18.82,105847.0,,,,,,,18.632673971677058,"rgba(239, 83, 80, 1.0)",,18.632673971677058,,0,,,0.0,0.0,0.0,0.0,55.693074277683905,-1.3324146650868727,False,False,True,False,True,
2025-04-02 16:00:00+00:00,18.815,18.93,18.785,18.895,54093.0,,,,,,,18.642084074891784,"rgba(38, 166, 154, 1.0)",,18.642084074891784,,0,,,0.0,0.0,0.0,0.0,58.40497346353785,1.4734963817365312,False,False,True,False,True,
2025-04-02 17:00:00+00:00,18.895,18.935,18.825,18.855,53834.0,,,,,,,18.761233152666264,"rgba(38, 166, 154, 1.0)",,18.761233152666264,,0,,,0.0,0.0,0.0,0.0,58.85759319133315,2.2182808110448065,False,False,True,False,True,
2025-04-02 18:00:00+00:00,18.855,18.89,18.815,18.825,63972.0,,,,,,,18.757695564536462,"rgba(38, 166, 154, 1.0)",,18.757695564536462,,0,,,0.0,0.0,0.0,0.0,58.14325115933292,2.2182808110448065,False,False,True,False,True,
2025-04-02 19:00:00+00:00,18.825,18.935,18.825,18.905,93782.0,,,,,,,18.810524245806675,"rgba(38, 166, 154, 1.0)",,18.810524245806675,,0,,,0.0,0.0,0.0,0.0,59.58184005081641,3.674039198158958,True,False,True,False,True,
2025-04-03 14:00:00+00:00,17.73,17.98,17.71,17.865,226398.0,,,,,,,18.356256253854962,"rgba(239, 83, 80, 1.0)",,18.356256253854962,,0,,,0.0,0.0,0.0,0.0,46.80058666888568,3.525952616573221,True,False,False,True,False,
2025-04-03 15:00:00+00:00,17.865,18.145,17.855,18.015,217354.0,,,,,,,18.278279915030016,"rgba(239, 83, 80, 1.0)",,18.278279915030016,,0,,,0.0,0.0,0.0,0.0,40.81924277951619,-1.603029860947565,False,False,False,True,False,
2025-04-03 16:00:00+00:00,18.015,18.05,17.88,17.925,81304.0,,,,,,,18.254541862942528,"rgba(239, 83, 80, 1.0)",,18.254541862942528,,0,,,0.0,0.0,0.0,0.0,36.24214414084278,-5.480016426551913,False,True,False,True,False,
2025-04-03 17:00:00+00:00,17.925,17.985,17.875,17.925,72674.0,,,,,,,18.234998615008774,"rgba(239, 83, 80, 1.0)",,18.234998615008774,,0,,,0.0,0.0,0.0,0.0,33.19074504839384,-8.10931746029597,False,True,False,True,False,
2025-04-03 18:00:00+00:00,17.925,17.945,17.755,17.885,182269.0,,,,,,,18.18626871797878,"rgba(239, 83, 80, 1.0)",,18.18626871797878,,0,,,0.0,0.0,0.0,0.0,30.85556365321852,-10.288835458035038,False,True,False,True,False,
2025-04-03 19:00:00+00:00,17.885,17.94,17.7,17.71,250721.0,,,,,,,18.125763564838703,"rgba(239, 83, 80, 1.0)",,18.125763564838703,,0,,,0.0,0.0,0.0,0.0,28.068816023264112,-13.051507786184665,False,True,False,True,False,
2025-04-04 14:00:00+00:00,16.47,16.505,15.625,16.115,299606.0,,,,,,,17.787761071143105,"rgba(239, 83, 80, 1.0)",,17.787761071143105,,0,,,0.0,0.0,0.0,0.0,21.779542415860437,-19.051632887314963,False,True,False,True,False,
2025-04-04 15:00:00+00:00,16.105,16.85,16.105,16.425,241073.0,,,,,,,17.637233696278134,"rgba(239, 83, 80, 1.0)",,17.637233696278134,,0,,,0.0,0.0,0.0,0.0,21.050145238226637,-19.889788291043402,False,True,False,True,False,0.0
2025-04-04 16:00:00+00:00,16.43,16.455,16.17,16.27,298292.0,,,,,,,17.47430280874576,"rgba(239, 83, 80, 1.0)",,17.47430280874576,,0,,,0.0,0.0,0.0,0.0,20.16894778358619,-21.114873923749574,False,True,False,True,False,0.0
