date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_91,aVWAP_BoS_CHoCH_bull_180,aVWAP_BoS_CHoCH_bull_204,aVWAP_BoS_CHoCH_bull_278,aVWAP_BoS_CHoCH_bull_318,aVWAP_BoS_CHoCH_bull_357,aVWAP_BoS_CHoCH_bull_450,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-09-12 00:00:00+00:00,97.7622612984,98.6445408036,94.8687639965,96.7661392764,617793,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-09-13 00:00:00+00:00,95.8174516365,99.1378583764,94.8687639965,99.1378583764,1733567,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-09-14 00:00:00+00:00,95.5897666029,97.6958531636,94.9446590077,95.8743728949,1160691,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-09-15 00:00:00+00:00,94.9731196369,97.0507455684,93.5880356826,96.0830841757,2453515,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-09-18 00:00:00+00:00,98.7868439496,99.0999108708,95.3431078165,95.3525946929,1226948,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,21.10418500749115,-30.654497076466445,False,False,False,True,True,
2023-09-19 00:00:00+00:00,100.0865460163,100.7126798587,97.6958531636,98.6255670508,1280008,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,37.519398721252,-16.779672561490727,False,False,False,True,True,
2023-09-20 00:00:00+00:00,99.3560565335,100.5039685779,98.89119959,100.2857704207,812525,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.976764577903865,-10.671827711973343,False,False,False,True,True,
2023-09-21 00:00:00+00:00,85.2206106981,95.3217857942,84.0905479297,95.3217857942,5660193,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,37.08838817975405,-4.075392805842796,False,False,False,True,False,
2023-09-22 00:00:00+00:00,83.0596134744,86.1821553343,82.355802452,85.6766009379,1932891,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.490973948882854,-8.849287820287344,False,False,False,True,False,
2023-09-25 00:00:00+00:00,81.4537348035,83.1389161248,81.0373958889,82.7027515475,1315499,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.63950182443619,-12.326241651590216,False,False,False,True,False,
2023-09-26 00:00:00+00:00,80.3534105291,81.3347808279,79.7289021571,80.779662275,1325208,,,,,,,,80.47236450470002,#000000,,80.47236450470002,,0,,,0.0,0.0,0.0,0.0,22.10806489923146,-14.94315047734397,False,False,False,True,False,
2023-09-27 00:00:00+00:00,80.1155025778,81.3446936592,79.8329868858,80.6210569742,1254620,,,,,,,,80.45227783546821,#000000,,80.45227783546821,,0,,,0.0,0.0,0.0,0.0,19.687935109849725,-16.88620228808695,False,False,False,True,False,
2023-09-28 00:00:00+00:00,81.7511197426,81.8081185226,79.7289021571,80.0064614335,1091572,,,,,,,,80.64368170981203,#000000,,80.64368170981203,,0,,,0.0,0.0,0.0,0.0,20.638026243936135,-16.88620228808695,False,False,False,True,False,
2023-09-29 00:00:00+00:00,83.3272599195,84.2095019053,81.6123401044,81.8105967304,1225368,,,,,,,,81.24576426879877,#000000,,81.24576426879877,,0,,,0.0,0.0,0.0,0.0,23.527357381781997,-16.88620228808695,False,False,False,True,False,
2023-10-02 00:00:00+00:00,84.2590660618,84.526712507,82.1477321229,83.6147320272,1166736,,,,,,,,81.70732832321502,#000000,,81.70732832321502,,0,,,0.0,0.0,0.0,0.0,26.720486453308958,-16.88620228808695,False,False,False,True,False,
2023-10-03 00:00:00+00:00,83.7535116655,84.8340102773,83.3669112447,83.7634244968,1025517,,,,,,,,82.03679515175783,#000000,,82.03679515175783,,0,,,0.0,0.0,0.0,0.0,28.50615692261402,-16.88620228808695,False,False,False,True,True,
2023-10-04 00:00:00+00:00,82.7027515475,83.4957780516,81.3249671249,83.4957780516,977278,,,,,,,,82.09386397412929,#000000,,82.09386397412929,,0,,,0.0,0.0,0.0,0.0,28.987042836120168,-16.88620228808695,False,False,False,True,True,
2023-10-05 00:00:00+00:00,81.4537348035,84.3581943748,81.305042334,82.6432745597,661801,,,,,,,,82.11497796411504,#000000,,82.11497796411504,,0,,,0.0,0.0,0.0,0.0,28.51057752975185,-16.88620228808695,False,False,False,True,True,
2023-10-06 00:00:00+00:00,81.2753038401,81.9890276938,80.2443693848,81.2753038401,570515,,,,,,,,82.05697242762889,#000000,,82.05697242762889,,0,,,0.0,0.0,0.0,0.0,28.07911075832576,-16.88620228808695,False,False,False,True,True,
2023-10-09 00:00:00+00:00,82.1971971511,82.7761064991,80.7102724559,80.7102724559,464118,,,,,,,,82.04924973316454,#000000,,82.04924973316454,,0,,,0.0,0.0,0.0,0.0,29.387607915707342,-16.88620228808695,False,False,False,True,True,
2023-10-10 00:00:00+00:00,81.3446936592,82.5243205841,81.305042334,82.2368484763,445263,,,,,,,,82.03509255356938,#000000,,82.03509255356938,,0,,,0.0,0.0,0.0,0.0,29.590787466815012,-16.88620228808695,False,False,False,True,True,
2023-10-11 00:00:00+00:00,79.5306455311,81.2753038401,78.4402340879,81.2753038401,1813012,,,,,,,,81.69026234474813,#000000,,81.69026234474813,,0,,,0.0,0.0,0.0,0.0,28.446142854832914,-16.88620228808695,False,False,False,True,True,
2023-10-12 00:00:00+00:00,79.233260592,80.0758512526,78.7177933644,79.3918658928,855336,,,,,,,,81.53429453005174,#000000,,81.53429453005174,,0,,,0.0,0.0,0.0,0.0,27.48630339817634,-16.88620228808695,False,False,False,True,True,
2023-10-13 00:00:00+00:00,76.9533093927,80.0361999274,76.9334837301,80.0163742648,1330345,,,,,,,,81.2009318682714,#000000,,81.2009318682714,,0,,,0.0,0.0,0.0,0.0,25.48392828361237,-17.010524547699134,False,False,False,True,False,
2023-10-16 00:00:00+00:00,79.6000353502,80.0461127587,77.5480792708,77.5480792708,1014110,,,,,,,,81.05860484319712,#000000,,81.05860484319712,,0,,,0.0,0.0,0.0,0.0,28.586496226573583,-17.010524547699134,False,False,False,True,False,
2023-10-17 00:00:00+00:00,79.1737836042,80.2047180596,78.6484035452,78.9061371591,1122222,,,,,,,,80.94075190124771,#000000,,80.94075190124771,,0,,,0.0,0.0,0.0,0.0,30.3167128108068,-17.010524547699134,False,False,False,True,True,
2023-10-18 00:00:00+00:00,76.1999342138,79.3522145676,76.1503700573,78.311367281,573086,,,,,,,,80.81517995333952,#000000,,80.81517995333952,,0,,,0.0,0.0,0.0,0.0,29.411382000697248,-17.010524547699134,False,False,False,True,True,
2023-10-19 00:00:00+00:00,75.9025492748,77.3200841509,75.6448156609,76.0710674069,1474445,,,,,,,,78.37072974071869,#000000,,78.37072974071869,,0,,,0.0,0.0,0.0,0.0,28.62641979297136,-17.010524547699134,False,False,False,True,True,
