date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-02-22 17:00:00+00:00,3.78,3.78,3.78,3.78,0.0,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-02-23 17:00:00+00:00,3.66,3.66,3.66,3.66,0.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2024-02-26 17:00:00+00:00,3.27,3.325,3.27,3.325,2.0,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2024-02-27 17:00:00+00:00,3.49,3.49,3.49,3.49,0.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,9.863832613749594,-41.12255064762537,False,False,False,True,True,
2024-02-28 17:00:00+00:00,3.58,3.58,3.58,3.58,0.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.046480777938797,-32.54999725668006,False,False,False,True,True,
2024-02-29 17:00:00+00:00,3.58,3.59,3.42,3.59,716.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,27.209281090866995,-27.030078508536022,False,False,False,True,True,
2024-03-01 17:00:00+00:00,3.29,3.6,3.29,3.6,100.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.38912751569527,-23.25008654367631,False,False,False,True,True,
2024-03-04 17:00:00+00:00,3.6,3.6,3.47,3.48,533.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.72258906883898,-23.25008654367631,False,False,False,True,True,
2024-03-05 17:00:00+00:00,3.44,3.44,3.44,3.44,0.0,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.100451093095785,-23.25008654367631,False,False,False,True,True,
2024-03-06 17:00:00+00:00,3.44,3.44,3.205,3.27,473.0,,"rgba(239, 83, 80, 1.0)",,3.3049999999999993,,0,,,0.0,0.0,0.0,0.0,28.947748894511413,-23.25008654367631,False,False,False,True,False,
2024-03-07 17:00:00+00:00,3.27,3.27,3.27,3.27,0.0,,"rgba(239, 83, 80, 1.0)",,3.3049999999999993,,0,,,0.0,0.0,0.0,0.0,26.8459474287885,-23.25008654367631,False,False,False,True,False,
2024-03-08 17:00:00+00:00,3.27,3.27,3.27,3.27,0.0,,"rgba(239, 83, 80, 1.0)",,3.3049999999999993,,0,,,0.0,0.0,0.0,0.0,25.444746451639887,-17.747287046765585,False,False,False,True,False,
2024-03-11 17:00:00+00:00,3.44,3.44,3.44,3.44,0.0,,"rgba(38, 166, 154, 1.0)",,3.3049999999999993,,0,,,0.0,0.0,0.0,0.0,31.59778408126613,-17.747287046765585,False,False,False,True,True,
2024-03-12 17:00:00+00:00,3.44,3.44,3.44,3.44,0.0,,"rgba(38, 166, 154, 1.0)",,3.3049999999999993,,0,,,0.0,0.0,0.0,0.0,35.699809167683625,-21.705845680038358,False,False,False,True,True,
2024-03-13 17:00:00+00:00,3.44,3.44,3.36,3.36,100.0,,"rgba(239, 83, 80, 1.0)",,3.3192524723676553,,0,,,0.0,0.0,0.0,0.0,36.37585891760347,-20.999773453703394,False,False,False,True,True,
2024-03-14 17:00:00+00:00,3.36,3.36,3.36,3.36,0.0,,"rgba(239, 83, 80, 1.0)",,3.3192524723676553,,0,,,0.0,0.0,0.0,0.0,36.82655875088337,-20.279903923993537,False,False,False,True,True,
2024-03-15 17:00:00+00:00,3.36,3.4,3.36,3.36,867.0,,"rgba(239, 83, 80, 1.0)",,3.3518136574074067,,0,,,0.0,0.0,0.0,0.0,37.12702530640331,-19.55295691131534,False,False,False,True,True,
2024-03-18 17:00:00+00:00,3.36,3.36,3.36,3.36,0.0,,"rgba(239, 83, 80, 1.0)",,3.3518136574074067,,0,,,0.0,0.0,0.0,0.0,37.327336343416604,-18.832530196713346,False,False,False,True,True,
2024-03-19 17:00:00+00:00,3.36,3.36,3.36,3.36,0.0,,"rgba(239, 83, 80, 1.0)",,3.3518136574074067,,0,,,0.0,0.0,0.0,0.0,37.460877034758795,-18.13307487924341,False,False,False,True,True,
2024-03-20 17:00:00+00:00,3.36,3.48,3.36,3.47,400.0,,"rgba(239, 83, 80, 1.0)",,3.3702599637681154,,0,,,0.0,0.0,0.0,0.0,42.91488636251766,-12.638523046978577,False,False,False,True,True,
2024-03-21 17:00:00+00:00,3.45,3.78,3.45,3.48,675.0,,"rgba(239, 83, 80, 1.0)",,3.4238681245858187,,0,,,0.0,0.0,0.0,0.0,46.94728995360133,-8.761276235739622,False,False,False,False,True,
2024-03-22 17:00:00+00:00,3.72,3.73,3.71,3.73,790.0,,"rgba(38, 166, 154, 1.0)",,3.4954498234997478,,0,,,0.0,0.0,0.0,0.0,55.93467837658834,-0.5435843465782852,False,False,True,False,True,
2024-03-25 17:00:00+00:00,3.84,3.84,3.84,3.84,0.0,,"rgba(38, 166, 154, 1.0)",,3.4954498234997478,,0,,,0.0,0.0,0.0,0.0,63.423305147872966,5.9627044748561175,False,False,True,False,True,
2024-03-26 17:00:00+00:00,3.84,3.84,3.72,3.72,358.0,,"rgba(38, 166, 154, 1.0)",,3.521305396305396,,0,,,0.0,0.0,0.0,0.0,63.857740857004686,6.02342435209119,False,False,True,False,True,
2024-03-27 17:00:00+00:00,3.89,3.89,3.89,3.89,0.0,,"rgba(38, 166, 154, 1.0)",,3.521305396305396,,0,,,0.0,0.0,0.0,0.0,66.7047774232865,8.659951789527511,False,False,True,False,True,
2024-03-28 17:00:00+00:00,3.89,3.98,3.89,3.98,100.0,,"rgba(38, 166, 154, 1.0)",,3.532697758880326,,0,,,0.0,0.0,0.0,0.0,69.65797403644332,11.504895924257895,False,False,True,False,True,
2024-03-29 17:00:00+00:00,3.98,3.98,3.98,3.98,0.0,,"rgba(38, 166, 154, 1.0)",,3.532697758880326,,0,,,0.0,0.0,0.0,0.0,71.62677177854786,13.533655430446473,False,False,True,False,True,
2024-04-01 17:00:00+00:00,3.98,4.14,3.98,4.14,200.0,,"rgba(38, 166, 154, 1.0)",,3.560654806964421,,0,,,0.0,0.0,0.0,0.0,74.61002945833833,16.580687525195742,False,False,True,False,True,
2024-04-02 17:00:00+00:00,4.02,4.02,3.85,3.85,200.0,,"rgba(38, 166, 154, 1.0)",,3.577278004644087,,0,,,0.0,0.0,0.0,0.0,68.67807347166791,16.580687525195742,False,False,True,False,False,
2024-04-03 17:00:00+00:00,4.2,4.2,4.05,4.05,3.0,4.1000000000000005,"rgba(38, 166, 154, 1.0)",,3.838827212353977,,0,,,0.0,0.0,0.0,0.0,67.40385670763304,16.580687525195742,False,False,True,False,False,
2024-04-04 17:00:00+00:00,4.05,4.05,3.95,3.95,400.0,3.9842018196856905,"rgba(38, 166, 154, 1.0)",,3.798697675794079,,0,,,0.0,0.0,0.0,0.0,64.5047698981727,22.636759721334073,False,False,True,False,False,
2024-04-05 17:00:00+00:00,4.02,4.02,4.02,4.02,0.0,3.9842018196856905,"rgba(38, 166, 154, 1.0)",,3.798697675794079,,0,,,0.0,0.0,0.0,0.0,63.528323616285824,21.385619158045543,False,False,True,False,False,
2024-04-08 17:00:00+00:00,4.01,4.01,4.01,4.01,100.0,3.989330682571239,"rgba(38, 166, 154, 1.0)",,3.8055142125529433,,0,,,0.0,0.0,0.0,0.0,62.65071591896357,20.10567606868807,False,False,True,False,False,
2024-04-09 17:00:00+00:00,4.01,4.01,4.01,4.01,0.0,3.989330682571239,"rgba(38, 166, 154, 1.0)",,3.8055142125529433,,0,,,0.0,0.0,0.0,0.0,62.06564412074873,19.023418393403176,False,False,True,False,False,
2024-04-10 17:00:00+00:00,3.84,3.945,3.84,3.91,110.0,3.97300163132137,"rgba(38, 166, 154, 1.0)",,3.800535398296084,,0,,,0.0,0.0,0.0,0.0,59.18665176987207,15.835815345383182,False,False,True,False,False,
2024-04-11 17:00:00+00:00,3.92,3.94,3.92,3.94,100.0,3.967438055165965,"rgba(38, 166, 154, 1.0)",,3.8008838826554463,,0,,,0.0,0.0,0.0,0.0,57.88421938112754,14.200148806320925,False,False,True,False,False,
2024-04-12 17:00:00+00:00,3.84,3.84,3.81,3.81,20.0,3.9634151887221467,"rgba(38, 166, 154, 1.0)",,3.799251677966738,,0,,,0.0,0.0,0.0,0.0,54.02555426602746,10.26144316951978,False,False,True,False,False,
2024-04-15 17:00:00+00:00,3.81,3.81,3.81,3.81,0.0,3.9634151887221467,"rgba(38, 166, 154, 1.0)",,3.799251677966738,,0,,,0.0,0.0,0.0,0.0,51.45311085596075,7.645582610431362,False,False,False,False,False,
2024-04-16 17:00:00+00:00,3.51,3.51,3.51,3.51,0.0,3.9634151887221467,"rgba(239, 83, 80, 1.0)",,3.799251677966738,,0,,,0.0,0.0,0.0,0.0,44.77439579698998,1.3592532118049405,False,False,False,True,False,
2024-04-17 17:00:00+00:00,3.51,3.51,3.46,3.46,100.0,3.9049819927971186,"rgba(239, 83, 80, 1.0)",,3.7684495966120632,,0,,,0.0,0.0,0.0,0.0,39.72640615697726,-3.1962049381787097,False,False,False,True,False,
2024-04-18 17:00:00+00:00,3.39,3.41,3.39,3.41,200.0,3.8078573733462404,"rgba(239, 83, 80, 1.0)",,3.7154880592674235,,0,,,0.0,0.0,0.0,0.0,35.76721635459724,-6.727351162895893,False,False,False,True,False,
2024-04-19 17:00:00+00:00,3.41,3.41,3.41,3.41,0.0,3.8078573733462404,"rgba(239, 83, 80, 1.0)",,3.7154880592674235,,0,,,0.0,0.0,0.0,0.0,33.127756486343884,-9.129134453919967,False,True,False,True,False,
2024-04-22 17:00:00+00:00,3.35,3.39,3.35,3.38,133.0,3.758293310463122,"rgba(239, 83, 80, 1.0)",,3.687588983373176,,0,,,0.0,0.0,0.0,0.0,30.96277428262128,-11.235229790233014,False,True,False,True,False,
2024-04-23 17:00:00+00:00,3.38,3.38,3.38,3.38,0.0,3.758293310463122,"rgba(239, 83, 80, 1.0)",,3.687588983373176,,0,,,0.0,0.0,0.0,0.0,29.519452813472874,-12.808611354410296,False,True,False,True,False,
2024-04-24 17:00:00+00:00,3.48,3.48,3.46,3.46,100.0,3.7352580305423912,"rgba(239, 83, 80, 1.0)",,3.6746878658882522,,0,,,0.0,0.0,0.0,0.0,31.698375863638134,-12.808611354410296,False,True,False,True,False,
