date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_145,aVWAP_BoS_CHoCH_bear_78,aVWAP_BoS_CHoCH_bear_122,aVWAP_BoS_CHoCH_bear_163,aVWAP_BoS_CHoCH_bear_221,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-06-10 14:00:00+00:00,14.8,14.8,14.8,14.8,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-10 15:00:00+00:00,14.8,14.8,14.8,14.8,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-10 16:00:00+00:00,14.8,14.8,14.8,14.8,100.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-10 17:00:00+00:00,14.8,14.8,14.8,14.8,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-10 18:00:00+00:00,14.8,14.8,14.645,14.645,100.0,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-10 19:00:00+00:00,14.645,14.69,14.57,14.57,800.0,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-11 14:00:00+00:00,14.57,14.67,14.57,14.645,600.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-11 15:00:00+00:00,14.645,14.645,14.5,14.5,450.0,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-11 16:00:00+00:00,14.5,14.5,14.415,14.415,200.0,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-11 17:00:00+00:00,14.415,14.415,14.265,14.265,300.0,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2025-06-11 18:00:00+00:00,14.265,14.32,14.265,14.32,200.0,,,,,,14.301666666666668,"rgba(38, 166, 154, 1.0)",,14.301666666666668,,0,,,0.0,0.0,0.0,0.0
2025-06-11 19:00:00+00:00,14.32,14.35,14.29,14.33,2200.0,,,,,,14.321527777777776,"rgba(239, 83, 80, 1.0)",,14.321527777777776,,0,,,0.0,0.0,0.0,0.0
2025-06-12 14:00:00+00:00,14.7,14.8,14.7,14.75,218.0,,,,,,14.357206518971225,"rgba(38, 166, 154, 1.0)",,14.357206518971225,,0,,,0.0,0.0,0.0,0.0
