date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_19,aVWAP_BoS_CHoCH_bull_28,aVWAP_BoS_CHoCH_bull_45,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-05-24 00:00:00+00:00,9.6358358204,9.6979408604,9.6215038881,9.6310585096,8469,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2024-05-31 00:00:00+00:00,9.6287654004,9.6501677527,9.6167265773,9.6358358204,153,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2024-06-07 00:00:00+00:00,9.6788316173,9.7074954819,9.6692769958,9.6692769958,64201,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,25.24409041860325,-113.11022604650812,False,False,False,True,True,
2024-06-14 00:00:00+00:00,9.7361593465,9.7504912788,9.6931635496,9.6931635496,45,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,45.00627528848847,-93.04824946692737,False,False,False,True,True,
2024-06-21 00:00:00+00:00,9.7457139681,9.7504912788,9.7313820358,9.7313820358,17,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,59.257818535544246,-77.97070751415596,False,False,True,False,True,
2024-06-28 00:00:00+00:00,9.7156169102,9.7504912788,9.7156169102,9.7457139681,7273,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,63.39454680631414,-72.0648555921037,False,False,True,False,True,
2024-07-05 00:00:00+00:00,9.7395706008,9.7395706008,9.7012446959,9.706035434,2049,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,67.5478465908336,-65.44890093156181,False,False,True,False,True,
2024-07-12 00:00:00+00:00,9.7635242914,9.7635242914,9.7299891246,9.7347798627,155,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,71.43583355054088,-58.591243939221414,False,False,True,False,True,
2024-07-19 00:00:00+00:00,9.7635242914,9.7683150296,9.7491520771,9.7491520771,686,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,74.21296709318892,-52.441908182674666,False,False,True,False,True,
2024-07-26 00:00:00+00:00,9.7731057677,9.7731057677,9.7635242914,9.7635242914,5054,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,76.53516757334546,-46.46712829507513,False,False,True,False,True,
