date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_272,aVWAP_BoS_CHoCH_bull_449,aVWAP_BoS_CHoCH_bull_496,aVWAP_BoS_CHoCH_bull_598,aVWAP_BoS_CHoCH_bull_639,aVWAP_BoS_CHoCH_bull_666,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_298,aVWAP_BoS_CHoCH_bear_434,aVWAP_BoS_CHoCH_bear_506,aVWAP_BoS_CHoCH_bear_576,aVWAP_BoS_CHoCH_bear_746,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,47.62,52.29,46.67,52.0,6304533,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,46.56,47.75,44.51,47.22,3665392,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,43.61,46.9999,43.35,46.03,3919660,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,43.34,44.9994,41.42,42.86,5350815,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,44.33,45.44,42.636,43.46,3526189,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,45.87,46.1,40.74,42.76,5173729,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,48.88,49.03,44.0,44.54,3454656,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,46.99,50.1057,46.85,49.15,3777365,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,42.21,47.4,41.84,47.12,4409108,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,42.68,43.208,41.25,41.97,3177503,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,41.2,43.48,40.84,41.65,2990031,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,41.38,43.0,40.65,41.05,2277819,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,41.84,44.8,41.72,42.56,4032892,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,40.11,42.48,39.79,41.23,6309620,,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,41.49,41.605,35.9,38.48,5317182,,,,,,,,,,,,,39.665,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,39.26,41.3,37.5,39.51,3828539,,,,,,,,,,,,,39.534531555977566,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,39.93,44.8,39.6,40.93,4692206,,,,,,,,,,,,,40.18177381650687,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,38.44,41.6871,38.33,41.38,2324001,,,,,,,,,,,,,40.08168203007917,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,40.54,40.67,36.6,38.83,2582353,,,,,,,,,,,,,39.969858614423956,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,44.75,44.95,41.5,41.88,2669044,,,,,,,,,,,,,40.438953424205096,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,46.89,46.94,43.27,44.96,2418709,,,,,,,,,,,,,40.972896129317654,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-02 00:00:00+00:00,43.89,46.27,43.22,45.41,2763066,,,,,,,,,,,,,41.33518460138772,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-03 00:00:00+00:00,40.9,43.21,40.9,41.81,2384620,,,,,,,,,,,,,41.36273516073884,#000000,0,,,0.0,0.0,0.0,0.0
