date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_143,aVWAP_BoS_CHoCH_bull_282,aVWAP_BoS_CHoCH_bull_438,aVWAP_BoS_CHoCH_bull_745,aVWAP_BoS_CHoCH_bear_137,aVWAP_BoS_CHoCH_bear_420,aVWAP_BoS_CHoCH_bear_813,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-07 15:00:00+00:00,200.62,201.85,196.525,197.19,229201.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 16:00:00+00:00,197.165,197.25,192.54,193.645,438522.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-03-07 17:00:00+00:00,193.65,196.735,192.685,195.34,426057.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,11.658832970308376,-67.48824945546257,False,False,False,True,True,
2025-03-07 18:00:00+00:00,195.295,198.535,195.22,198.49,204753.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,28.586368282234623,-51.08758437769811,False,False,False,True,True,
2025-03-07 19:00:00+00:00,198.51,200.5,198.07,199.05,285128.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,40.84661869606873,-39.20359784871364,False,False,False,True,True,
2025-03-07 20:00:00+00:00,199.05,200.22,198.175,199.24,309488.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.353452401593216,-30.586247738254087,False,False,True,False,True,
2025-03-10 14:00:00+00:00,194.715,194.715,190.895,191.085,531477.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.14217162779596,-30.586247738254087,False,False,False,True,True,
2025-03-10 15:00:00+00:00,191.08,192.08,191.08,191.765,37386.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,38.58262767636045,-30.586247738254087,False,False,False,True,True,
2025-03-10 16:00:00+00:00,191.765,191.765,191.765,191.765,0.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.209598375403445,-30.586247738254087,False,False,False,True,False,
2025-03-10 17:00:00+00:00,191.765,193.415,191.765,192.475,202211.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.09113248469146,-30.586247738254087,False,False,False,True,False,
2025-03-10 18:00:00+00:00,192.475,192.99,191.67,191.87,166160.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,35.320655019964285,-30.586247738254087,False,False,False,True,False,
2025-03-10 19:00:00+00:00,191.815,194.73,190.85,194.705,487082.0,,,,,,,,193.4283333333333,"rgba(239, 83, 80, 1.0)",,193.4283333333333,,0,,,0.0,0.0,0.0,0.0,39.96614590088207,-30.40487776287433,False,False,False,True,False,
2025-03-11 14:00:00+00:00,198.78,200.095,195.06,195.775,283066.0,,,,,,,,194.73251450803392,"rgba(239, 83, 80, 1.0)",,194.73251450803392,,0,,,0.0,0.0,0.0,0.0,44.59018459570226,-24.23615176627199,False,False,False,True,False,
2025-03-11 15:00:00+00:00,195.765,198.28,195.35,196.49,167348.0,,,,,,,,195.08491112139853,"rgba(239, 83, 80, 1.0)",,195.08491112139853,,0,,,0.0,0.0,0.0,0.0,48.65082469135126,-18.83992235256835,False,False,False,False,True,
2025-03-11 16:00:00+00:00,196.49,196.86,194.86,195.265,158041.0,,,,,,,,195.1681132616546,"rgba(239, 83, 80, 1.0)",,195.1681132616546,,0,,,0.0,0.0,0.0,0.0,49.29270658844388,-16.707821599873242,False,False,False,False,True,
