date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_179,aVWAP_BoS_CHoCH_bull_278,aVWAP_BoS_CHoCH_bull_341,aVWAP_BoS_CHoCH_bull_427,aVWAP_BoS_CHoCH_bull_629,aVWAP_BoS_CHoCH_bull_712,aVWAP_BoS_CHoCH_bear_561,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-27 15:00:00+00:00,5.135,5.15,5.125,5.145,750.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-27 16:00:00+00:00,5.145,5.155,5.14,5.14,1652.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-02-27 17:00:00+00:00,5.14,5.145,5.13,5.135,600.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-02-27 18:00:00+00:00,5.135,5.14,5.13,5.135,507.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-02-27 19:00:00+00:00,5.135,5.135,5.105,5.105,951.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-02-27 20:00:00+00:00,5.105,5.105,5.085,5.095,545.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-02-28 15:00:00+00:00,5.11,5.12,5.105,5.12,710.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,13.125692694878277,-38.18687657460955,False,False,False,True,True,
2025-02-28 16:00:00+00:00,5.115,5.115,5.09,5.095,810.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,17.84662554971552,-34.72557856694873,False,False,False,True,True,
2025-02-28 17:00:00+00:00,5.095,5.105,5.085,5.085,798.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,19.889825085249722,-33.58997712249429,False,False,False,True,True,
2025-02-28 18:00:00+00:00,5.085,5.085,5.07,5.075,300.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.291742990035917,-33.58997712249429,False,False,False,True,True,
2025-02-28 19:00:00+00:00,5.075,5.075,5.075,5.075,0.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,20.55968825989338,-33.578696355262466,False,False,False,True,True,
2025-02-28 20:00:00+00:00,5.075,5.12,5.075,5.115,1190.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,30.685581860082422,-24.412957483735326,False,False,False,True,True,
2025-03-03 15:00:00+00:00,5.095,5.14,5.095,5.12,451.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,38.26204654718086,-18.00469671793764,False,False,False,True,True,
2025-03-03 16:00:00+00:00,5.125,5.125,5.11,5.115,251.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.355876423372465,-14.81723060839294,False,False,False,True,True,
2025-03-03 17:00:00+00:00,5.115,5.135,5.115,5.115,700.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.085096340833545,-12.65408121206137,False,False,False,True,True,
2025-03-03 18:00:00+00:00,5.115,5.12,5.09,5.095,1100.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.30037388453694,-12.65408121206137,False,False,False,True,True,
2025-03-03 19:00:00+00:00,5.09,5.095,5.07,5.07,360.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,39.047799898948725,-12.65408121206137,False,False,False,True,False,
2025-03-03 20:00:00+00:00,5.07,5.07,5.03,5.055,605.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,34.838080811832,-6.6823470224578045,False,False,False,True,False,
2025-03-04 15:00:00+00:00,5.005,5.005,4.995,4.995,600.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,28.703214811594393,-12.379837390507454,False,False,False,True,False,
2025-03-04 16:00:00+00:00,4.995,5.005,4.985,5.005,100.0,,,,,,,,4.998333333333333,"rgba(239, 83, 80, 1.0)",,4.998333333333333,,0,,,0.0,0.0,0.0,0.0,26.45671096232101,-14.478448362169125,False,False,False,True,False,
2025-03-04 17:00:00+00:00,5.005,5.02,4.99,5.015,1500.0,,,,,,,,5.0077083333333325,"rgba(239, 83, 80, 1.0)",,5.0077083333333325,,0,,,0.0,0.0,0.0,0.0,26.76144510413699,-14.478448362169125,False,False,False,True,False,
2025-03-04 18:00:00+00:00,5.015,5.03,5.015,5.03,5312.0,,,,,,,,5.020997299382715,"rgba(239, 83, 80, 1.0)",,5.020997299382715,,0,,,0.0,0.0,0.0,0.0,29.499054723595357,-14.478448362169125,False,False,False,True,False,
2025-03-04 19:00:00+00:00,5.03,5.045,5.025,5.045,1298.0,,,,,,,,5.023738124238733,"rgba(239, 83, 80, 1.0)",,5.023738124238733,,0,,,0.0,0.0,0.0,0.0,33.60792575096456,-14.478448362169125,False,False,False,True,True,
2025-03-04 20:00:00+00:00,5.045,5.055,5.025,5.03,2722.0,,,,,,,,5.026957250884254,"rgba(239, 83, 80, 1.0)",,5.026957250884254,,0,,,0.0,0.0,0.0,0.0,34.86970424828142,-14.478448362169125,False,False,False,True,True,
2025-03-05 15:00:00+00:00,5.03,5.03,5.03,5.03,100.0,,,,,,,,5.026984832003867,"rgba(239, 83, 80, 1.0)",,5.026984832003867,,0,,,0.0,0.0,0.0,0.0,35.710889913159335,-22.121668590108392,False,False,False,True,True,
2025-03-05 16:00:00+00:00,5.03,5.03,5.005,5.02,600.0,,,,,,,,5.026538571756075,"rgba(239, 83, 80, 1.0)",,5.026538571756075,,0,,,0.0,0.0,0.0,0.0,35.248648351752465,-22.050437602209346,False,False,False,True,True,
2025-03-05 17:00:00+00:00,5.035,5.065,5.025,5.055,947.0,,,,,,,,5.028179373029122,"rgba(239, 83, 80, 1.0)",,5.028179373029122,,0,,,0.0,0.0,0.0,0.0,40.28742068842226,-16.882156629492272,False,False,False,True,True,
2025-03-05 18:00:00+00:00,5.055,5.055,5.035,5.035,45.0,,,,,,,,5.028227450359104,"rgba(239, 83, 80, 1.0)",,5.028227450359104,,0,,,0.0,0.0,0.0,0.0,41.36833827296824,-15.539662183614055,False,False,False,True,True,
2025-03-05 19:00:00+00:00,5.035,5.055,5.035,5.05,462.0,,,,,,,,5.028878445157675,"rgba(239, 83, 80, 1.0)",,5.028878445157675,,0,,,0.0,0.0,0.0,0.0,44.022810529437976,-12.706907943275361,False,False,False,True,True,
2025-03-05 20:00:00+00:00,5.055,5.065,5.055,5.065,3029.0,,,,,,,,5.048354017995656,"rgba(239, 83, 80, 1.0)",,5.048354017995656,,0,,,0.0,0.0,0.0,0.0,47.54229081634011,-9.156086476478777,False,False,False,False,True,
2025-03-06 15:00:00+00:00,5.015,5.045,5.015,5.03,1141.0,,,,,,,,5.043855011331686,"rgba(239, 83, 80, 1.0)",,5.043855011331686,,0,,,0.0,0.0,0.0,0.0,45.998530673535896,-9.156086476478777,False,False,False,True,True,
