date,Open,High,Low,Close,Volume,aVWAP_peak_263,aVWAP_peak_262,aVWAP_peak_237,aVWAP_peak_218,aVWAP_peak_185,aVWAP_peak_155,aVWAP_peak_121,aVWAP_peak_17,aVWAP_valley_289,aVWAP_valley_272,aVWAP_valley_244,aVWAP_valley_179,aVWAP_valley_24,aVWAP_OB_bear_263,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-26 15:00:00+00:00,4.755,4.835,4.755,4.825,70135.0,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,70135.0,False,False,False,False
2025-02-26 16:00:00+00:00,4.825,4.845,4.815,4.825,13587.0,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,69258.28682170543,False,False,False,False
2025-02-26 17:00:00+00:00,4.825,4.835,4.795,4.82,21462.0,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21462.0,-332.74418604651163,False,False,False,False,68517.25911904334,False,False,False,False
2025-02-26 18:00:00+00:00,4.825,4.845,4.81,4.83,91253.0,,,,,,,,,,,,,,,,#000000,,,,23.076923076923073,-84.61538461538461,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69791.0,754.4456462952948,False,False,False,False,68869.75122572483,False,False,False,False
2025-02-26 19:00:00+00:00,4.825,4.84,4.795,4.795,12706.0,,,,,,,,,,,,,,,,#000000,,,,21.578163771712042,-83.95632754342444,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57085.0,1627.787574259709,False,False,False,False,67998.99539276786,False,False,False,False
2025-02-26 20:00:00+00:00,4.795,4.835,4.78,4.82,141067.0,,,,,,,,,,,,,,,,#000000,,,,30.627189594210638,-72.20982216918068,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,198152.0,4674.674588612272,False,False,False,False,69131.83267350015,False,False,False,False
2025-02-27 15:00:00+00:00,5.155,5.335,5.135,5.265,112761.0,,,,,,,,,,,,,,,,#000000,,,,51.72013985946937,-49.386299546795264,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,310913.0,9422.555602742315,False,False,False,False,69808.25387236061,False,False,False,False
2025-02-27 16:00:00+00:00,5.265,5.355,5.25,5.25,56405.0,,,,,,,,,,,,,,,,#000000,,,,64.76998717171979,-34.48961308095822,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,254508.0,13222.329934482745,False,False,False,False,69600.45148674262,False,False,False,False
2025-02-27 17:00:00+00:00,5.255,5.34,5.255,5.29,64235.0,,,,,,,,,,,,,,,,#000000,,,,73.73900044932734,-23.26514006270888,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,318743.0,17959.084509141925,False,False,False,False,69517.26619237452,False,False,False,False
2025-02-27 18:00:00+00:00,5.295,5.31,5.255,5.305,36867.0,,,,,,,,,,,,,,,,#000000,,,,79.81811453929792,-14.470277527243148,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,355610.0,23193.98242372887,False,False,False,False,69011.06051497336,False,False,False,False
