date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_172,aVWAP_peak_154,aVWAP_peak_147,aVWAP_peak_143,aVWAP_peak_125,aVWAP_peak_119,aVWAP_peak_100,aVWAP_peak_87,aVWAP_peak_81,aVWAP_peak_70,aVWAP_peak_56,aVWAP_peak_32,aVWAP_peak_22,aVWAP_peak_16,aVWAP_peak_10,aVWAP_valley_187,aVWAP_valley_176,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_85,aVWAP_valley_78,aVWAP_valley_60,aVWAP_valley_39,aVWAP_valley_27,aVWAP_valley_19,aVWAP_valley_5,aVWAP_OB_bull_176,aVWAP_OB_bull_150,aVWAP_OB_bull_111,aVWAP_OB_bull_92,aVWAP_OB_bull_39,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.4680622083,7.4729179054,7.1620561742,7.2738343225,7436740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7436740.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.8271101852,7.5166191797,6.7591304252,7.3660925682,14049767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14049767,-1040723.4814814815,False,False,False,False,7926593.851851852,False,False,False,False
2022-01-14 00:00:00+00:00,6.8950899452,7.2932571111,6.7105734537,6.8271101852,15571457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.9154518940517846,-57.28862973512946,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1521690,-850915.0754458162,False,False,False,False,8492880.010973936,False,False,False,False
2022-01-21 00:00:00+00:00,6.8271101852,7.2447001396,6.4289430193,6.7299962423,28936254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.710586531363463,-55.43222774783981,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27414564,-2818592.7735609408,False,False,False,False,10007204.010161052,False,False,False,False
2022-01-28 00:00:00+00:00,6.5357683565,7.0407608596,6.3415404707,6.7397076366,21774266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.1740245080672596,-54.78874474754756,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-49188830,-6253425.160704575,False,False,False,False,10878838.231630605,False,False,False,False
2022-02-04 00:00:00+00:00,6.4386544136,6.754274728,6.3221176822,6.5746139337,24424213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.505015607933333,,,,,,6.505015607933333,#000000,,6.505015607933333,,5.323887975217287,-54.35356169795342,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73613043,-11243026.482133865,False,False,False,False,11882199.325583894,False,False,False,False
2022-02-11 00:00:00+00:00,6.9922038881,7.0504722538,6.4969227794,6.5357683565,19618832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.657143414386469,,,,,,6.657143414386469,#000000,,6.657143414386469,,15.65479232584314,-44.21797072255034,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53994211,-14409780.890864689,False,False,False,False,12455283.227392495,False,False,False,False
2022-02-18 00:00:00+00:00,7.1281634082,7.424360934,6.788264608,7.0310494653,23708258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.816870278586974,,,,,,6.816870278586974,#000000,,6.816870278586974,,24.551987827099122,-35.80261548054309,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30285953,-15585793.639689526,False,False,False,False,13288836.91425231,False,False,False,False
2022-02-25 00:00:00+00:00,7.2155659568,7.5457533626,6.8853785509,7.1767203796,21129248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.911650742546822,,,,,,6.911650742546822,#000000,,6.911650742546822,,31.801798918231867,-29.156396705262065,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9156705,-15109564.851564376,False,False,False,False,13869608.105789175,False,False,False,False
2022-03-04 00:00:00+00:00,7.6137331226,7.6865685798,7.0699921564,7.3418140825,24814622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.030624965014728,,,,,,7.030624965014728,#000000,,7.030624965014728,,40.17292586085399,-21.533969327521472,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15657917,-12830492.121818867,False,False,False,False,14680349.875730718,False,False,False,False
2022-03-11 00:00:00+00:00,8.46833582,8.5654497629,7.5408976654,7.6720014883,33779389,,,,,,,,,,,,,,,,8.191561082766667,,,,,,,,,,,,,,,7.296540063821345,,,,,,7.744050573294006,#000000,,7.744050573294006,,49.92157436952464,-12.708752901212797,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,49437306,-8218062.631313765,False,False,False,False,16095093.514565479,False,False,False,False
2022-03-18 00:00:00+00:00,8.0850618303,8.3334583082,7.5360419683,8.2838193286,25837269,,,,,,,,,,,,,,,,8.101976296215216,,,,,,,,,,,,,,,7.399153677344957,,,,,,7.750564986780087,#000000,,7.750564986780087,,53.91044148705579,-9.44768077862475,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23600037,-5861166.362327561,False,False,False,False,16816736.143116184,False,False,False,False
2022-03-25 00:00:00+00:00,8.133767022,8.3626814233,7.9486872934,8.1483785796,12907680,,,,,,,,,,,,,,,,8.11023484556964,,,,,,,,,,,,,,,7.451085696895309,,,,,,7.780660271232474,#000000,,7.780660271232474,,56.95282723148445,-6.9201728871965855,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,36507717,-2722730.5577107044,False,False,False,False,16527176.42881128,False,False,False,False
