date,Close,High,Low,Open,Volume,aVWAP_peak_72,aVWAP_peak_68,aVWAP_peak_61,aVWAP_peak_44,aVWAP_peak_36,aVWAP_peak_21,aVWAP_peak_6,aVWAP_valley_66,aVWAP_valley_50,aVWAP_valley_45,aVWAP_valley_35,aVWAP_valley_15,aVWAP_valley_10,aVWAP_OB_bull_50,aVWAP_OB_bear_36,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-04-26 00:00:00+00:00,18.64,115.92,13.6,60.8,3313857,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3313857.0,False,False,False,False
2024-05-03 00:00:00+00:00,10.72,15.2,10.56,14.0,1177288,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1177288,-87206.51851851851,False,False,False,False,3155592.6296296297,False,False,False,False
2024-05-10 00:00:00+00:00,9.76,10.8,8.32,10.4,431611,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1608899,-199924.48010973935,False,False,False,False,2953816.2126200274,False,False,False,False
2024-05-17 00:00:00+00:00,10.72,11.36,9.2,9.6,281045,,,,,,,,,,,,,,,,,#000000,,,,3.132832080200505,-47.03849467418546,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1327854,-283474.8149164253,False,False,False,False,2755833.159833359,False,False,False,False
2024-05-24 00:00:00+00:00,8.8,11.84,8.08,10.88,185206,,,,,,,,,,,,,,,,,#000000,,,,4.774520558844386,-45.61508110000689,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1513060,-374555.1989966901,False,False,False,False,2565416.333179036,False,False,False,False
2024-05-31 00:00:00+00:00,7.4856,9.1168,7.2928,8.8,67600,,,,,,,,,,,,,,,,,#000000,,,,5.636496393328713,-44.961273766782625,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1580660,-463896.29536730563,False,False,False,False,2380392.9010917,False,False,False,False
2024-06-07 00:00:00+00:00,9.12,18.8,7.296,7.68,5889294,,,,,,,11.738666666666667,,,,,,,,,11.738666666666667,#000000,,11.738666666666667,,9.947587627806225,-41.035984184216105,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4308634,-110375.53274750523,False,False,False,False,2640311.5010108333,False,False,False,False
2024-06-14 00:00:00+00:00,8.8,9.76,7.8,8.48,164122,,,,,,,11.65863117199721,,,,,,,,,11.65863117199721,#000000,,11.65863117199721,,12.857679839781152,-38.565048720265054,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4144512,204801.32153008773,False,False,False,False,2456890.0564915123,False,False,False,False
2024-06-21 00:00:00+00:00,7.256,8.96,7.04,8.96,80061,,,,,,,11.607637453709645,,,,,,,,,11.607637453709645,#000000,,11.607637453709645,,14.195752411770648,-37.614151243511294,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4064451,490701.2977130442,False,False,False,False,2280828.6448995485,False,False,False,False
2024-06-28 00:00:00+00:00,7.36,7.84,7.12,7.36,59863,,,,,,,11.567354297788699,,,,,,,,,11.567354297788699,#000000,,11.567354297788699,,15.368402594396596,-36.77378155542378,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4124314,759857.7941787447,False,False,False,False,2116312.6712032855,False,False,False,False
