date,Open,High,Low,Close,Volume,aVWAP_peak_845,aVWAP_peak_841,aVWAP_peak_780,aVWAP_peak_719,aVWAP_peak_654,aVWAP_peak_635,aVWAP_peak_613,aVWAP_peak_576,aVWAP_peak_528,aVWAP_peak_504,aVWAP_peak_475,aVWAP_peak_452,aVWAP_peak_402,aVWAP_peak_384,aVWAP_peak_335,aVWAP_peak_320,aVWAP_peak_299,aVWAP_peak_232,aVWAP_peak_210,aVWAP_peak_189,aVWAP_peak_175,aVWAP_peak_174,aVWAP_peak_98,aVWAP_peak_45,aVWAP_valley_869,aVWAP_valley_851,aVWAP_valley_819,aVWAP_valley_818,aVWAP_valley_758,aVWAP_valley_709,aVWAP_valley_642,aVWAP_valley_619,aVWAP_valley_598,aVWAP_valley_597,aVWAP_valley_564,aVWAP_valley_516,aVWAP_valley_491,aVWAP_valley_468,aVWAP_valley_450,aVWAP_valley_420,aVWAP_valley_393,aVWAP_valley_392,aVWAP_valley_370,aVWAP_valley_325,aVWAP_valley_310,aVWAP_valley_288,aVWAP_valley_222,aVWAP_valley_196,aVWAP_valley_156,aVWAP_valley_124,aVWAP_valley_107,aVWAP_valley_71,aVWAP_valley_30,aVWAP_OB_bull_491,aVWAP_OB_bear_845,aVWAP_OB_bear_613,aVWAP_OB_bear_528,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-24 14:00:00+00:00,2.165,2.235,2.165,2.225,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,600.0,False,False,False,False
2025-03-24 15:00:00+00:00,2.225,2.26,2.18,2.195,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-920.0,-14.263565891472869,False,False,False,False,604.9612403100775,False,False,False,False
2025-03-24 16:00:00+00:00,2.195,2.195,2.15,2.155,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-920.0,-28.305991226488793,False,False,False,False,595.5819962742623,False,False,False,False
2025-03-24 17:00:00+00:00,2.155,2.16,2.125,2.125,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1354.0,-48.85938671134943,False,False,False,False,593.076849045204,False,False,False,False
2025-03-24 18:00:00+00:00,2.125,2.15,2.115,2.135,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.730999539382703,-46.642100414555564,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-854.0,-61.342186917375024,False,False,False,False,591.6337971220225,False,False,False,False
2025-03-24 19:00:00+00:00,2.13,2.2,2.125,2.15,1305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.921359711002193,-40.39463623246099,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,451.0,-53.398897197725795,False,False,False,False,602.6937382519136,False,False,False,False
2025-03-25 14:00:00+00:00,2.175,2.22,2.12,2.15,4808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.714933158748515,-36.63123372504671,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,451.0,-45.57875925667578,False,False,False,False,667.8922849456824,False,False,False,False
2025-03-25 15:00:00+00:00,2.155,2.16,2.125,2.135,2246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.498691132614603,-35.59131427502794,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1795.0,-72.7015691906808,False,False,False,False,692.3590712255943,False,False,False,False
2025-03-25 16:00:00+00:00,2.135,2.16,2.125,2.15,3124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.857908251838538,-31.120475306682973,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1329.0,-50.96976191640667,False,False,False,False,730.0589305864378,False,False,False,False
2025-03-25 17:00:00+00:00,2.155,2.165,2.13,2.14,6017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.24168620826476,-29.384501820121056,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4688.0,-122.8617035921213,False,False,False,False,812.0270091819968,False,False,False,False
