date,Open,High,Low,Close,Volume,aVWAP_peak_356,aVWAP_peak_318,aVWAP_peak_297,aVWAP_peak_279,aVWAP_peak_228,aVWAP_peak_192,aVWAP_peak_174,aVWAP_peak_122,aVWAP_peak_87,aVWAP_peak_54,aVWAP_valley_395,aVWAP_valley_370,aVWAP_valley_338,aVWAP_valley_310,aVWAP_valley_287,aVWAP_valley_241,aVWAP_valley_206,aVWAP_valley_162,aVWAP_valley_139,aVWAP_valley_101,aVWAP_OB_bull_338,aVWAP_OB_bull_241,aVWAP_OB_bull_139,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-26 17:00:00+00:00,13.915,13.975,13.845,13.9,31684.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,31684.0,False,False,False,False
2024-01-29 17:00:00+00:00,13.875,13.965,13.7,13.735,59439.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-59439.0,-921.5348837209302,False,False,False,False,32114.31007751938,False,False,False,False
2024-01-30 17:00:00+00:00,13.665,13.665,13.525,13.59,26036.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-85475.0,-2232.4413196322334,False,False,False,False,32020.072711976445,False,False,False,False
2024-01-31 17:00:00+00:00,13.64,13.855,13.425,13.525,106879.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-192354.0,-5180.062384444136,False,False,False,False,33180.67623582177,False,False,False,False
2024-02-01 17:00:00+00:00,13.93,14.07,13.83,14.07,53684.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.802691690332143,-30.37757747870107,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-138670.0,-7249.673820344227,False,False,False,False,33498.55722441368,False,False,False,False
2024-02-02 17:00:00+00:00,13.515,13.705,13.435,13.655,31747.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.508353295601317,-25.650643535378745,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-170417.0,-9779.399807625712,False,False,False,False,33471.40129845378,False,False,False,False
2024-02-05 17:00:00+00:00,13.13,13.235,13.095,13.12,30987.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.193577375702397,-25.650643535378745,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-201404.0,-12750.323841616011,False,False,False,False,33432.883448865345,False,False,False,False
2024-02-06 17:00:00+00:00,13.255,13.375,13.245,13.34,52678.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.28583385933167,-24.826434222606792,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-148726.0,-14858.473859575453,False,False,False,False,33731.25734888294,False,False,False,False
2024-02-07 17:00:00+00:00,13.245,13.255,13.165,13.215,31679.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.34325860962792,-24.156192634342137,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-180405.0,-17425.08666795413,False,False,False,False,33699.4394054894,False,False,False,False
2024-02-08 17:00:00+00:00,13.135,13.23,13.085,13.125,31212.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.34600974409592,-24.14153578726235,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-211617.0,-20435.81400643546,False,False,False,False,33660.874453466306,False,False,False,False
