date,Open,High,Low,Close,Volume,aVWAP_peak_413,aVWAP_peak_411,aVWAP_peak_410,aVWAP_peak_358,aVWAP_peak_337,aVWAP_peak_293,aVWAP_peak_228,aVWAP_peak_199,aVWAP_peak_176,aVWAP_peak_159,aVWAP_peak_85,aVWAP_peak_27,aVWAP_valley_376,aVWAP_valley_347,aVWAP_valley_321,aVWAP_valley_303,aVWAP_valley_242,aVWAP_valley_218,aVWAP_valley_171,aVWAP_valley_124,aVWAP_valley_63,aVWAP_valley_42,aVWAP_valley_18,aVWAP_OB_bull_441,aVWAP_OB_bull_124,aVWAP_OB_bear_413,aVWAP_OB_bear_337,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-16 17:00:00+00:00,54.535,54.62,54.01,54.15,78338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,78338.0,False,False,False,False
2024-01-17 17:00:00+00:00,54.56,54.715,54.405,54.555,35018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35018.0,542.9147286821706,False,False,False,False,77666.37209302325,False,False,False,False
2024-01-18 17:00:00+00:00,54.1,54.585,54.08,54.575,31939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66957.0,1572.5904693227571,False,False,False,False,76957.42058770507,False,False,False,False
2024-01-19 17:00:00+00:00,54.07,54.285,53.91,53.92,31265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,78.00783435926141,30.207050923335274,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35692.0,2101.573562821629,False,False,False,False,76249.01096619027,False,False,False,False
2024-01-22 17:00:00+00:00,53.49,53.795,53.395,53.7,67861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.08323709057151,16.294443319958674,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32169.0,1570.2468409174173,False,False,False,False,76118.96428454391,False,False,False,False
2024-01-23 17:00:00+00:00,53.96,54.53,53.945,54.435,65234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,60.19547531647965,16.294443319958674,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33065.0,2058.5375875698605,False,False,False,False,75950.20514834943,False,False,False,False
2024-01-24 17:00:00+00:00,54.03,54.185,53.42,53.47,37289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.054987977244316,10.764596793834272,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4224.0,1961.1339040416456,False,False,False,False,75350.80661891766,False,False,False,False
2024-01-25 17:00:00+00:00,54.165,54.77,54.11,54.625,34664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.97014083694973,10.764596793834272,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30440.0,2402.6667117309225,False,False,False,False,74720.00341552358,False,False,False,False
2024-01-26 17:00:00+00:00,54.945,55.005,54.68,54.725,22861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.701604449956854,10.764596793834272,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53301.0,3191.7881580606754,False,False,False,False,73915.98785869376,False,False,False,False
2024-01-29 17:00:00+00:00,54.75,54.895,54.535,54.77,32911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,57.07507565734204,10.764596793834272,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,86212.0,4478.923225377564,False,False,False,False,73280.25161282254,False,False,False,False
