date,Open,High,Low,Close,Volume,aVWAP_peak_808,aVWAP_peak_765,aVWAP_peak_714,aVWAP_peak_673,aVWAP_peak_654,aVWAP_peak_627,aVWAP_peak_564,aVWAP_peak_518,aVWAP_peak_454,aVWAP_peak_440,aVWAP_peak_407,aVWAP_peak_379,aVWAP_peak_356,aVWAP_peak_326,aVWAP_peak_325,aVWAP_peak_324,aVWAP_peak_266,aVWAP_peak_227,aVWAP_peak_226,aVWAP_peak_225,aVWAP_peak_210,aVWAP_peak_209,aVWAP_peak_174,aVWAP_peak_138,aVWAP_peak_118,aVWAP_peak_87,aVWAP_peak_48,aVWAP_valley_847,aVWAP_valley_817,aVWAP_valley_794,aVWAP_valley_751,aVWAP_valley_730,aVWAP_valley_684,aVWAP_valley_660,aVWAP_valley_646,aVWAP_valley_618,aVWAP_valley_605,aVWAP_valley_558,aVWAP_valley_541,aVWAP_valley_469,aVWAP_valley_434,aVWAP_valley_419,aVWAP_valley_401,aVWAP_valley_365,aVWAP_valley_293,aVWAP_valley_232,aVWAP_valley_204,aVWAP_valley_149,aVWAP_valley_113,aVWAP_valley_96,aVWAP_valley_72,aVWAP_valley_41,aVWAP_valley_19,aVWAP_OB_bull_684,aVWAP_OB_bull_469,aVWAP_OB_bull_293,aVWAP_OB_bull_204,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-13 14:00:00+00:00,9.035,9.11,8.955,8.97,4912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4912.0,False,False,False,False
2025-03-13 15:00:00+00:00,8.975,8.99,8.82,8.84,4419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4419.0,-68.51162790697674,False,False,False,False,4904.356589147287,False,False,False,False
2025-03-13 16:00:00+00:00,8.845,8.855,8.805,8.835,1371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5790.0,-157.21687398593832,False,False,False,False,4849.575866834926,False,False,False,False
2025-03-13 17:00:00+00:00,8.825,8.825,8.705,8.705,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6535.0,-256.097232528792,False,False,False,False,4785.939031690198,False,False,False,False
2025-03-13 18:00:00+00:00,8.705,8.78,8.705,8.75,1534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.863742392149485,-44.722631847065465,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5001.0,-329.66161652059367,False,False,False,False,4735.521372284148,False,False,False,False
2025-03-13 19:00:00+00:00,8.75,8.77,8.7,8.72,9377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.089447138169277,-42.17132211917662,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14378.0,-547.4653123884914,False,False,False,False,4807.482281240983,False,False,False,False
2025-03-14 14:00:00+00:00,8.635,8.72,8.58,8.615,7715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.610347882847503,-42.08369349027619,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22093.0,-881.5046098708403,False,False,False,False,4852.56007533027,False,False,False,False
2025-03-14 15:00:00+00:00,8.615,8.66,8.555,8.635,3309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.838423829698119,-40.28795763728347,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18784.0,-1159.0626779348584,False,False,False,False,4828.62891137166,False,False,False,False
2025-03-14 16:00:00+00:00,8.64,8.69,8.58,8.64,1065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.810731302683699,-38.70452331298625,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17719.0,-1415.805892230442,False,False,False,False,4770.278075536441,False,False,False,False
2025-03-14 17:00:00+00:00,8.64,8.67,8.565,8.615,4045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.596559029587851,-38.145546989306254,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21764.0,-1731.2817698702802,False,False,False,False,4759.033454210295,False,False,False,False
