date,Open,High,Low,Close,Volume,aVWAP_peak_416,aVWAP_peak_359,aVWAP_peak_336,aVWAP_peak_318,aVWAP_peak_244,aVWAP_peak_161,aVWAP_peak_125,aVWAP_peak_72,aVWAP_peak_37,aVWAP_valley_427,aVWAP_valley_373,aVWAP_valley_346,aVWAP_valley_301,aVWAP_valley_264,aVWAP_valley_223,aVWAP_valley_189,aVWAP_valley_170,aVWAP_valley_145,aVWAP_valley_118,aVWAP_valley_78,aVWAP_valley_42,aVWAP_OB_bull_346,aVWAP_OB_bull_301,aVWAP_OB_bull_2,aVWAP_OB_bear_161,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-19 17:00:00+00:00,15.24,15.285,15.06,15.22,36491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,36491.0,False,False,False,False
2023-12-20 17:00:00+00:00,15.455,15.66,14.99,15.005,33319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33319.0,-516.5736434108527,False,False,False,False,36441.82170542636,False,False,False,False
2023-12-21 17:00:00+00:00,14.85,15.17,14.67,15.09,17432.0,,,,,,,,,,,,,,,,,,,,,,,,14.976666666666667,,,#000000,,,,10.261569416498919,-65.39235412474838,False,False,False,True,True,,1.0,15.17,14.67,10.0,0,,,False,False,False,False,,,False,False,False,False,-15887.0,-754.8748272339402,False,False,False,False,36147.09578751277,False,False,False,False
2023-12-22 17:00:00+00:00,15.3,15.36,15.09,15.105,14207.0,,,,,,,,,,,,,,,,,,,,,,,,15.070215504071978,,,#000000,,,,18.431470548820226,-57.013286164009315,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1680.0,-769.2178531682977,False,False,False,False,35806.93926367536,False,False,False,False
2023-12-25 17:00:00+00:00,15.105,15.105,15.105,15.105,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.070215504071978,,,#000000,,,,23.8780713037011,-50.95968844591598,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1680.0,-783.3385066075489,False,False,False,False,35251.7929185021,False,False,False,False
2023-12-26 17:00:00+00:00,15.345,15.43,15.25,15.26,18830.0,,,,,,,,,,,,,,,,,,,,,,,,15.160922843725851,,,#000000,,,,36.850597338965144,-37.902426567737685,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17150.0,-505.3022506911527,False,False,False,False,34997.191477905166,False,False,False,False
2023-12-27 17:00:00+00:00,15.35,15.47,15.3,15.375,7717.0,,,,,,,,,,,,,,,,,,,,,,,,15.190199303383402,,,#000000,,,,48.77231841798838,-26.12852570088354,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,24867.0,-111.93322354865421,False,False,False,False,34574.24277282136,False,False,False,False
2023-12-28 17:00:00+00:00,15.35,15.45,15.19,15.395,14447.0,,,,,,,,,,,,,,,,,,,,,,,,15.220989793436408,,,#000000,,,,57.168380768012945,-17.67064075689477,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,39314.0,499.32155511101485,False,False,False,False,34262.19249727374,False,False,False,False
2023-12-29 17:00:00+00:00,15.38,15.405,15.25,15.265,17142.0,,,,,,,,,,,,,,,,,,,,,,,,15.23734928060893,,,#000000,,,,56.251946582949124,-17.645591039331578,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22172.0,835.3320736364254,False,False,False,False,33996.763156230736,False,False,False,False
2024-01-01 17:00:00+00:00,15.265,15.265,15.265,15.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.23734928060893,,,#000000,,,,55.640990459573246,-16.759191572472524,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22172.0,1166.1331267583414,False,False,False,False,33469.68155690933,False,False,False,False
