date,Open,High,Low,Close,Volume,aVWAP_peak_436,aVWAP_peak_418,aVWAP_peak_374,aVWAP_peak_353,aVWAP_peak_309,aVWAP_peak_246,aVWAP_peak_210,aVWAP_peak_178,aVWAP_peak_143,aVWAP_peak_109,aVWAP_peak_58,aVWAP_peak_31,aVWAP_peak_16,aVWAP_valley_423,aVWAP_valley_386,aVWAP_valley_368,aVWAP_valley_343,aVWAP_valley_341,aVWAP_valley_289,aVWAP_valley_218,aVWAP_valley_192,aVWAP_valley_168,aVWAP_valley_123,aVWAP_valley_68,aVWAP_valley_51,aVWAP_valley_23,aVWAP_OB_bull_386,aVWAP_OB_bull_317,aVWAP_OB_bull_68,aVWAP_OB_bull_2,aVWAP_OB_bear_58,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,2.175,2.185,2.125,2.13,4967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4967.0,False,False,False,False
2023-11-10 17:00:00+00:00,2.15,2.165,2.13,2.15,12010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,-1.0,2.165,2.13,3.0,0,,,False,False,False,False,,,False,False,False,False,12010.0,186.2015503875969,False,False,False,False,5076.193798449613,False,False,False,False
2023-11-13 17:00:00+00:00,2.165,2.165,2.11,2.12,5444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.131666666666667,,,,,#000000,,,,79.06976744186053,-23.25581395348813,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6566.0,285.11315425755663,False,False,False,False,5081.8962201790755,False,False,False,False
2023-11-14 17:00:00+00:00,2.265,2.3,2.255,2.285,3117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185673792002492,,,,,#000000,,,,81.76207247289366,-18.739716169744362,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9683.0,430.8168262845712,False,False,False,False,5051.432712889477,False,False,False,False
2023-11-15 17:00:00+00:00,2.275,2.28,2.245,2.255,3541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.207421362860133,,,,,#000000,,,,79.49258758551599,-18.048850638419466,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6142.0,519.3623018460507,False,False,False,False,5028.01515144933,False,False,False,False
2023-11-16 17:00:00+00:00,2.345,2.345,2.315,2.325,5607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2457043499538845,,,,,#000000,,,,80.222235852936,-13.595885400814417,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11749.0,693.4652118949491,False,False,False,False,5036.991660729185,False,False,False,False
2023-11-17 17:00:00+00:00,2.335,2.375,2.33,2.375,4990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2708303596340516,,,,,#000000,,,,81.79271085029607,-8.046810192121896,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16739.0,942.2331931058801,False,False,False,False,5036.263107849662,False,False,False,False
2023-11-20 17:00:00+00:00,2.335,2.355,2.31,2.34,6424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.284985006123454,,,,,#000000,,,,79.36708141065215,-6.575117598780729,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10315.0,1087.547407166254,False,False,False,False,5057.778408503156,False,False,False,False
2023-11-21 17:00:00+00:00,2.405,2.415,2.385,2.39,7928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3088821264383332,,,,,#000000,,,,79.14881043985959,-2.88324160516477,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18243.0,1353.5234163574748,False,False,False,False,5102.277968061247,False,False,False,False
2023-11-22 17:00:00+00:00,2.325,2.355,2.32,2.345,2274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.310681542699725,,,,,#000000,,,,75.2539294233437,-2.88324160516477,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15969.0,1580.119952537979,False,False,False,False,5058.428697238592,False,False,False,False
2023-11-23 17:00:00+00:00,2.345,2.345,2.345,2.345,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.310681542699725,,,,,#000000,,,,72.65734207899979,-2.88324160516477,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15969.0,1803.2033641265375,False,False,False,False,4980.003446118613,False,False,False,False
2023-11-24 17:00:00+00:00,2.445,2.46,2.43,2.435,8458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3338670308129115,,,,,#000000,,,,73.80716182222699,1.0930402722194188,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,24427.0,2153.959901116824,False,False,False,False,5033.925873310573,False,False,False,False
