date,Open,High,Low,Close,Volume,aVWAP_peak_834,aVWAP_peak_760,aVWAP_peak_708,aVWAP_peak_672,aVWAP_peak_653,aVWAP_peak_629,aVWAP_peak_627,aVWAP_peak_611,aVWAP_peak_569,aVWAP_peak_538,aVWAP_peak_519,aVWAP_peak_473,aVWAP_peak_434,aVWAP_peak_402,aVWAP_peak_358,aVWAP_peak_336,aVWAP_peak_295,aVWAP_peak_233,aVWAP_peak_212,aVWAP_peak_179,aVWAP_peak_144,aVWAP_peak_126,aVWAP_peak_89,aVWAP_peak_70,aVWAP_peak_39,aVWAP_valley_861,aVWAP_valley_859,aVWAP_valley_845,aVWAP_valley_810,aVWAP_valley_760,aVWAP_valley_740,aVWAP_valley_691,aVWAP_valley_666,aVWAP_valley_636,aVWAP_valley_588,aVWAP_valley_562,aVWAP_valley_506,aVWAP_valley_487,aVWAP_valley_449,aVWAP_valley_386,aVWAP_valley_366,aVWAP_valley_353,aVWAP_valley_317,aVWAP_valley_300,aVWAP_valley_260,aVWAP_valley_223,aVWAP_valley_222,aVWAP_valley_187,aVWAP_valley_164,aVWAP_valley_115,aVWAP_valley_78,aVWAP_valley_65,aVWAP_OB_bull_260,aVWAP_OB_bear_760,aVWAP_OB_bear_708,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-25 14:00:00+00:00,10.11,10.25,10.06,10.145,11855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11855.0,False,False,False,False
2025-03-25 15:00:00+00:00,10.14,10.18,10.05,10.055,8396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8396.0,-130.1705426356589,False,False,False,False,11801.372093023256,False,False,False,False
2025-03-25 16:00:00+00:00,10.055,10.195,10.05,10.085,20826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.090909090909353,-63.636363636364024,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12430.0,64.56078360675443,False,False,False,False,11941.28880475933,False,False,False,False
2025-03-25 17:00:00+00:00,10.09,10.11,10.005,10.02,13446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.521356913848688,-60.539869686627696,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1016.0,47.807903240758236,False,False,False,False,11964.617660499496,False,False,False,False
2025-03-25 18:00:00+00:00,10.015,10.06,9.855,9.895,15181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.610636813398262,-60.23294321195403,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16197.0,-204.04958363119152,False,False,False,False,12014.484053359969,False,False,False,False
2025-03-25 19:00:00+00:00,9.895,9.905,9.7,9.715,92286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.74706985677414,-60.23294321195403,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-108483.0,-1882.793000939235,False,False,False,False,13259.003680439659,False,False,False,False
2025-03-26 14:00:00+00:00,9.595,9.675,9.535,9.605,13352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.123676918287809,-60.23294321195403,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-121835.0,-3742.5171404595567,False,False,False,False,13260.445483843694,False,False,False,False
2025-03-26 15:00:00+00:00,9.605,9.68,9.49,9.5,12390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.787507921360687,-60.23294321195403,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-134225.0,-5765.501370840028,False,False,False,False,13246.950205024412,False,False,False,False
2025-03-26 16:00:00+00:00,9.5,9.56,9.47,9.485,23387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.864943324885896,-59.906011093321005,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-157612.0,-8119.710651912276,False,False,False,False,13404.160279365118,False,False,False,False
2025-03-26 17:00:00+00:00,9.485,9.515,9.35,9.355,18306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.018531847980628,-59.24844835554272,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-175918.0,-10721.2345177741,False,False,False,False,13480.15779441372,False,False,False,False
