date,Open,High,Low,Close,Volume,aVWAP_peak_423,aVWAP_peak_400,aVWAP_peak_367,aVWAP_peak_346,aVWAP_peak_266,aVWAP_peak_228,aVWAP_peak_193,aVWAP_peak_154,aVWAP_peak_133,aVWAP_peak_82,aVWAP_peak_56,aVWAP_valley_409,aVWAP_valley_394,aVWAP_valley_340,aVWAP_valley_321,aVWAP_valley_299,aVWAP_valley_242,aVWAP_valley_170,aVWAP_valley_144,aVWAP_valley_108,aVWAP_valley_65,aVWAP_OB_bear_423,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-16 17:00:00+00:00,13.885,13.91,13.83,13.905,166926.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,166926.0,False,False,False,False
2024-01-17 17:00:00+00:00,13.805,13.805,13.735,13.775,246047.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-246047.0,-3814.6821705426355,False,False,False,False,168152.68217054263,False,False,False,False
2024-01-18 17:00:00+00:00,13.705,13.755,13.6,13.735,342641.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-588688.0,-12882.485547743525,False,False,False,False,170857.92740820863,False,False,False,False
2024-01-19 17:00:00+00:00,13.675,13.8,13.66,13.785,129013.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.852459016393533,-42.03278688524582,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-459675.0,-19809.501275685485,False,False,False,False,170209.16884374028,False,False,False,False
2024-01-22 17:00:00+00:00,13.97,13.995,13.88,13.88,156184.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.618823208736565,-29.274206653120704,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-303491.0,-24207.66404660509,False,False,False,False,169991.72436554276,False,False,False,False
2024-01-23 17:00:00+00:00,13.955,13.985,13.88,13.93,141294.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.22013257912563,-19.10228875983572,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-162197.0,-26347.03359627013,False,False,False,False,169546.79840638704,False,False,False,False
2024-01-24 17:00:00+00:00,14.055,14.095,13.99,14.08,355202.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.4223317625401,-8.56222318655086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,193005.0,-22946.226873847336,False,False,False,False,172425.17362489266,False,False,False,False
2024-01-25 17:00:00+00:00,14.27,14.32,14.23,14.27,459954.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.02215126659843,0.4932310545823313,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,652959.0,-12467.07606960164,False,False,False,False,176882.98488652223,False,False,False,False
2024-01-26 17:00:00+00:00,14.405,14.46,14.34,14.455,366734.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.20475496018634,7.550337419019996,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1019693.0,3535.405729927068,False,False,False,False,179826.41147742886,False,False,False,False
2024-01-29 17:00:00+00:00,14.395,14.545,14.315,14.53,487060.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.75189295769255,12.58862002776609,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1506753.0,26841.104865897192,False,False,False,False,184589.7229273912,False,False,False,False
