date,Open,High,Low,Close,Volume,aVWAP_peak_338,aVWAP_peak_314,aVWAP_peak_295,aVWAP_peak_267,aVWAP_peak_266,aVWAP_peak_242,aVWAP_peak_226,aVWAP_peak_184,aVWAP_peak_159,aVWAP_peak_139,aVWAP_peak_121,aVWAP_peak_65,aVWAP_peak_43,aVWAP_peak_15,aVWAP_valley_347,aVWAP_valley_327,aVWAP_valley_298,aVWAP_valley_278,aVWAP_valley_255,aVWAP_valley_199,aVWAP_valley_175,aVWAP_valley_97,aVWAP_valley_44,aVWAP_valley_21,aVWAP_OB_bull_347,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-06 17:00:00+00:00,165.81,166.68,161.62,162.61,12434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12434.0,False,False,False,False
2023-12-07 17:00:00+00:00,163.935,165.44,163.935,164.975,3917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3917.0,60.72868217054263,False,False,False,False,12301.953488372092,False,False,False,False
2023-12-08 17:00:00+00:00,166.08,166.76,164.89,166.11,3990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7907.0,182.37629950123187,False,False,False,False,12173.085992428338,False,False,False,False
2023-12-11 17:00:00+00:00,169.98,171.92,169.485,171.27,6064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13971.0,396.1534111368717,False,False,False,False,12078.371480917822,False,False,False,False
2023-12-12 17:00:00+00:00,168.955,171.81,168.77,171.3,5384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19355.0,690.0890171657574,False,False,False,False,11974.582775787312,False,False,False,False
2023-12-13 17:00:00+00:00,171.905,177.07,171.34,176.26,5771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25126.0,1068.9403502329549,False,False,False,False,11878.403197868129,False,False,False,False
2023-12-14 17:00:00+00:00,184.51,187.73,183.33,186.71,19979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45105.0,1751.6699572060875,False,False,False,False,12003.993845963196,False,False,False,False
2023-12-15 17:00:00+00:00,186.845,187.67,184.85,186.6,11757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,99.800255260807,49.82022973472631,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33348.0,2241.535539264908,False,False,False,False,12000.164484010278,False,False,False,False
2023-12-18 17:00:00+00:00,190.4,193.04,189.92,192.335,12324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,99.71903885205754,49.75911965120336,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45672.0,2914.8760735398705,False,False,False,False,12005.185189684536,False,False,False,False
2023-12-19 17:00:00+00:00,190.125,192.175,189.275,191.64,14077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,98.52856524764513,48.69895822341134,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31595.0,3359.529157671035,False,False,False,False,12037.306349534389,False,False,False,False
