date,Open,High,Low,Close,Volume,aVWAP_peak_428,aVWAP_peak_398,aVWAP_peak_373,aVWAP_peak_339,aVWAP_peak_315,aVWAP_peak_300,aVWAP_peak_250,aVWAP_peak_222,aVWAP_peak_187,aVWAP_peak_157,aVWAP_peak_123,aVWAP_peak_89,aVWAP_peak_20,aVWAP_valley_350,aVWAP_valley_324,aVWAP_valley_277,aVWAP_valley_237,aVWAP_valley_200,aVWAP_valley_172,aVWAP_valley_136,aVWAP_valley_104,aVWAP_valley_29,aVWAP_OB_bull_350,aVWAP_OB_bear_222,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-07 17:00:00+00:00,53.86,53.86,53.015,53.56,52514.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,52514.0,False,False,False,False
2023-12-08 17:00:00+00:00,55.06,55.92,54.96,55.42,21639.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21639.0,335.48837209302326,False,False,False,False,52035.31782945736,False,False,False,False
2023-12-11 17:00:00+00:00,54.51,54.56,53.73,54.325,38150.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.71922377198302,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16511.0,74.30250585902286,False,False,False,False,51820.04158403941,False,False,False,False
2023-12-12 17:00:00+00:00,53.21,53.685,53.19,53.425,20268.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,72.4667784744751,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36779.0,-497.0665252395666,False,False,False,False,51330.86264475198,False,False,False,False
2023-12-13 17:00:00+00:00,54.2,54.77,53.85,54.74,4173.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.69552102306501,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32606.0,-994.8794473288756,False,False,False,False,50599.732991344965,False,False,False,False
2023-12-14 17:00:00+00:00,56.33,56.5,56.04,56.465,12856.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.21676827460573,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19750.0,-1285.656510160986,False,False,False,False,50014.558836440396,False,False,False,False
2023-12-15 17:00:00+00:00,56.02,56.3,55.12,55.22,11380.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,66.29962219610839,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31130.0,-1748.3595100034513,False,False,False,False,49415.57342812348,False,False,False,False
2023-12-18 17:00:00+00:00,56.77,56.91,56.425,56.535,21047.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,66.3674434728879,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10083.0,-1877.5787424064983,False,False,False,False,48975.75058427661,False,False,False,False
2023-12-19 17:00:00+00:00,57.105,57.335,56.995,57.28,11471.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,67.63862547449274,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1388.0,-1826.94961461725,False,False,False,False,48394.28158297,False,False,False,False
2023-12-20 17:00:00+00:00,57.025,57.31,55.98,56.04,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,64.49665702587973,3.517283201940586,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11112.0,-1970.9038841580677,False,False,False,False,47837.78109331155,False,False,False,False
