date,Open,High,Low,Close,Volume,aVWAP_peak_881,aVWAP_peak_852,aVWAP_peak_839,aVWAP_peak_798,aVWAP_peak_755,aVWAP_peak_625,aVWAP_peak_602,aVWAP_peak_575,aVWAP_peak_491,aVWAP_peak_446,aVWAP_peak_399,aVWAP_peak_368,aVWAP_peak_347,aVWAP_peak_317,aVWAP_peak_277,aVWAP_peak_215,aVWAP_peak_162,aVWAP_peak_111,aVWAP_peak_84,aVWAP_peak_48,aVWAP_peak_20,aVWAP_valley_863,aVWAP_valley_781,aVWAP_valley_745,aVWAP_valley_691,aVWAP_valley_653,aVWAP_valley_614,aVWAP_valley_588,aVWAP_valley_539,aVWAP_valley_503,aVWAP_valley_467,aVWAP_valley_432,aVWAP_valley_408,aVWAP_valley_395,aVWAP_valley_349,aVWAP_valley_303,aVWAP_valley_285,aVWAP_valley_253,aVWAP_valley_226,aVWAP_valley_197,aVWAP_valley_174,aVWAP_valley_126,aVWAP_valley_90,aVWAP_valley_63,aVWAP_valley_40,aVWAP_OB_bull_303,aVWAP_OB_bear_852,aVWAP_OB_bear_625,aVWAP_OB_bear_491,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-11 14:00:00+00:00,169.53,170.51,168.87,169.81,2036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2036.0,False,False,False,False
2025-04-11 15:00:00+00:00,170.3,170.52,169.13,170.495,4486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4486.0,69.55038759689923,False,False,False,False,2073.984496124031,False,False,False,False
2025-04-11 16:00:00+00:00,170.47,171.975,170.21,171.93,3499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7985.0,192.27053662640466,False,False,False,False,2096.077759750015,False,False,False,False
2025-04-11 17:00:00+00:00,171.935,172.47,171.14,172.205,3869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11854.0,373.0725438104914,False,False,False,False,2123.564926265519,False,False,False,False
2025-04-11 18:00:00+00:00,172.3,173.135,172.255,172.555,7019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18873.0,659.8931245266078,False,False,False,False,2199.463144462952,False,False,False,False
2025-04-11 19:00:00+00:00,172.555,173.64,172.555,172.71,28759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47632.0,1388.1428435261953,False,False,False,False,2611.238909665077,False,False,False,False
2025-04-14 14:00:00+00:00,175.375,175.74,174.69,175.3,2540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50172.0,2144.4817141692,False,False,False,False,2610.1344304454633,False,False,False,False
2025-04-14 15:00:00+00:00,175.3,175.5,174.66,174.985,2749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,97.55324706502024,47.79792235851822,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47423.0,2846.4742457324683,False,False,False,False,2612.2873850122,False,False,False,False
2025-04-14 16:00:00+00:00,174.85,175.46,174.53,174.88,3568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,95.09467054559228,45.732008667131836,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43855.0,3482.2653426978563,False,False,False,False,2627.104634856972,False,False,False,False
2025-04-14 17:00:00+00:00,174.88,175.725,174.88,175.725,1964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.09470957627173,45.057854479828364,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45819.0,4138.648825756804,False,False,False,False,2616.8239428436855,False,False,False,False
2025-04-14 18:00:00+00:00,175.725,176.5,175.725,176.395,2621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.81883318722136,44.97955627403171,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48440.0,4825.49147962104,False,False,False,False,2616.8886879158763,False,False,False,False
