date,Open,High,Low,Close,Volume,aVWAP_peak_872,aVWAP_peak_870,aVWAP_peak_815,aVWAP_peak_782,aVWAP_peak_780,aVWAP_peak_750,aVWAP_peak_679,aVWAP_peak_678,aVWAP_peak_654,aVWAP_peak_638,aVWAP_peak_582,aVWAP_peak_575,aVWAP_peak_536,aVWAP_peak_516,aVWAP_peak_488,aVWAP_peak_474,aVWAP_peak_439,aVWAP_peak_384,aVWAP_peak_336,aVWAP_peak_306,aVWAP_peak_282,aVWAP_peak_248,aVWAP_peak_215,aVWAP_peak_98,aVWAP_peak_97,aVWAP_peak_49,aVWAP_peak_36,aVWAP_valley_882,aVWAP_valley_859,aVWAP_valley_818,aVWAP_valley_792,aVWAP_valley_760,aVWAP_valley_758,aVWAP_valley_722,aVWAP_valley_690,aVWAP_valley_667,aVWAP_valley_632,aVWAP_valley_580,aVWAP_valley_544,aVWAP_valley_485,aVWAP_valley_430,aVWAP_valley_315,aVWAP_valley_294,aVWAP_valley_265,aVWAP_valley_234,aVWAP_valley_188,aVWAP_valley_156,aVWAP_valley_47,aVWAP_OB_bull_690,aVWAP_OB_bull_294,aVWAP_OB_bear_248,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-27 15:00:00+00:00,1.135,1.29,1.13,1.165,58337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,58337.0,False,False,False,False
2025-01-27 16:00:00+00:00,1.165,1.18,1.12,1.125,19516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19516.0,-302.5736434108527,False,False,False,False,57735.124031007756,False,False,False,False
2025-01-27 17:00:00+00:00,1.125,1.16,1.08,1.085,41932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-61448.0,-1250.5647497145603,False,False,False,False,57490.11435610841,False,False,False,False
2025-01-27 18:00:00+00:00,1.085,1.115,1.08,1.085,9021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-61448.0,-2183.8583194864277,False,False,False,False,56738.65521880441,False,False,False,False
2025-01-27 19:00:00+00:00,1.085,1.115,1.08,1.09,8579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.576062758401406,-47.68154351743873,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52869.0,-2969.6744695719094,False,False,False,False,55991.99389758263,False,False,False,False
2025-01-27 20:00:00+00:00,1.08,1.115,1.08,1.105,19135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.656175134431411,-40.564006144515815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33734.0,-3446.6407568653685,False,False,False,False,55420.5676356046,False,False,False,False
2025-01-28 15:00:00+00:00,1.045,1.07,1.03,1.03,32582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.235487546816058,-40.564006144515815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-66316.0,-4421.3595048209445,False,False,False,False,55066.48131567275,False,False,False,False
2025-01-28 16:00:00+00:00,1.035,1.05,0.995,1.03,47201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.621695821739156,-40.564006144515815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-66316.0,-5380.966334203566,False,False,False,False,54944.53586891813,False,False,False,False
2025-01-28 17:00:00+00:00,1.035,1.055,1.03,1.03,17679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.87916800502122,-40.501985188004085,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-66316.0,-6325.69553832444,False,False,False,False,54366.775622888395,False,False,False,False
2025-01-28 18:00:00+00:00,1.03,1.06,1.03,1.055,15770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.98896301667748,-35.01728876606961,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-50546.0,-7011.281654009333,False,False,False,False,53768.37600082811,False,False,False,False
