date,Open,High,Low,Close,Volume,aVWAP_peak_385,aVWAP_peak_346,aVWAP_peak_295,aVWAP_peak_246,aVWAP_peak_171,aVWAP_peak_123,aVWAP_peak_97,aVWAP_peak_77,aVWAP_peak_28,aVWAP_valley_400,aVWAP_valley_361,aVWAP_valley_335,aVWAP_valley_291,aVWAP_valley_211,aVWAP_valley_187,aVWAP_valley_110,aVWAP_valley_55,aVWAP_OB_bear_246,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-20 17:00:00+00:00,6.185,6.21,5.9,5.905,30268.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,30268.0,False,False,False,False
2023-11-21 17:00:00+00:00,5.86,5.91,5.74,5.785,21787.0,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21787.0,-337.7829457364341,False,False,False,False,30136.511627906977,False,False,False,False
2023-11-22 17:00:00+00:00,5.635,5.745,5.635,5.69,21576.0,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43363.0,-1004.8405744847064,False,False,False,False,30003.790517396792,False,False,False,False
2023-11-23 17:00:00+00:00,5.69,5.69,5.69,5.69,0.0,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43363.0,-1661.5562244926955,False,False,False,False,29538.615470615445,False,False,False,False
2023-11-24 17:00:00+00:00,5.74,5.775,5.735,5.76,8697.0,,,,,,,,,,,,,,,,,,,,#000000,,,,10.174053472097558,-40.8433518751122,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-34666.0,-2173.2530272137387,False,False,False,False,29215.48964936559,False,False,False,False
2023-11-27 17:00:00+00:00,5.57,5.585,5.42,5.455,20097.0,,,,,,,,,,,,,,,,,,,,#000000,,,,10.858631776710784,-40.83767460928615,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-54763.0,-2988.597941520502,False,False,False,False,29074.117716817284,False,False,False,False
2023-11-28 17:00:00+00:00,5.525,5.535,5.325,5.365,15802.0,,,,,,,,,,,,,,,,,,,,#000000,,,,10.638600894879438,-40.83767460928615,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-70565.0,-4036.2940974659205,False,False,False,False,28868.348449889883,False,False,False,False
2023-11-29 17:00:00+00:00,5.25,5.345,5.215,5.265,25355.0,,,,,,,,,,,,,,,,,,,,#000000,,,,9.907866651145621,-40.83767460928615,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-95920.0,-5460.84767735017,False,False,False,False,28813.877931286937,False,False,False,False
2023-11-30 17:00:00+00:00,5.175,5.31,5.16,5.305,8856.0,,,,,,,,,,,,,,,,,,,,#000000,,,,11.610773003850557,-40.83767460928615,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-87064.0,-6726.012829639314,False,False,False,False,28504.453467235977,False,False,False,False
2023-12-01 17:00:00+00:00,5.515,5.595,5.485,5.565,34049.0,,,,,,,,,,,,,,,,,,,,#000000,,,,22.49542539208835,-31.19137010439112,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53015.0,-7443.671545458859,False,False,False,False,28590.415428984255,False,False,False,False
