date,Open,High,Low,Close,Volume,aVWAP_peak_843,aVWAP_peak_817,aVWAP_peak_789,aVWAP_peak_761,aVWAP_peak_733,aVWAP_peak_707,aVWAP_peak_673,aVWAP_peak_644,aVWAP_peak_616,aVWAP_peak_570,aVWAP_peak_534,aVWAP_peak_492,aVWAP_peak_473,aVWAP_peak_457,aVWAP_peak_438,aVWAP_peak_401,aVWAP_peak_374,aVWAP_peak_359,aVWAP_peak_267,aVWAP_peak_214,aVWAP_peak_163,aVWAP_peak_114,aVWAP_peak_66,aVWAP_peak_24,aVWAP_valley_881,aVWAP_valley_849,aVWAP_valley_809,aVWAP_valley_774,aVWAP_valley_739,aVWAP_valley_680,aVWAP_valley_657,aVWAP_valley_562,aVWAP_valley_498,aVWAP_valley_475,aVWAP_valley_427,aVWAP_valley_390,aVWAP_valley_367,aVWAP_valley_321,aVWAP_valley_293,aVWAP_valley_280,aVWAP_valley_230,aVWAP_valley_199,aVWAP_valley_159,aVWAP_valley_120,aVWAP_valley_58,aVWAP_valley_41,aVWAP_OB_bull_809,aVWAP_OB_bull_739,aVWAP_OB_bull_280,aVWAP_OB_bull_230,aVWAP_OB_bull_7,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-08 14:00:00+00:00,55.34,55.865,55.27,55.385,168727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,168727.0,False,False,False,False
2025-04-08 15:00:00+00:00,55.39,55.48,55.0,55.275,123205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-123205.0,-1910.15503875969,False,False,False,False,168021.23255813954,False,False,False,False
2025-04-08 16:00:00+00:00,55.285,55.4,54.4,54.405,54275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-177480.0,-4632.168138933958,False,False,False,False,166257.725076618,False,False,False,False
2025-04-08 17:00:00+00:00,54.405,54.675,54.045,54.45,64575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.6570064780089333,-48.50869416979196,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-112905.0,-6310.816694919478,False,False,False,False,164681.24871884097,False,False,False,False
2025-04-08 18:00:00+00:00,54.45,54.54,53.86,53.87,56589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.0676001922105973,-48.238580215691,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-169494.0,-8840.788529106772,False,False,False,False,163005.39990149462,False,False,False,False
2025-04-08 19:00:00+00:00,53.87,53.895,52.715,53.205,161101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.003559664014133,-48.238580215691,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-330595.0,-13829.225916252404,False,False,False,False,162975.87432162647,False,False,False,False
2025-04-09 14:00:00+00:00,53.335,53.68,52.665,52.68,75863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.812366420742606,-48.238580215691,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-406458.0,-19916.493731504306,False,False,False,False,161625.28712284158,False,False,False,False
2025-04-09 15:00:00+00:00,52.68,53.5,52.665,52.98,70745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.04833333333333,,#000000,,,,6.037564628783324,-44.85128641172265,False,False,False,True,True,,1.0,53.5,52.665,0.0,0,,,False,False,False,False,,,False,False,False,False,-335713.0,-24812.563596132146,False,False,False,False,160216.29042326263,False,False,False,False
2025-04-09 16:00:00+00:00,52.985,53.52,52.865,53.36,52700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.133715487329034,,#000000,,,,13.380755292852648,-38.48929041202045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-283013.0,-28815.671137277386,False,False,False,False,158549.37119189423,False,False,False,False
2025-04-09 17:00:00+00:00,53.36,57.49,52.88,57.4,164904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.72907091175393,,#000000,,,,33.98373113845268,-20.49977490798046,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-118109.0,-30200.063832823475,False,False,False,False,158647.89256876407,False,False,False,False
