date,Open,High,Low,Close,Volume,aVWAP_peak_855,aVWAP_peak_833,aVWAP_peak_800,aVWAP_peak_782,aVWAP_peak_691,aVWAP_peak_672,aVWAP_peak_648,aVWAP_peak_606,aVWAP_peak_576,aVWAP_peak_511,aVWAP_peak_462,aVWAP_peak_421,aVWAP_peak_377,aVWAP_peak_223,aVWAP_peak_203,aVWAP_peak_138,aVWAP_peak_112,aVWAP_valley_846,aVWAP_valley_823,aVWAP_valley_793,aVWAP_valley_737,aVWAP_valley_717,aVWAP_valley_689,aVWAP_valley_634,aVWAP_valley_594,aVWAP_valley_527,aVWAP_valley_453,aVWAP_valley_436,aVWAP_valley_403,aVWAP_valley_348,aVWAP_valley_293,aVWAP_valley_217,aVWAP_valley_162,aVWAP_valley_120,aVWAP_valley_12,aVWAP_OB_bull_823,aVWAP_OB_bull_689,aVWAP_OB_bull_403,aVWAP_OB_bear_223,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,47.715,47.715,47.22,47.3,2802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2802.0,False,False,False,False
2025-01-06 16:00:00+00:00,47.3,47.345,47.18,47.27,3468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3468.0,-53.76744186046511,False,False,False,False,2812.3255813953488,False,False,False,False
2025-01-06 17:00:00+00:00,47.24,47.245,46.98,47.13,3335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6803.0,-158.4067063277447,False,False,False,False,2820.4290607535604,False,False,False,False
2025-01-06 18:00:00+00:00,47.13,47.275,47.065,47.15,1842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.964757709250506,-46.431718061674545,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4961.0,-232.86551708235334,False,False,False,False,2805.2596179511793,False,False,False,False
2025-01-06 19:00:00+00:00,47.13,47.25,47.1,47.145,1754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.479591148114054,-44.40625342925238,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6715.0,-333.3637261198362,False,False,False,False,2788.961019223254,False,False,False,False
2025-01-06 20:00:00+00:00,47.14,47.16,46.955,47.07,4286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.800855139078575,-44.39487809041214,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11001.0,-498.7534357923969,False,False,False,False,2812.170925901963,False,False,False,False
2025-01-07 15:00:00+00:00,46.99,46.99,46.32,46.54,1892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.185375210806435,-43.306844158695725,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12893.0,-690.9122972529799,False,False,False,False,2797.9047099965064,False,False,False,False
2025-01-07 16:00:00+00:00,46.54,46.64,46.38,46.515,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.083854969637094,-44.158813264323484,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13225.0,-885.2392383808407,False,False,False,False,2759.673629221367,False,False,False,False
2025-01-07 17:00:00+00:00,46.515,46.69,46.46,46.54,2691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.678832564184603,-44.158813264323484,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10534.0,-1034.8324284834632,False,False,False,False,2758.6089217915783,False,False,False,False
2025-01-07 18:00:00+00:00,46.54,46.65,46.34,46.415,1413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.7114610054536525,-44.158813264323484,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11947.0,-1204.013321065115,False,False,False,False,2737.7467679653523,False,False,False,False
