date,Open,High,Low,Close,Volume,aVWAP_peak_864,aVWAP_peak_809,aVWAP_peak_757,aVWAP_peak_721,aVWAP_peak_680,aVWAP_peak_659,aVWAP_peak_603,aVWAP_peak_586,aVWAP_peak_566,aVWAP_peak_530,aVWAP_peak_492,aVWAP_peak_431,aVWAP_peak_396,aVWAP_peak_395,aVWAP_peak_350,aVWAP_peak_349,aVWAP_peak_329,aVWAP_peak_297,aVWAP_peak_234,aVWAP_peak_204,aVWAP_peak_132,aVWAP_peak_81,aVWAP_peak_42,aVWAP_peak_26,aVWAP_valley_857,aVWAP_valley_787,aVWAP_valley_745,aVWAP_valley_707,aVWAP_valley_679,aVWAP_valley_670,aVWAP_valley_641,aVWAP_valley_636,aVWAP_valley_581,aVWAP_valley_547,aVWAP_valley_519,aVWAP_valley_468,aVWAP_valley_438,aVWAP_valley_425,aVWAP_valley_372,aVWAP_valley_359,aVWAP_valley_326,aVWAP_valley_285,aVWAP_valley_247,aVWAP_valley_206,aVWAP_valley_91,aVWAP_valley_68,aVWAP_valley_41,aVWAP_valley_19,aVWAP_OB_bull_745,aVWAP_OB_bull_641,aVWAP_OB_bear_809,aVWAP_OB_bear_132,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,4.01,4.055,4.01,4.055,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,104.0,False,False,False,False
2025-01-23 16:00:00+00:00,4.05,4.065,4.02,4.04,1223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1223.0,-18.961240310077518,False,False,False,False,121.34883720930232,False,False,False,False
2025-01-23 17:00:00+00:00,4.035,4.06,4.03,4.035,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2222.0,-53.11687999519259,False,False,False,False,134.95583198125112,False,False,False,False
2025-01-23 18:00:00+00:00,4.035,4.13,4.03,4.11,1788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.383367139959546,-25.35496957403641,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-434.0,-59.02204464642991,False,False,False,False,160.58442373347978,False,False,False,False
2025-01-23 19:00:00+00:00,4.11,4.11,4.085,4.095,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.367069640492275,-14.412639351954525,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-939.0,-72.66511372167906,False,False,False,False,165.9242001097049,False,False,False,False
2025-01-23 20:00:00+00:00,4.095,4.11,4.08,4.105,1474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.7602390607417,-6.7740767722407185,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,535.0,-63.24394916785458,False,False,False,False,186.20444506924437,False,False,False,False
2025-01-24 15:00:00+00:00,4.105,4.105,4.03,4.08,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.18611451461691,-6.7740767722407185,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,415.0,-55.829314297035125,False,False,False,False,185.17801956429486,False,False,False,False
2025-01-24 16:00:00+00:00,4.05,4.145,4.05,4.13,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,59.09898112458991,-2.187910000088131,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,790.0,-42.71568151723613,False,False,False,False,188.12099600515847,False,False,False,False
2025-01-24 17:00:00+00:00,4.13,4.135,4.1,4.115,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,60.616086378042056,-1.1316233080722355,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,513.0,-34.0999345169689,False,False,False,False,189.49896505934205,False,False,False,False
2025-01-24 18:00:00+00:00,4.1,4.13,4.1,4.13,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,62.88094147993487,1.0817307917566694,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,614.0,-24.051873516705815,False,False,False,False,188.12688808167783,False,False,False,False
