date,Open,High,Low,Close,Volume,aVWAP_peak_870,aVWAP_peak_851,aVWAP_peak_819,aVWAP_peak_780,aVWAP_peak_732,aVWAP_peak_701,aVWAP_peak_662,aVWAP_peak_632,aVWAP_peak_597,aVWAP_peak_573,aVWAP_peak_549,aVWAP_peak_522,aVWAP_peak_481,aVWAP_peak_461,aVWAP_peak_460,aVWAP_peak_411,aVWAP_peak_392,aVWAP_peak_377,aVWAP_peak_346,aVWAP_peak_310,aVWAP_peak_294,aVWAP_peak_281,aVWAP_peak_234,aVWAP_peak_216,aVWAP_peak_192,aVWAP_peak_70,aVWAP_peak_42,aVWAP_valley_835,aVWAP_valley_803,aVWAP_valley_765,aVWAP_valley_741,aVWAP_valley_726,aVWAP_valley_688,aVWAP_valley_639,aVWAP_valley_605,aVWAP_valley_583,aVWAP_valley_557,aVWAP_valley_536,aVWAP_valley_500,aVWAP_valley_474,aVWAP_valley_424,aVWAP_valley_356,aVWAP_valley_340,aVWAP_valley_305,aVWAP_valley_288,aVWAP_valley_264,aVWAP_valley_233,aVWAP_valley_220,aVWAP_valley_183,aVWAP_valley_151,aVWAP_valley_119,aVWAP_valley_62,aVWAP_valley_24,aVWAP_OB_bull_835,aVWAP_OB_bull_340,aVWAP_OB_bear_819,aVWAP_OB_bear_156,aVWAP_OB_bear_70,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-28 15:00:00+00:00,139.46,139.46,138.16,139.305,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1213.0,False,False,False,False
2025-01-28 16:00:00+00:00,139.305,139.33,137.97,138.725,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-356.0,-5.51937984496124,False,False,False,False,1199.7131782945737,False,False,False,False
2025-01-28 17:00:00+00:00,138.725,139.07,138.45,138.465,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-773.0,-17.418304188450215,False,False,False,False,1187.5780902589988,False,False,False,False
2025-01-28 18:00:00+00:00,138.465,138.76,138.02,138.02,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1144.0,-34.88468706924944,False,False,False,False,1174.9179648286267,False,False,False,False
2025-01-28 19:00:00+00:00,137.91,138.165,137.75,138.025,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.16447257098364312,-49.85197468611472,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-854.0,-47.58414928523007,False,False,False,False,1161.1983064591905,False,False,False,False
2025-01-28 20:00:00+00:00,138.025,138.08,137.57,137.94,1592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.2599386403160619,-49.77592357797456,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2446.0,-84.76889115677687,False,False,False,False,1167.877402483079,False,False,False,False
2025-01-29 15:00:00+00:00,136.75,137.35,136.75,137.26,1538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.257912398757699,-49.77592357797456,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3984.0,-145.2220866427183,False,False,False,False,1173.6157373283027,False,False,False,False
2025-01-29 16:00:00+00:00,137.255,138.46,137.255,138.345,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.871788332080062,-36.64193692775079,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2726.0,-185.2341473149242,False,False,False,False,1174.9240204704993,False,False,False,False
2025-01-29 17:00:00+00:00,138.515,138.71,138.13,138.18,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.58621484771846,-29.677072425092895,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4083.0,-245.66462565112693,False,False,False,False,1177.7469038740574,False,False,False,False
2025-01-29 18:00:00+00:00,138.27,139.06,138.27,139.06,1058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.20793689833873,-20.206710776929718,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3025.0,-288.7550965712645,False,False,False,False,1175.890362728723,False,False,False,False
