date,Open,High,Low,Close,Volume,aVWAP_OB_bull_716,aVWAP_OB_bull_605,aVWAP_OB_bull_500,aVWAP_OB_bear_552,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,31.125,31.165,30.97,31.08,9991.0,,,,,,#000000,,,,,,False,False,False,False,False,,,,31.0675,31.0675,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9991.0,False,False,False,False
2024-12-16 16:00:00+00:00,31.08,31.08,30.72,30.85,12641.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,30.9,31.0675,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12641.0,-195.984496124031,False,False,False,False,10032.085271317828,False,False,False,False
2024-12-16 17:00:00+00:00,30.845,30.87,30.74,30.785,24699.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,30.805,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-37340.0,-771.8607054864492,False,False,False,False,10259.479298119102,False,False,False,False
2024-12-16 18:00:00+00:00,30.785,30.8,30.56,30.685,25488.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,30.68,30.805,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62828.0,-1733.9713922230935,False,False,False,False,10495.580394272294,False,False,False,False
2024-12-16 19:00:00+00:00,30.685,30.78,30.66,30.715,39512.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.0140157936082375,-47.28738578575258,False,False,False,True,True,,,,30.68,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23316.0,-2068.576486917309,False,False,False,False,10945.447364903732,False,False,False,False
2024-12-16 20:00:00+00:00,30.715,30.865,30.705,30.82,61169.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.983803295341337,-38.49541798180929,False,False,False,True,True,,,,30.784999999999997,30.805,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37853.0,-1449.6373165775058,False,False,False,False,11724.107095680418,False,False,False,False
2024-12-17 15:00:00+00:00,30.425,30.43,30.205,30.38,14917.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.560102150796354,-38.49541798180929,False,False,False,True,True,,,,30.3175,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22936.0,-1071.565420196459,False,False,False,False,11773.609311251264,False,False,False,False
2024-12-17 16:00:00+00:00,30.38,30.485,30.345,30.41,18823.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.101373093366862,-37.676431452626716,False,False,False,True,True,,,,30.3175,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41759.0,-407.52564623992464,False,False,False,False,11882.902190146593,False,False,False,False
2024-12-17 17:00:00+00:00,30.41,30.435,30.31,30.37,11214.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.78013357477931,-37.30407811930649,False,False,False,True,True,,,,30.3175,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30545.0,72.35847230643077,False,False,False,False,11872.531613555173,False,False,False,False
2024-12-17 18:00:00+00:00,30.37,30.565,30.34,30.56,6175.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.728008659909456,-31.123722649704945,False,False,False,True,True,,,,30.3175,30.805,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,36720.0,640.5389611078815,False,False,False,False,11784.1977900892,False,False,False,False
