date,Open,High,Low,Close,Volume,aVWAP_peak_853,aVWAP_peak_852,aVWAP_peak_840,aVWAP_peak_817,aVWAP_peak_797,aVWAP_peak_761,aVWAP_peak_728,aVWAP_peak_714,aVWAP_peak_691,aVWAP_peak_690,aVWAP_peak_632,aVWAP_peak_605,aVWAP_peak_573,aVWAP_peak_572,aVWAP_peak_553,aVWAP_peak_534,aVWAP_peak_515,aVWAP_peak_491,aVWAP_peak_479,aVWAP_peak_441,aVWAP_peak_440,aVWAP_peak_409,aVWAP_peak_408,aVWAP_peak_373,aVWAP_peak_357,aVWAP_peak_329,aVWAP_peak_258,aVWAP_peak_246,aVWAP_peak_245,aVWAP_peak_231,aVWAP_peak_230,aVWAP_peak_205,aVWAP_peak_204,aVWAP_peak_203,aVWAP_peak_184,aVWAP_peak_143,aVWAP_peak_119,aVWAP_valley_873,aVWAP_valley_854,aVWAP_valley_832,aVWAP_valley_831,aVWAP_valley_810,aVWAP_valley_809,aVWAP_valley_775,aVWAP_valley_774,aVWAP_valley_694,aVWAP_valley_670,aVWAP_valley_669,aVWAP_valley_668,aVWAP_valley_629,aVWAP_valley_628,aVWAP_valley_594,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,6.25,6.27,6.04,6.155,1918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1918.0,False,False,False,False
2024-12-19 16:00:00+00:00,6.155,6.175,6.105,6.175,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,581.0,9.007751937984496,False,False,False,False,1897.2713178294573,False,False,False,False
2024-12-19 17:00:00+00:00,6.175,6.175,6.15,6.155,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-349.0,3.4572441560002405,False,False,False,False,1882.2748632894657,False,False,False,False
2024-12-19 18:00:00+00:00,6.15,6.175,6.15,6.175,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-100.0,1.8532558745118646,False,False,False,False,1856.952772385753,False,False,False,False
2024-12-19 19:00:00+00:00,6.165,6.18,6.145,6.155,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-430.0,-4.84214344137204,False,False,False,False,1833.2790859921754,False,False,False,False
2024-12-19 20:00:00+00:00,6.155,6.18,6.15,6.15,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1234.0,-23.89885439576937,False,False,False,False,1817.321270705475,False,False,False,False
2024-12-20 15:00:00+00:00,5.97,6.135,5.97,6.13,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.0,6.135,5.97,292.0,,,False,False,False,False,,,False,False,False,False,-1492.0,-46.660112467152786,False,False,False,False,1793.1457471286458,False,False,False,False
2024-12-20 16:00:00+00:00,6.13,6.195,6.13,6.17,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1270.0,-65.62662235138296,False,False,False,False,1768.7868983359535,False,False,False,False
2024-12-20 17:00:00+00:00,6.17,6.175,6.14,6.14,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1287.0,-84.56264371027625,False,False,False,False,1741.6274115400472,False,False,False,False
2024-12-20 18:00:00+00:00,6.14,6.175,6.14,6.16,681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-606.0,-92.64694380779133,False,False,False,False,1725.183575702217,False,False,False,False
