date,Open,High,Low,Close,Volume,aVWAP_peak_576,aVWAP_valley_582,aVWAP_valley_556,aVWAP_valley_535,aVWAP_valley_455,aVWAP_valley_437,aVWAP_valley_421,aVWAP_valley_370,aVWAP_valley_369,aVWAP_valley_337,aVWAP_valley_312,aVWAP_valley_292,aVWAP_valley_262,aVWAP_valley_242,aVWAP_valley_215,aVWAP_valley_192,aVWAP_valley_165,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,3.76,3.76,3.76,3.76,0.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2023-10-31 16:00:00+00:00,3.77,3.77,3.595,3.605,2389.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2389.0,-37.03875968992248,False,False,False,False,37.03875968992248,False,False,False,False
2023-11-01 16:00:00+00:00,3.605,3.605,3.45,3.45,1300.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3689.0,-93.65831380325702,False,False,False,False,56.61955411333453,False,False,False,False
2023-11-02 16:00:00+00:00,3.375,3.395,3.35,3.38,1928.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5617.0,-179.29151824041583,False,False,False,False,85.6332044371588,False,False,False,False
2023-11-03 16:00:00+00:00,3.345,3.45,3.345,3.405,2200.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3417.0,-229.48854896537063,False,False,False,False,118.41408498852067,False,False,False,False
2023-11-06 16:00:00+00:00,3.405,3.405,3.28,3.28,456.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3873.0,-285.9770985938145,False,False,False,False,123.6479751437374,False,False,False,False
2023-11-06 20:00:00+00:00,3.27,3.285,3.235,3.235,300.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4173.0,-346.2410195458484,False,False,False,False,126.38211506398952,False,False,False,False
2023-11-07 16:00:00+00:00,3.1,3.28,3.1,3.28,2202.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1971.0,-371.4310812583159,False,False,False,False,158.56223731105945,False,False,False,False
2023-11-07 20:00:00+00:00,3.28,3.32,3.28,3.32,518.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1453.0,-388.199591626404,False,False,False,False,164.13491580236084,False,False,False,False
2023-11-08 16:00:00+00:00,3.41,3.455,3.39,3.39,132.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1321.0,-402.66161346165353,False,False,False,False,163.636700053487,False,False,False,False
2023-11-08 20:00:00+00:00,3.39,3.4,3.39,3.4,0.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1321.0,-416.89941790410853,False,False,False,False,161.09969695188255,False,False,False,False
2023-11-09 16:00:00+00:00,3.45,3.45,3.365,3.365,405.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1726.0,-437.1955509598588,False,False,False,False,164.88109699914017,False,False,False,False
2023-11-09 20:00:00+00:00,3.365,3.395,3.365,3.395,200.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1526.0,-454.0762400922641,False,False,False,False,165.42557611543256,False,False,False,False
2023-11-10 16:00:00+00:00,3.395,3.395,3.3,3.3,0.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1526.0,-470.6952131140894,False,False,False,False,162.8608385012398,False,False,False,False
2023-11-10 20:00:00+00:00,3.3,3.35,3.3,3.35,804.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-722.0,-474.5914113603826,False,False,False,False,172.8009805399803,False,False,False,False
2023-11-13 16:00:00+00:00,3.375,3.46,3.375,3.43,400.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-322.0,-472.2256530447178,False,False,False,False,176.3234459579651,False,False,False,False
2023-11-13 20:00:00+00:00,3.43,3.43,3.4,3.4,1067.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1389.0,-486.4392088114663,False,False,False,False,190.1323847803222,False,False,False,False
2023-11-14 16:00:00+00:00,3.475,3.635,3.46,3.625,1510.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,121.0,-477.0215466593505,False,False,False,False,210.59544858217768,False,False,False,False
2023-11-14 20:00:00+00:00,3.625,3.67,3.625,3.665,195.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,316.0,-464.7266389592055,False,False,False,False,210.35365868167878,False,False,False,False
2023-11-15 16:00:00+00:00,3.79,3.79,3.67,3.695,400.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,716.0,-446.4207995954969,False,False,False,False,213.2939120354512,False,False,False,False
2023-11-15 20:00:00+00:00,3.695,3.7,3.68,3.685,817.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-101.0,-441.0654383614581,False,False,False,False,222.65369634497907,False,False,False,False
2023-11-16 16:00:00+00:00,3.685,3.97,3.685,3.965,100.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1.0,-434.24271838686184,False,False,False,False,220.75208864970804,False,False,False,False
2023-11-16 20:00:00+00:00,3.965,4.0,3.965,4.0,1.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,-427.51027314055386,False,False,False,False,217.34507952335596,False,False,False,False
2023-11-17 16:00:00+00:00,4.015,4.035,3.945,3.99,100.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-100.0,-422.43259448721193,False,False,False,False,215.5257759648543,False,False,False,False
2023-11-17 20:00:00+00:00,3.99,3.99,3.93,3.955,353.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-453.0,-422.90650775097606,False,False,False,False,217.65715928322865,False,False,False,False
2023-11-20 16:00:00+00:00,3.935,3.97,3.905,3.97,200.0,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-253.0,-420.2722983284803,False,False,False,False,217.38340487573674,False,False,False,False
