date,Open,High,Low,Close,Volume,aVWAP_peak_889,aVWAP_peak_877,aVWAP_peak_848,aVWAP_peak_821,aVWAP_peak_773,aVWAP_peak_720,aVWAP_peak_696,aVWAP_peak_666,aVWAP_peak_632,aVWAP_peak_600,aVWAP_peak_510,aVWAP_peak_497,aVWAP_peak_400,aVWAP_peak_342,aVWAP_peak_329,aVWAP_peak_306,aVWAP_valley_879,aVWAP_valley_858,aVWAP_valley_825,aVWAP_valley_812,aVWAP_valley_792,aVWAP_valley_766,aVWAP_valley_728,aVWAP_valley_708,aVWAP_valley_686,aVWAP_valley_655,aVWAP_valley_630,aVWAP_valley_618,aVWAP_valley_590,aVWAP_valley_564,aVWAP_valley_540,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,109.23,109.855,109.01,109.425,25275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,109.43,109.5,108.915,109.415,23813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,109.415,109.69,109.08,109.15,28848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,109.69,109.08,0.0
2024-12-16 18:00:00+00:00,109.135,109.185,108.4,108.685,19066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,108.68,108.82,108.125,108.285,30316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,108.28,108.49,107.88,108.08,44866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,107.895,108.98,107.845,108.345,38872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,108.36,108.81,108.295,108.75,19437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,108.75,108.83,108.59,108.635,5740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,108.64,108.88,108.505,108.82,9316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
