date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_89,aVWAP_BoS_CHoCH_bull_153,aVWAP_BoS_CHoCH_bull_174,aVWAP_BoS_CHoCH_bull_207,aVWAP_BoS_CHoCH_bull_365,aVWAP_BoS_CHoCH_bull_407,aVWAP_BoS_CHoCH_bull_439,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,48.25,48.25,47.25,47.25,6533,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,48.0,48.0,48.0,48.0,4500,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,49.5,50.0,47.0,47.0,1225330,,,,,,,,48.833333333333336,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,49.5,49.5,49.5,49.5,10000,,,,,,,,48.838730001969786,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.838730001969786,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.838730001969786,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,49.5,49.5,49.5,49.5,2000,,,,,,,,48.83979886799264,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,49.5,49.5,49.5,49.5,54,,,,,,,,48.83982767947003,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-02 00:00:00+00:00,47.55,49.0,47.55,49.0,1779185,,,,,,,,48.36415394443157,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-03 00:00:00+00:00,49.25,49.25,48.5,48.5,44065,,,,,,,,48.3733084387091,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,46.55,46.55,46.55,46.55,1295,,,,,,,,47.76502486395558,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-07 00:00:00+00:00,46.7,46.7,46.7,46.7,967,,,,,,,,47.78604772416377,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-08 00:00:00+00:00,48.5,48.5,48.25,48.25,123290,,,,,,,,48.377221944763896,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-09 00:00:00+00:00,49.0,49.0,48.5,48.5,80800,,,,,,,,48.4434224585198,#000000,0,,,0.0,0.0,0.0,0.0
